ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,Column1
106014248,Aman Satu,,RM 900 per month,Kuala Lumpur - Kepong,Apartment,3,1,1,850 sq.ft.,Partially Furnished,"Minimart, Security, Parking, Playground","Air-Cond, Cooking Allowed",
105722598,Ixora Apartment (Kepong),2012,RM 900 per month,Kuala Lumpur - Kepong,Apartment,3,1,2,1035 sq.ft.,Not Furnished,"Playground, Swimming Pool, Sauna, Parking, Security, Multipurpose hall, Gymnasium",Cooking Allowed,
105722653,Opal Apartment (Walk Up) @ Taman Indah Perdana Kepong,,RM 900 per month,Kuala Lumpur - Kepong,Apartment,3,,2,850 sq.ft.,Partially Furnished,,"Washing Machine, Cooking Allowed",
105875318,Sri Penara,,RM 900 per month,Kuala Lumpur - Cheras,Apartment,3,,2,650 sq.ft.,Not Furnished,"Security, Lift, Playground, Jogging Track, Parking, Minimart",,
105940137,Rampai Court,,RM 900 per month,Kuala Lumpur - Wangsa Maju,Apartment,2,,1,600 sq.ft.,Not Furnished,"Barbeque area, Parking, Security, Playground",,
106014124,Megan Setapak,,RM 900 per month,Kuala Lumpur - Setapak,Flat,3,,1,744 sq.ft.,Not Furnished,Minimart,,
104372773,PPR Kampung Muhibbah,,RM 900 per month,Kuala Lumpur - Bukit Jalil,Flat,3,,2,750 sq.ft.,Partially Furnished,"Parking, Minimart, Lift, Playground, Multipurpose hall, Jogging Track","Cooking Allowed, Near KTM/LRT",
105992250,Lavile,2021,RM 888 per month,Kuala Lumpur - Cheras,Service Residence,1,1,1,350 sq.ft.,Fully Furnished,"Swimming Pool, Barbeque area, Parking, Gymnasium, Security, Multipurpose hall, Playground, Lift, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",
106042940,Flat Pkns Au3,,RM 875 per month,Kuala Lumpur - Keramat,Flat,2,,1,549 sq.ft.,Partially Furnished,,,
101497057,Perumahan Penjawat Awam 1 Malaysia (PPA1M) Bukit Jalil,2018,RM 850 per month,Kuala Lumpur - Bukit Jalil,Apartment,3,,2,1200 sq.ft.,Fully Furnished,"Security, Swimming Pool, Jogging Track, Parking, Minimart",,
106017472,Taman Pertama (Cheras),,RM 850 per month,Kuala Lumpur - Cheras,Flat,2,,1,650 sq.ft.,Not Furnished,,Near KTM/LRT,
104587264,One-Stop @ Fraser Business Park,,RM 850 per month,Kuala Lumpur - KLCC,Service Residence,1,,1,350 sq.ft.,Partially Furnished,"Gymnasium, Security, Playground, Swimming Pool, Lift, Minimart","Near KTM/LRT, Air-Cond, Washing Machine, Internet",
105985615,Seksyen 2 Wangsa Maju Flat,,RM 850 per month,Kuala Lumpur - Wangsa Maju,Flat,2,,1,600 sq.ft.,Partially Furnished,"Minimart, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT",
106049988,Seksyen 4 Wangsa Maju Flat,,RM 800 per month,Kuala Lumpur - Wangsa Maju,Flat,2,,1,550 sq.ft.,Partially Furnished,Playground,,
98479193,Apartment Seri Ceria 1,,RM 800 per month,Kuala Lumpur - Bukit Jalil,Apartment,3,,2,650 sq.ft.,Not Furnished,"Lift, Parking, Playground",,
105980698,M Vertica,2023,RM 800 per month,Kuala Lumpur - Cheras,Condominium,1,1,1,100 sq.ft.,Fully Furnished,"Parking, Security, Playground, Swimming Pool, Lift, Barbeque area, Multipurpose hall, Jogging Track, Gymnasium","Near KTM/LRT, Cooking Allowed, Air-Cond, Internet, Washing Machine",
105716450,Oxford Residences @ Pavilion Embassy,2021,"RM 8,900 per month",Kuala Lumpur - Keramat,Service Residence,4,2,4,1674 sq.ft.,Fully Furnished,"Swimming Pool, Sauna, Playground, Parking, Gymnasium, Lift, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
104614403,Cheria Heights Condo / Apartments,,RM 750 per month,Kuala Lumpur - Cheras,Apartment,3,,1,700 sq.ft.,Not Furnished,"Security, Parking, Playground, Minimart","Cooking Allowed, Near KTM/LRT, Washing Machine",
106047853,Seksyen 1 Wangsa Maju Flat,,RM 750 per month,Kuala Lumpur - Wangsa Maju,Flat,2,,1,530 sq.ft.,Not Furnished,,,
105147985,Iris Apartment (Taman Desa),2004,RM 750 per month,Kuala Lumpur - Taman Desa,Apartment,2,1,2,624 sq.ft.,Not Furnished,"Parking, Security, Lift, Playground",Cooking Allowed,
105984177,Flat Danau Kota,,RM 750 per month,Kuala Lumpur - Setapak,Flat,3,,2,750 sq.ft.,Partially Furnished,"Minimart, Lift",Cooking Allowed,
105863368,Cheras Ria,,RM 700 per month,Kuala Lumpur - Cheras,Flat,3,,1,650 sq.ft.,Partially Furnished,"Minimart, Playground, Jogging Track",,
105970749,Perumahan Awam Seri Pulau Pinang,,RM 700 per month,Kuala Lumpur - Cheras,Flat,1,,1,450 sq.ft.,Partially Furnished,Parking,Cooking Allowed,
105508344,Bangsar Permai,1998,RM 690 per month,Kuala Lumpur - Bangsar,Condominium,1,,1,300 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Gymnasium, Barbeque area, Squash Court, Parking, Security, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",
105976335,Damai Court,,RM 650 per month,Kuala Lumpur - Cheras,Flat,2,1,1,600 sq.ft.,Not Furnished,"Parking, Minimart","Near KTM/LRT, Cooking Allowed",
106051014,2 Hampshire,2009,"RM 6,700 per month",Kuala Lumpur - KLCC,Condominium,4,2,5,2440 sq.ft.,Fully Furnished,"Security, Swimming Pool, Lift, Club house, Barbeque area, Parking, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
102871892,Pavilion Ceylon Hill,2021,"RM 6,400 per month",Kuala Lumpur - KL City,Condominium,3,1,2,1165 sq.ft.,Fully Furnished,"Tennis Court, Gymnasium, Swimming Pool, Parking, Security, Lift, Sauna, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
105219467,Pavilion Ceylon Hill,2021,"RM 5,950 per month",Kuala Lumpur - KL City,Service Residence,3,,3,1374 sq.ft.,Fully Furnished,"Parking, Security, Barbeque area, Swimming Pool, Gymnasium, Lift, Playground, Sauna, Club house","Air-Cond, Cooking Allowed, Washing Machine",
106037432,Sentral Suites @ KL Sentral,2022,"RM 5,500 per month",Kuala Lumpur - KL Sentral,Service Residence,3,1,3,1025 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Gymnasium, Parking, Sauna, Multipurpose hall, Security, Barbeque area, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
106009031,i-Zen @ Kiara 2,2005,"RM 5,500 per month",Kuala Lumpur - Mont Kiara,Service Residence,4,2,3,1695 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",
105241732,Quill Residence,2021,"RM 5,000 per month",Kuala Lumpur - KLCC,Condominium,2,1,2,1400 sq.ft.,Fully Furnished,"Parking, Club house, Security, Swimming Pool, Multipurpose hall, Playground, Gymnasium, Barbeque area, Sauna, Lift","Air-Cond, Cooking Allowed, Washing Machine",
105880692,Miharja Apartment (LRT Maluri),,RM 430 per month,Kuala Lumpur - Cheras,Apartment,4,,2,850 sq.ft.,Fully Furnished,"Parking, Lift, Playground","Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",
106052551,South Brooks,,"RM 4,500 per month",Kuala Lumpur - Kepong,Condominium,3,2,2,1333 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool","Air-Cond, Cooking Allowed",
106052515,South Brooks,2021,"RM 4,500 per month",Kuala Lumpur - Desa ParkCity,Condominium,3,2,2,1333 sq.ft.,Partially Furnished,"Gymnasium, Barbeque area, Multipurpose hall, Playground, Swimming Pool, Lift, Parking, Security, Jogging Track","Air-Cond, Cooking Allowed",
106009024,Stonor 3 @ KLCC,2019,"RM 4,500 per month",Kuala Lumpur - KLCC,Service Residence,1,,2,871 sq.ft.,Fully Furnished,"Parking, Playground, Swimming Pool, Multipurpose hall, Security, Gymnasium, Barbeque area, Squash Court","Cooking Allowed, Near KTM/LRT, Washing Machine, Air-Cond",
105753324,KL Gateway Premium Residences,2019,"RM 4,300 per month",Kuala Lumpur - Bangsar South,Service Residence,3,1,3,1400 sq.ft.,Fully Furnished,"Gymnasium, Minimart, Barbeque area, Security, Playground, Swimming Pool, Lift, Parking",,
106036973,Sky Suites @ KLCC,2019,"RM 4,200 per month",Kuala Lumpur - KLCC,Service Residence,3,,2,890 sq.ft.,Fully Furnished,"Security, Parking, Sauna, Gymnasium, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
104919417,One Cochrane Residence,2021,"RM 4,200 per month",Kuala Lumpur - Cheras,Condominium,2,2,2,1098 sq.ft.,Fully Furnished,"Jogging Track, Parking, Swimming Pool, Barbeque area, Security, Playground, Gymnasium, Sauna, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",
105986538,G Residence (Desa Pandan),2015,"RM 4,200 per month",Kuala Lumpur - Desa Pandan,Service Residence,3,2,2,1600 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Parking, Security","Air-Cond, Cooking Allowed",
105241899,One Cochrane Residence,2021,"RM 4,000 per month",Kuala Lumpur - Cheras,Condominium,2,,2,1055 sq.ft.,Fully Furnished,"Parking, Security, Sauna, Swimming Pool, Playground, Jogging Track, Multipurpose hall, Gymnasium, Barbeque area, Lift","Air-Cond, Cooking Allowed, Washing Machine",
106048376,"ARIA Luxury Residence, KLCC",2019,"RM 3,880 per month",Kuala Lumpur - KLCC,Service Residence,1,1,1,630 sq.ft.,Fully Furnished,"Swimming Pool, Lift, Security, Parking, Gymnasium, Barbeque area, Sauna, Playground","Air-Cond, Cooking Allowed, Washing Machine",
105224954,Pavilion Ceylon Hill,2021,"RM 3,750 per month",Kuala Lumpur - KL City,Service Residence,1,1,1,662 sq.ft.,Fully Furnished,"Parking, Security, Barbeque area, Swimming Pool, Gymnasium, Lift, Playground, Sauna, Club house","Air-Cond, Cooking Allowed, Washing Machine",
105856866,The Park Sky Residence @ Bukit Jalil City,2019,"RM 3,500 per month",Kuala Lumpur - Bukit Jalil,Service Residence,3,2,2,1044 sq.ft.,Partially Furnished,"Swimming Pool, Parking, Multipurpose hall, Security, Playground, Sauna, Gymnasium, Lift","Air-Cond, Cooking Allowed",
104248091,Lavile,2021,"RM 3,500 per month",Kuala Lumpur - Cheras,Service Residence,3,,2,956 sq.ft.,Fully Furnished,"Barbeque area, Multipurpose hall, Swimming Pool, Gymnasium, Security, Lift, Playground, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",
106038016,Vortex Hotel Suites & Residences @ KLCC,2016,"RM 3,500 per month",Kuala Lumpur - Jalan Sultan Ismail,Service Residence,3,,2,744 sq.ft.,Fully Furnished,"Security, Minimart, Lift, Parking, Playground, Gymnasium, Sauna, Club house, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
105976720,Scarletz Suites @ KL City Centre,2022,"RM 3,500 per month",Kuala Lumpur - KLCC,Service Residence,1,,1,450 sq.ft.,Fully Furnished,"Security, Swimming Pool, Gymnasium, Minimart, Lift, Parking","Air-Cond, Cooking Allowed, Washing Machine",
105271108,Sunway Velocity TWO,2024,"RM 3,450 per month",Kuala Lumpur - Cheras,Service Residence,3,1,2,890 sq.ft.,Fully Furnished,"Lift, Parking, Playground, Multipurpose hall, Swimming Pool, Gymnasium, Security, Jogging Track, Barbeque area, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
105980882,Altitude 236,2014,"RM 3,300 per month",Kuala Lumpur - Cheras,Condominium,3,2,2,1485 sq.ft.,Fully Furnished,"Parking, Barbeque area, Security, Playground, Swimming Pool, Minimart, Gymnasium, Tennis Court, Sauna, Squash Court, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",
106050700,BLOOMSVALE,2023,"RM 3,300 per month",Kuala Lumpur - Old Klang Road,Service Residence,3,1,2,822 sq.ft.,Fully Furnished,"Jogging Track, Gymnasium, Playground, Tennis Court, Multipurpose hall, Swimming Pool, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine, Internet",
106032036,Continew Condominium,2020,"RM 3,300 per month",Kuala Lumpur - Pudu,Condominium,2,1,2,871 sq.ft.,Fully Furnished,"Barbeque area, Multipurpose hall, Parking, Lift, Swimming Pool, Gymnasium, Sauna, Security, Minimart","Air-Cond, Cooking Allowed, Washing Machine",
106001978,Razak City Residences (RC Residence),2020,"RM 3,300 per month",Kuala Lumpur - Sungai Besi,Service Residence,3,1,3,1045 sq.ft.,Fully Furnished,"Lift, Jogging Track, Security, Swimming Pool, Barbeque area, Parking, Playground, Gymnasium",Air-Cond,
106000775,Quill Residence,2021,"RM 3,300 per month",Kuala Lumpur - KLCC,Condominium,1,1,1,670 sq.ft.,Fully Furnished,"Playground, Barbeque area, Sauna, Swimming Pool, Parking, Security, Gymnasium, Multipurpose hall, Club house",,
105637253,Lavile,2021,"RM 3,300 per month",Kuala Lumpur - Cheras,Service Residence,3,1,2,956 sq.ft.,Fully Furnished,"Multipurpose hall, Parking, Security, Swimming Pool, Barbeque area, Gymnasium",,
105994086,Sunway Velocity TWO,2024,"RM 3,300 per month",Kuala Lumpur - Cheras,Service Residence,2,1,1,840 sq.ft.,Fully Furnished,"Lift, Barbeque area, Gymnasium, Parking, Playground, Jogging Track, Multipurpose hall, Security, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",
105975978,Altitude 236,2014,"RM 3,300 per month",Kuala Lumpur - Cheras,Condominium,3,,2,1485 sq.ft.,Fully Furnished,"Parking, Playground, Squash Court, Swimming Pool, Gymnasium, Security, Tennis Court, Barbeque area, Minimart, Sauna","Air-Cond, Cooking Allowed, Washing Machine",
106053412,Sky Meridien,2022,"RM 3,200 per month",Kuala Lumpur - Sentul,Service Residence,3,2,2,1200 sq.ft.,Fully Furnished,"Playground, Barbeque area, Security, Swimming Pool, Gymnasium, Parking, Multipurpose hall, Lift, Sauna","Near KTM/LRT, Cooking Allowed, Air-Cond, Washing Machine",
106040855,Soho Suites @ KLCC,2013,"RM 3,200 per month",Kuala Lumpur - KLCC,Service Residence,2,1,1,885 sq.ft.,Fully Furnished,"Swimming Pool, Parking, Sauna, Security, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",
106005374,Sky Meridien,2022,"RM 3,200 per month",Kuala Lumpur - Sentul,Service Residence,4,2,2,1200 sq.ft.,Fully Furnished,"Security, Swimming Pool, Gymnasium, Lift, Playground, Barbeque area, Parking, Sauna, Multipurpose hall",Air-Cond,
106003549,Angkasa Impian 1,2004,"RM 3,200 per month",Kuala Lumpur - Bukit Bintang,Condominium,4,,3,1500 sq.ft.,Fully Furnished,"Sauna, Security, Playground, Gymnasium, Barbeque area, Parking, Swimming Pool, Squash Court",,
105992205,Trion @ KL,2025,"RM 3,200 per month",Kuala Lumpur - Sungai Besi,Condominium,3,2,3,1023 sq.ft.,Fully Furnished,"Jogging Track, Barbeque area, Gymnasium, Security, Playground, Swimming Pool, Sauna, Multipurpose hall, Parking, Lift","Air-Cond, Washing Machine, Cooking Allowed, Near KTM/LRT",
105987338,Sky Meridien,2022,"RM 3,199 per month",Kuala Lumpur - Sentul,Service Residence,4,2,2,1200 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
105888086,The Era,2021,"RM 3,000 per month",Kuala Lumpur - Segambut,Service Residence,3,2,2,1033 sq.ft.,Fully Furnished,"Gymnasium, Barbeque area, Playground, Swimming Pool, Jogging Track, Sauna, Parking, Security, Lift, Minimart, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Internet",
106048821,The Park Sky Residence @ Bukit Jalil City,2019,"RM 3,000 per month",Kuala Lumpur - Bukit Jalil,Service Residence,2,1,2,953 sq.ft.,Fully Furnished,"Parking, Multipurpose hall, Gymnasium, Security, Lift, Playground, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
106020975,BLOOMSVALE,2023,"RM 3,000 per month",Kuala Lumpur - Old Klang Road,Service Residence,3,2,2,822 sq.ft.,Fully Furnished,"Gymnasium, Multipurpose hall, Barbeque area, Jogging Track, Tennis Court, Playground, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",
106004278,The Address @ Taman Desa,2022,"RM 3,000 per month",Kuala Lumpur - Taman Desa,Condominium,3,2,3,1180 sq.ft.,Fully Furnished,"Security, Barbeque area, Parking, Swimming Pool, Playground, Gymnasium, Jogging Track, Lift, Multipurpose hall","Air-Cond, Near KTM/LRT, Washing Machine, Cooking Allowed",
105844941,,,"RM 3,000 per month",Kuala Lumpur - KL Eco City,Service Residence,1,1,1,645 sq.ft.,Fully Furnished,"Parking, Lift, Barbeque area, Gymnasium, Security, Minimart, Club house, Playground, Swimming Pool, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
105985902,The Valley @ SkySierra,2023,"RM 3,000 per month",Kuala Lumpur - Setiawangsa,Condominium,3,,2,1200 sq.ft.,Partially Furnished,"Gymnasium, Jogging Track, Parking, Playground, Tennis Court, Barbeque area, Security, Lift, Multipurpose hall",,
105817019,V Residence 2 @ Sunway Velocity,2018,"RM 3,000 per month",Kuala Lumpur - Cheras,Service Residence,2,1,1,635 sq.ft.,Fully Furnished,"Playground, Jogging Track, Lift, Barbeque area, Sauna, Security, Gymnasium, Multipurpose hall, Swimming Pool, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
105980310,Kiaramas Sutera,2004,"RM 3,000 per month",Kuala Lumpur - Mont Kiara,Condominium,3,2,3,1600 sq.ft.,Fully Furnished,"Minimart, Barbeque area, Security, Swimming Pool, Sauna, Parking, Playground, Tennis Court, Squash Court, Gymnasium, Jogging Track, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",
101606381,M Vertica,2023,"RM 3,000 per month",Kuala Lumpur - Cheras,Condominium,4,2,2,1000 sq.ft.,Fully Furnished,"Tennis Court, Swimming Pool, Jogging Track, Lift, Parking, Security, Playground, Barbeque area, Multipurpose hall, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",
106011276,Emerald Hills,2025,"RM 2,900 per month",Kuala Lumpur - Cheras,Condominium,3,2,2,1195 sq.ft.,Partially Furnished,"Club house, Parking, Swimming Pool, Playground, Jogging Track, Barbeque area, Sauna, Security",Cooking Allowed,
105993186,Kaleidoscope Residensi Setiawangsa,2020,"RM 2,900 per month",Kuala Lumpur - Setiawangsa,Condominium,3,2,2,1196 sq.ft.,Partially Furnished,"Parking, Lift, Playground, Swimming Pool, Gymnasium, Sauna, Security, Jogging Track",,
105993165,Kaleidoscope Residensi Setiawangsa,2020,"RM 2,900 per month",Kuala Lumpur - Setiawangsa,Condominium,3,2,2,1196 sq.ft.,Fully Furnished,"Parking, Lift, Playground, Swimming Pool, Gymnasium, Sauna, Security, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
105703018,Nadi Bangsar Service Residence,2017,"RM 2,900 per month",Kuala Lumpur - Bangsar,Service Residence,1,1,2,890 sq.ft.,Fully Furnished,"Security, Playground, Gymnasium, Jogging Track, Lift, Parking, Minimart, Swimming Pool, Barbeque area",,
105985712,Trion @ KL,2025,"RM 2,900 per month",Kuala Lumpur - Sungai Besi,Condominium,2,,2,1050 sq.ft.,Fully Furnished,"Playground, Security, Swimming Pool, Gymnasium, Multipurpose hall, Parking, Jogging Track, Barbeque area, Sauna",Air-Cond,
105983068,Lavile,2021,"RM 2,900 per month",Kuala Lumpur - Cheras,Condominium,2,1,2,750 sq.ft.,Fully Furnished,"Barbeque area, Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium","Air-Cond, Washing Machine, Cooking Allowed",
