Link,Name,Property Type,No of Rooms,Property Size (sq. ft),Monthly Rent,Property Address
https://www.mudah.my/seri-borneo-apartment-iramanis-kolombong-luyang-damai-likas-106444830.htm,Seri Borneo apartment | Iramanis | Kolombong | Luyang | damai | Likas,Condominium,3,1450,"RM1,700",Sabah
https://www.mudah.my/Warehouse+Light+Industrial+Harmony+Industrial+Park+Inanam-103272663.htm,Warehouse | Light Industrial | Harmony Industrial Park | Inanam,Warehouse / Factory,,5750,"RM12,000",Sabah
https://www.mudah.my/cyber-city-studio-apt-phs-1-kepayan-3rdfl-106444377.htm,Cyber City Studio Apt - Phs 1 - Kepayan - 3rdFL,Apartment,1,410,RM820,Sabah
https://www.mudah.my/Sutera+Avenue-105881635.htm,Sutera Avenue,Condominium,2,726,"RM2,600",Sabah
https://www.mudah.my/+LIKAS+PEAK+VISTA+Luxury+lifestyle+3mins+to+CDB+KK-105196381.htm,[LIKAS] [PEAK VISTA] Luxury lifestyle 3mins to CDB KK,Condominium,3,1288,"RM4,200",Sabah
https://www.mudah.my/bukit-bantayan-room-for-rent-106443870.htm,BUKIT BANTAYAN Room for rent,Apartment / Flat,,200,RM400,Sabah
https://www.mudah.my/luyang-phase-8-ground-floor-shop-lot-facing-main-road-l-lintas-damai-106443553.htm,Luyang Phase 8 Ground Floor Shop Lot Facing Main Road l Lintas Damai,Shop lot,,1200,"RM7,000",Sabah
https://www.mudah.my/corner-end-lot-showroom-offices-warehouse-factory-all-in-one-indus-106443702.htm,Corner End Lot Showroom/Offices/Warehouse/Factory All-In-One Indus,Warehouse / Factory,,7884,"RM11,888",Sabah
https://www.mudah.my/one-sulaman-condominium-106443276.htm,One Sulaman Condominium,Condominium,3,1100,"RM2,000",Sabah
https://www.mudah.my/luyang-jindo-taman-bestari-double-storey-terrace-fully-furnished-106443271.htm,Luyang / Jindo / Taman Bestari / Double Storey Terrace Fully Furnished,2-storey Terraced House,4,2500,"RM3,500",Sabah
https://www.mudah.my/KK+Riverson+Office+Fully+Equipped+with+Stylish+Design+FOR+REMT-106113089.htm,KK Riverson Office Fully Equipped with Stylish Design FOR REMT,Office space,,15979,"RM80,000",Sabah
https://www.mudah.my/aman-sari-lofts-3r2b-menggatal-fully-furnished-for-rent-106392633.htm,Aman Sari Lofts | 3R2B | Menggatal | Fully Furnished | For Rent,Apartment,3,948,"RM1,600",Sabah
https://www.mudah.my/taman-suria-shoplot-ground-floor-int-corner-renovated-penampang-106335851.htm,Taman Suria Shoplot | Ground Floor | Int-Corner | Renovated |Penampang,Shop lot,,1250,"RM3,500",Sabah
https://www.mudah.my/Marina+Court+Airbnb+Allowed+Fully+Furnished+Imago+Centre+Point-106180724.htm,Marina Court | Airbnb Allowed | Fully Furnished | Imago | Centre Point,Condominium,3,1200,"RM2,600",Sabah
https://www.mudah.my/country-heights-apartment-for-rent-106443239.htm,Country Heights' Apartment for rent,Apartment,2,450,RM950,Sabah
https://www.mudah.my/apartment-qe-kepayan-penampang-lintas-kota-kinabalu-106442829.htm,Apartment | QE | Kepayan | Penampang | Lintas | Kota Kinabalu,Apartment,3,750,"RM1,600",Sabah
https://www.mudah.my/tropicana-landmark-condo-bundusan-for-rent-106443096.htm,Tropicana Landmark Condo Bundusan FOR RENT📢📢📢,Condominium,3,1300,"RM2,500",Sabah
https://www.mudah.my/taman-penampang-apartment-ground-floor-for-rent-newly-painted-3-rooms-106443036.htm,Taman Penampang Apartment Ground Floor For Rent Newly Painted 3 Rooms,Apartment,3,1043,"RM1,400",Sabah
https://www.mudah.my/Pelagos+Designer+Suites+l+Sea+View+l+2+Car+Park+l+Fully+Furnished-106127739.htm,Pelagos Designer Suites l Sea View l 2 Car Park l Fully Furnished,Condominium,3,2018,"RM6,500",Sabah
https://www.mudah.my/for-rent-kk-times-square-next-to-the-melilea-wellness-store-106442701.htm,For RENT | KK Times Square | Next to the Melilea Wellness Store,Shop lot,,1971,"RM10,000",Sabah
https://www.mudah.my/Donggongon+Avenue+Office+Tower+Semi+D+6+Storey+For+Rent-104700281.htm,Donggongon Avenue | Office Tower | Semi D | 6 Storey | For Rent,Office space,,11115,"RM18,000",Sabah
https://www.mudah.my/Commercial+Land+Alam+Mesra+Beside+TARC+For+Rent-104700348.htm,Commercial Land | Alam Mesra | Beside TARC | For Rent,Commercial,,2.2,"RM38,332",Sabah
https://www.mudah.my/the-gardens-condo-l-bundusan-l-kepayan-l-fully-furnished-l-2-car-parks-106388567.htm,The Gardens Condo l Bundusan l Kepayan l Fully Furnished l 2 Car Parks,Condominium,3,838,"RM2,499",Sabah
https://www.mudah.my/taman-penampang-apartment-l-2nd-floor-l-ready-move-in-l-3-bedrooms-106314291.htm,Taman Penampang Apartment l 2nd Floor l Ready Move In l 3 Bedrooms,Apartment,3,1000,"RM1,250",Sabah
https://www.mudah.my/lido-four-season-for-rent-106442655.htm,Lido Four Season - For RENT,Condominium,3,1000,"RM2,200",Sabah
https://www.mudah.my/maya-condo-likas-prime-location-3r2b-low-floor-unfurnished-106442402.htm,Maya Condo Likas | Prime Location | 3R2B | Low Floor | Unfurnished,Condominium,3,1034,"RM2,400",Sabah
https://www.mudah.my/taman-formosa-bundusan-2-storey-inter-corner-penampang-for-rent-106442630.htm,Taman Formosa Bundusan | 2-Storey Inter Corner | Penampang | For Rent,2-storey Terraced House,4,3250,"RM3,500",Sabah
https://www.mudah.my/tawau-fajar-ground-floor-secret-recipe-dozo-pate-grilled-nearby-106441503.htm,"Tawau Fajar 🔥 Ground Floor - Secret Recipe, Dozo, Pate Grilled Nearby",Shop lot,,1060,"RM3,000",Sabah
https://www.mudah.my/marina-couurt-fully-furnish-for-rent-106441558.htm,Marina Couurt Fully Furnish for Rent,Condominium,3,1216,"RM2,400",Sabah
https://www.mudah.my/Lintas+Square+Office+Luyang+Penampang-105934158.htm,Lintas Square / Office / Luyang / Penampang,Office space,,1300,"RM1,600",Sabah
https://www.mudah.my/office-space-for-rent-in-wisma-merdeka-phase-2-106441140.htm,Office Space for Rent in Wisma Merdeka Phase 2,Office space,,700,RM450,Sabah
https://www.mudah.my/for-rent-106441088.htm,For Rent,Houses,,300,"RM1,200",Sabah
https://www.mudah.my/for-rent-inanam-business-centre-office-cum-residential-106440786.htm,FOR RENT | Inanam Business Centre | Office cum residential,Shop lot,,1250,"RM2,800",Sabah
https://www.mudah.my/Royal+Plaza+Putatan+Petagas+Lok+Kawi+Kepayan-105865301.htm,Royal Plaza / Putatan / Petagas / Lok Kawi / Kepayan,Office space,,1202,"RM2,000",Sabah
https://www.mudah.my/pelagos-designer-suites-kk-city-centre-for-rent-rm6500-106325837.htm,Pelagos Designer Suites KK City Centre For Rent RM6500,Condominium,5,2018,"RM6,500",Sabah
https://www.mudah.my/jesselton-quay-city-living-fully-furnished-unit-106440690.htm,[Jesselton Quay] [City Living] Fully furnished unit,Service Residence,2,522,"RM3,000",Sabah
https://www.mudah.my/CHEAP+CHEAP+CHEAP+Indah+Permai+Office+Sepanggar-102431476.htm,CHEAP CHEAP CHEAP !!! | Indah Permai | Office | Sepanggar,Office space,,439,RM969,Sabah
https://www.mudah.my/Warehouse+For+Rent+Inanam+Lowest+Price+Guaranteed+-105442144.htm,Warehouse For Rent | Inanam | Lowest Price Guaranteed |,Warehouse / Factory,,10190,"RM14,000",Sabah
https://www.mudah.my/the-palm-condominium-kinarut-papar-cheap-106251029.htm,The Palm Condominium | Kinarut | Papar | Cheap,Condominium,3,1080,"RM1,250",Sabah
https://www.mudah.my/Inanam+Kolombong+Bus+Terminal+Office+Kota+Kinabalu-105430032.htm,Inanam | Kolombong | Bus Terminal | Office | Kota Kinabalu,Office space,,1200,"RM1,350",Sabah
https://www.mudah.my/office-lot-at-menara-maa-kota-kinabalu-for-rent-106439878.htm,Office Lot at Menara MAA (Kota Kinabalu) for Rent,Office space,,840,"RM2,240",Sabah
https://www.mudah.my/bilik-sewa-murah-106439794.htm,Bilik Sewa Murah,Apartment / Flat,,100,RM300,Sabah
https://www.mudah.my/indah-court-apartment-ground-floor-3-bedrooms-fully-furnished-106439760.htm,"Indah Court Apartment, Ground Floor, 3 Bedrooms, FULLY FURNISHED!!",Apartment,3,1078,"RM1,800",Sabah
https://www.mudah.my/for-rent-golden-hill-garden-fully-furnished-kepayan-area-106439495.htm,For Rent | Golden Hill Garden | Fully Furnished | Kepayan Area,2-storey Terraced House,4,2000,"RM6,000",Sabah
