Link,Name,Property Type,No of Rooms,Property Size (sq. ft),Monthly Rent,Property Address
https://www.mudah.my/pengkalan-pinji-mewah-double-storey-house-for-rent-106443766.htm,Pengkalan Pinji Mewah Double Storey House For Rent,2-storey Terraced House,4,1400,RM 900,Perak
https://www.mudah.my/double-storey-house-for-rent-in-bandar-seri-botani-ipoh-106442993.htm,"Double Storey House For Rent In Bandar Seri Botani,Ipoh",2-storey Terraced House,4,1650,"RM 1,650",Perak
https://www.mudah.my/klebang-double-storey-shoplot-for-rent-106442500.htm,Klebang double Storey Shoplot for rent,Shop lot,,1400,"RM 1,200",Perak
https://www.mudah.my/rumah-untuk-disewa-106442202.htm,Rumah untuk disewa,Apartment,3,810,RM 600,Perak
https://www.mudah.my/shoplot-for-rent-at-gerbang-meru-indah-106441712.htm,Shoplot for Rent at Gerbang meru indah,Shop lot,,1400,"RM 1,500",Perak
https://www.mudah.my/bilik-utk-disewa-di-bemban-batu-gajah-106441525.htm,Bilik utk disewa di Bemban Batu gajah,Houses,,350,RM 380,Perak
https://www.mudah.my/rumah-semi-d-utk-disewa-106441452.htm,Rumah semi d utk disewa,Semi-Detached House,3,1400,RM 740,Perak
https://www.mudah.my/rooms-for-rent-bandar-baru-sri-klebang-chemor-perak-106441212.htm,"Rooms for Rent _ Bandar Baru Sri Klebang _ Chemor, Perak",Houses,,400,RM 500,Perak
https://www.mudah.my/apartment-anjung-lekir-untuk-disewa-106441154.htm,Apartment Anjung Lekir Untuk Disewa,Apartment,3,850,RM 450,Perak
https://www.mudah.my/rumah-untuk-di-sewa-di-taman-sri-damai-1-106441100.htm,Rumah Untuk di Sewa di Taman Sri Damai 1,1-storey Terraced House,3,1300,RM 500,Perak
https://www.mudah.my/ipoh-town-anderson-condo-fully-furnishes-for-rent-106440734.htm,Ipoh Town Anderson Condo Fully Furnishes For Rent,Condominium,2,705,"RM 1,500",Perak
https://www.mudah.my/tapah-3-5ac-agricultural-land-for-rent-106440771.htm,Tapah 3.5ac agricultural land for rent,Agricultural,,3,"RM 1,500",Perak
https://www.mudah.my/clean-cosy-house-near-utar-campus-106288645.htm,CLEAN & COSY House Near UTAR Campus,Terraced House,4,1200,"RM 1,100",Perak
https://www.mudah.my/furnished-with-auto-gate-very-cosy-dsth-for-rent-bercham-106440714.htm,"Furnished with auto gate, very cosy dsth for rent @ Bercham",2-storey Terraced House,4,1500,"RM 1,500",Perak
https://www.mudah.my/Bilik+Eklusif+Manjung-42427530.htm,Bilik Eklusif Manjung,Others,,300,RM 380,Perak
https://www.mudah.my/rumah-untuk-disewa-106440434.htm,Rumah untuk disewa,Others,2,950,RM 350,Perak
