Link,Name,Property Type,No of Rooms,Property Size (sq. ft),Monthly Rent,Property Address
https://www.mudah.my/Puteri+Palma+Condo+1650sf+Reno+Fully+Furnish+2+car+park-105892637.htm,"Puteri Palma Condo, 1650sf, Reno, Fully Furnish, 2 car park",Condominium,3,1650,"RM 3,200",Putrajaya
https://www.mudah.my/gems-residences-brand-new-977sf-fully-furnish-ioi-city-mall-3r2b-106315375.htm,"Gems Residences, Brand new, 977sf, Fully furnish, IOI City Mall, 3r2b",Service Residence,3,977,"RM 3,000",Putrajaya
https://www.mudah.my/The+Clio+Residences+1410sf+Fully+furnish+high+floor+IOI+city+Mall-105444561.htm,"The Clio Residences, 1410sf, Fully furnish, high floor, IOI city Mall",Service Residence,3,1410,"RM 2,900",Putrajaya
https://www.mudah.my/par-3-1668sf-3-room-3-bath-with-balcony-furnish-next-to-ioi-city-mall-106443834.htm,"Par 3,1668sf, 3 room 3 bath with balcony,Furnish,Next to IOI City Mall",Condominium,3,1668,"RM 4,800",Putrajaya
https://www.mudah.my/puteri-palma-condo-1515sf-3-1-room-fully-furnish-ioi-city-mall-106389741.htm,"Puteri Palma Condo, 1515sf, 3+1 room, Fully furnish, IOI City Mall",Condominium,3,1515,"RM 2,500",Putrajaya
https://www.mudah.my/+MURAH+kedai+ground+floor+di+presint+diplomatik+p15+putrajaya-105666764.htm,(MURAH)kedai ground floor di presint diplomatik p15 putrajaya,Shop lot,,1500,"RM 5,000",Putrajaya
https://www.mudah.my/the-clio-1151sf-3-room-2-bath-fully-furnish-next-to-ioi-city-mall-106443313.htm,"The Clio, 1151sf, 3 room 2 bath, Fully Furnish, Next to IOI City Mall",Service Residence,3,1151,"RM 2,600",Putrajaya
https://www.mudah.my/conezion-986sf-3-room-renovated-fully-furnish-ioi-city-mall-106294603.htm,"Conezion, 986sf, 3 room, Renovated, Fully Furnish, IOI City Mall",Service Residence,3,986,"RM 2,600",Putrajaya
https://www.mudah.my/dwiputra-residence-1200sf-3-1-room-fully-furnish-high-floor-reno-106443383.htm,"Dwiputra Residence, 1200sf, 3+1 room, Fully furnish, High floor, Reno",Condominium,3,1200,"RM 2,600",Putrajaya
https://www.mudah.my/+GROUNDFLOOR+presint+15+putrajaya+BEST+DEAL+LOWEST-104277446.htm,{GROUNDFLOOR}presint 15 putrajaya BEST DEAL LOWEST,Shop lot,,2400,"RM 7,500",Putrajaya
https://www.mudah.my/golf-course-view-puteri-palma-condominium-putrajaya-106442313.htm,"Golf Course View Puteri Palma Condominium, Putrajaya",Condominium,3,1490,"RM 2,500",Putrajaya
https://www.mudah.my/+GOOD+DEAL+Corner+office+with+LIFT+3rd+floor+presint+diplomatik-105700201.htm,(GOOD DEAL)Corner office with LIFT 3rd floor presint diplomatik,Shop lot,,1550,"RM 2,900",Putrajaya
https://www.mudah.my/groundfloor-good-presint-15-putrajaya-best-deal-lowest-mydin-area-106250464.htm,{GROUNDFLOOR GOOD}presint 15 putrajaya BEST DEAL LOWEST MYDIN AREA,Shop lot,,1540,"RM 9,500",Putrajaya
https://www.mudah.my/groundfloor-presint-15-putrajaya-good-deal-lowest-106250499.htm,{GROUNDFLOOR}presint 15 putrajaya GOOD DEAL LOWEST,Shop lot,,2400,"RM 7,500",Putrajaya
https://www.mudah.my/A+13+03+Putra+Damai+Apartment+Precinct+11+Putrajaya-105332328.htm,"A-13-03 Putra Damai Apartment, Precinct 11, Putrajaya",Apartment,3,845,"RM 1,100",Putrajaya
https://www.mudah.my/bilik-single-untuk-sewa-di-pangsapuri-putra-harmoni-106439810.htm,Bilik single untuk sewa di pangsapuri putra harmoni,Apartment / Flat,,100,RM 420,Putrajaya
https://www.mudah.my/bilik-sharing-master-bedroom-presint-16-jintan-all-in-106439182.htm,Bilik Sharing (Master bedroom) - Presint 16 Jintan All in,Apartment / Flat,,1200,RM 270,Putrajaya
https://www.mudah.my/Partly+Furnished+2+bedrooms+in+Aura+Presint+8+Putrajaya+2+Carpark-106132542.htm,Partly Furnished 2 bedrooms in Aura Presint 8 Putrajaya 2 Carpark,Condominium,2,750,"RM 1,700",Putrajaya
https://www.mudah.my/bilik-sewa-presint-17-putrajaya-106437336.htm,Bilik sewa Presint 17 Putrajaya,Apartment / Flat,,400,RM 300,Putrajaya
https://www.mudah.my/for-rent-partly-furnished-2-storey-terrace-presint-16-putrajaya-106434826.htm,FOR RENT PARTLY FURNISHED 2 Storey Terrace Presint 16 Putrajaya,2-storey Terraced House,4,2097,"RM 2,200",Putrajaya
