Link,Name,Property Type,No of Rooms,Property Size (sq. ft),Monthly Rent,Property Address
https://www.mudah.my/duplex-2-storey-eclipse-pangaea-cyberjaya-near-to-mmu-tamarind-dpulze-106204510.htm,"Duplex 2 Storey Eclipse @Pangaea Cyberjaya Near to MMU,Tamarind,Dpulze",Service Residence,3,1000,"RM 2,100",Selangor
https://www.mudah.my/Suria+Ixora+Apartment+Corner+Unit+Setia+Alam+Shah+Alam-105026445.htm,"Suria Ixora Apartment Corner Unit Setia Alam, Shah Alam",Apartment,3,700,"RM 1,200",Selangor
https://www.mudah.my/kalau-lambat-melepas-residensi-idaman-abadi-bdr-teknologi-kajang-106363155.htm,( KALAU LAMBAT MELEPAS ) Residensi Idaman Abadi Bdr Teknologi Kajang,Condominium,3,1044,"RM 1,300",Selangor
https://www.mudah.my/Kita+Impian+Apartment+Brand+New+Dengkil+Cybersouth-105702101.htm,"Kita Impian Apartment Brand New @ Dengkil, Cybersouth",Apartment,3,901,"RM 1,300",Selangor
https://www.mudah.my/limited-unit-p-furnish-sutramas-apartment-bandar-puchong-jaya-lrt-106445058.htm,!LIMITED UNIT! [P/Furnish] Sutramas Apartment Bandar Puchong Jaya LRT,Apartment,3,845,"RM 1,000",Selangor
https://www.mudah.my/+FURNISHED+NEW+Residensi+Mutiara+Emas+Kajang+2-106011474.htm,"[FURNISHED & NEW] Residensi Mutiara Emas, Kajang 2",Condominium,3,930,"RM 1,500",Selangor
https://www.mudah.my/taman-putra-perdana-2-storey-house-for-rent-106445112.htm,Taman Putra Perdana 2 Storey House For Rent,2-storey Terraced House,4,1200,"RM 1,300",Selangor
https://www.mudah.my/last-end-lot-unit-for-rent-in-alam-budiman-106445046.htm,Last end lot unit for rent in Alam Budiman,Retail space,,1400,"RM 5,500",Selangor
https://www.mudah.my/Shoplot+1st+Floor+Office+Unit+1650sf+Bandar+Mahkota+Cheras+Batu10-105648942.htm,Shoplot 1st Floor Office Unit (1650sf) Bandar Mahkota Cheras Batu10,Office space,,1650,"RM 1,800",Selangor
https://www.mudah.my/Shoplot+office+unit+Tmn+Semenyih+Sentral+for+rent-104553491.htm,Shoplot office unit Tmn Semenyih Sentral for rent,Office space,,1600,"RM 1,300",Selangor
https://www.mudah.my/trefoil-sudio-fully-furnish-behind-setia-city-mall-setia-alam-106267612.htm,"Trefoil Sudio Fully Furnish,Behind Setia City Mall,Setia Alam",Service Residence,1,486,"RM 1,200",Selangor
https://www.mudah.my/Semi+Detached+semi+furnish+for+rent+in+Setia+EcoPark+Setia+Alam-106118224.htm,"Semi Detached semi furnish for rent in Setia EcoPark,Setia Alam",Semi-Detached House,4,3910,"RM 4,500",Selangor
https://www.mudah.my/Best+ni+Rumah+BARU+siap+dgn+LANGSIR+BARU+Idaman+Abadi+Kajang-106137399.htm,Best ni Rumah BARU siap dgn LANGSIR  BARU Idaman Abadi Kajang,Condominium,3,1022,"RM 1,300",Selangor
https://www.mudah.my/block-c-level-8-residensi-idaman-abadi-bandar-teknologi-kajang-106334411.htm,BLOCK C | LEVEL 8 Residensi Idaman Abadi Bandar Teknologi Kajang,Condominium,3,1066,"RM 1,200",Selangor
https://www.mudah.my/duplex-tamarind-suites-cyberjaya-near-to-school-cyber-hosp-mall-106407208.htm,"Duplex Tamarind Suites Cyberjaya Near to School, Cyber Hosp, Mall",Studio,1,669,"RM 1,600",Selangor
https://www.mudah.my/Horizon+Suites+near+klia+nilai+sepang+kota+warisan-104640839.htm,"Horizon Suites , near klia , nilai , sepang , kota warisan",Service Residence,1,278,RM 700,Selangor
https://www.mudah.my/CHEAPEST+LAST+UNIT+3+Storey+Twin+Factory+Elmina+Sg+Buloh+Shah+Alam-105469003.htm,CHEAPEST LAST UNIT!! 3 Storey Twin Factory Elmina Sg Buloh Shah Alam,Warehouse / Factory,,10500,"RM 16,500",Selangor
