Link,Name,Property Type,No of Rooms,Property Size (sq. ft),Monthly Rent,Property Address
https://www.mudah.my/cheapest-in-market-gardens-ville-sungai-ara-condo-furnished-2-carpark-106207776.htm,CHEAPEST In Market! Gardens Ville Sungai Ara Condo Furnished 2 Carpark,Condominium,3,1230,"RM 1,600",Penang
https://www.mudah.my/cheapest-gardens-ville-sungai-ara-furnished-renovated-high-floor-106207777.htm,CHEAPEST!! Gardens Ville Sungai Ara Furnished Renovated High Floor,Condominium,3,1230,"RM 1,800",Penang
https://www.mudah.my/MINDEN+PLACE+Gelugor+3+Triple+Storey+Semi+D+6+Bedrooms+USM+Gambir-105946789.htm,MINDEN PLACE Gelugor 3 Triple Storey Semi D 6 Bedrooms USM Gambir,Semi-Detached House,6,4200,"RM 3,600",Penang
https://www.mudah.my/skycube-residence-bayan-lepas-sungai-ara-for-rent-fully-furnised-106445077.htm,Skycube residence Bayan Lepas Sungai Ara for Rent! Fully Furnised,Condominium,3,1250,"RM 1,900",Penang
https://www.mudah.my/2-storey-new-detached-factory-warehouse-batu-kawan-for-rent-43560-sqft-106429156.htm,2 Storey New Detached Factory Warehouse Batu Kawan For Rent 43560 Sqft,Warehouse / Factory,,43560,"RM 74,800",Penang
https://www.mudah.my/batu-kawan-double-detached-factory-for-rent-64186-sqft-with-1000-amp-106259671.htm,Batu Kawan Double Detached Factory For Rent 64186 Sqft With 1000 Amp,Warehouse / Factory,,40000,"RM 109,000",Penang
https://www.mudah.my/Batu+Kawan+New+Shoplot+For+Rent+Potential+Business+Place+3575Sqft-105083182.htm,Batu Kawan New Shoplot For Rent Potential Business Place 3575Sqft,Shop lot,,1975,"RM 11,000",Penang
https://www.mudah.my/Eco+Industrial+Park+Batu+Kawan+1+5+Sty+Light+Industrial+Unit+to+Let-104701891.htm,Eco Industrial Park Batu Kawan 1.5 Sty Light Industrial Unit to Let,Warehouse / Factory,,15000,"RM 25,000",Penang
https://www.mudah.my/Bukit+Minyak+1+5+Sty+Detached+Factory+Warehouse+For+Rent+2+6+Acre-103476962.htm,Bukit Minyak 1.5 Sty Detached Factory Warehouse For Rent 2.6 Acre,Warehouse / Factory,,113256,"RM 149,500",Penang
https://www.mudah.my/5-five-storey-commercial-building-abu-siti-georgetown-hotel-homestay-106220393.htm,[5 FIVE STOREY] Commercial Building Abu Siti Georgetown Hotel Homestay,Shop lot,,10500,"RM 26,000",Penang
