Link,Name,Property Type,No of Rooms,Property Size (sq. ft),Monthly Rent,Property Address
https://www.mudah.my/kedai-jln-sultan-sulaiman-k-trg-utk-sewa-106444404.htm,Kedai Jln Sultan Sulaiman K. Trg Utk Sewa,Shop lot,,1400,"RM 3,000",Terengganu
https://www.mudah.my/kedai-jln-sultan-zainal-abidin-k-trg-utk-sewa-106443976.htm,Kedai Jln Sultan Zainal Abidin K. Trg Utk Sewa,Shop lot,,1400,"RM 3,000",Terengganu
https://www.mudah.my/rumah-untuk-disewa-di-kerteh-berdekatan-balai-polis-kerteh-106442616.htm,Rumah Untuk Disewa Di Kerteh (Berdekatan Balai Polis Kerteh),Bungalow House,4,950,"RM 1,500",Terengganu
https://www.mudah.my/lot-3111-jalan-besar-kg-nyior-paka-dungun-106441881.htm,"Lot 3111, Jalan Besar Kg Nyior Paka, Dungun",Others,3,1000,RM 650,Terengganu
https://www.mudah.my/rumah-untuk-disewa-kg-nyior-paka-dungun-106441521.htm,"Rumah Untuk Disewa, Kg Nyior Paka, Dungun",Others,3,1000,RM 550,Terengganu
https://www.mudah.my/rumah-semi-d-kemasik-untuk-di-sewa-kemaman-106439465.htm,"Rumah Semi-D Kemasik untuk Di Sewa, Kemaman",Semi-Detached House,3,1200,"RM 1,200",Terengganu
https://www.mudah.my/Awana+Kijal+2+bedroom+Apartment-86455114.htm,Awana Kijal 2 bedroom Apartment,Apartment,2,1200,"RM 2,200",Terengganu
https://www.mudah.my/tanah-untuk-disewa-106436251.htm,tanah untuk disewa,Residential,,0.19,RM 650,Terengganu
https://www.mudah.my/rumah-sewa-dungun-106434445.htm,rumah sewa dungun,Semi-Detached House,2,900,RM 600,Terengganu
https://www.mudah.my/rumah-semid-untuk-di-sewa-dekat-masjid-jambu-bongkok-106433922.htm,Rumah SemiD Untuk Di sewa Dekat Masjid Jambu Bongkok,Semi-Detached House,3,300,RM 500,Terengganu
https://www.mudah.my/2-bilik-untuk-disewakan-106433899.htm,2 Bilik untuk disewakan,Houses,,12,RM 450,Terengganu
https://www.mudah.my/Taman+mahathir+tembusu-105973837.htm,Taman mahathir tembusu,Semi-Detached House,3,950,"RM 1,200",Terengganu
https://www.mudah.my/rumah-berhampiran-unisza-106422472.htm,rumah berhampiran unisza,Terraced House,2,800,RM 900,Terengganu
https://www.mudah.my/bilik-kosong-lelaki-sura-tengah-dungun-terengganu-106422145.htm,"Bilik Kosong Lelaki Sura Tengah,Dungun,Terengganu",Houses,,120,RM 250,Terengganu
https://www.mudah.my/h-h-sweet-retreat-icon-residence-muslims-only-106421901.htm,H&H Sweet Retreat @ Icon Residence (Muslims only),Apartment,3,1400,"RM 2,000",Terengganu
https://www.mudah.my/bilik-untuk-disewa-106421106.htm,Bilik untuk disewa,Houses,,120,RM 350,Terengganu
https://www.mudah.my/rumah-kedai-taman-geliga-untuk-disewa-106420012.htm,RUMAH / KEDAI Taman Geliga Untuk Disewa,Shop lot,,1800,"RM 1,500",Terengganu
https://www.mudah.my/bilik-sewa-106416594.htm,Bilik Sewa,Semi-Detached House,4,2000,RM 300,Terengganu
https://www.mudah.my/bilik-untuk-disewa-106415120.htm,Bilik Untuk Disewa,Houses,,100,RM 400,Terengganu
https://www.mudah.my/bilik-di-kg-gong-penaga-pasir-panjang-106413719.htm,bilik di kg gong penaga pasir panjang,Houses,,100,RM 250,Terengganu
https://www.mudah.my/rumah-untuk-pelajar-orang-bujang-di-gong-badak-106411978.htm,Rumah Untuk Pelajar & Orang Bujang Di Gong Badak.,1-storey Terraced House,3,850,"RM 1,200",Terengganu
https://www.mudah.my/rumah-bunglo-untuk-di-sewa-106406973.htm,Rumah Bunglo Untuk di Sewa,Bungalow House,4,524,"RM 1,100",Terengganu
https://www.mudah.my/rumah-semi-d-untuk-disewa-106405042.htm,Rumah Semi-D untuk disewa,Semi-Detached House,4,333,"RM 1,900",Terengganu
https://www.mudah.my/corner-lot-house-di-taman-adis-indah-106405024.htm,Corner Lot House Di Taman Adis Indah,1-storey Terraced House,3,1234,"RM 1,000",Terengganu
https://www.mudah.my/bilik-master-lelaki-private-bathroom-bndar-kemaman-106402640.htm,bilik master lelaki private bathroom bndar kemaman,Houses,,1500,RM 180,Terengganu
https://www.mudah.my/bilik-sewa-medium-besar-106401791.htm,Bilik Sewa Medium (Besar),Apartment / Flat,,802,RM 450,Terengganu
https://www.mudah.my/ruang-pejabat-untuk-disewakan-106401012.htm,Ruang Pejabat Untuk Disewakan,Office space,,1600,"RM 1,000",Terengganu
https://www.mudah.my/kemaman-rumah-untuk-disewa-106399252.htm,Kemaman: rumah untuk disewa,1.5-storey Terraced House,3,1300,RM 700,Terengganu
https://www.mudah.my/rumah-urk-disewa-106398457.htm,rumah urk disewa ,Bungalow House,3,2500,RM 800,Terengganu
https://www.mudah.my/rumah-lot-teres-bukit-kechil-untuk-kedai-pejabat-106397257.htm,Rumah Lot Teres (Bukit Kechil) untuk Kedai/Pejabat,Terraced House,2,1000,RM 900,Terengganu
https://www.mudah.my/rumah-untuk-disewa-teres-taman-tapai-indah-106396859.htm,Rumah untuk disewa - TERES TAMAN TAPAI INDAH,Terraced House,3,800,RM 600,Terengganu
https://www.mudah.my/bilik-sewa-paka-106394923.htm,Bilik Sewa Paka,Others,,10,RM 400,Terengganu
https://www.mudah.my/flat-sri-kolam-106394865.htm,Flat sri kolam,Apartment / Flat,,50,RM 160,Terengganu
https://www.mudah.my/rumah-untuk-di-sewa-di-kg-raja-besut-106394467.htm,"Rumah Untuk di sewa di Kg Raja, Besut",Bungalow House,3,1000,RM 650,Terengganu
https://www.mudah.my/For+Rent+Untuk+Disewa+Shoplot+Bandar+Jerteh+Di+Depan+Subway-102189810.htm,For Rent / Untuk Disewa Shoplot Bandar Jerteh Di Depan Subway,Shop lot,,1400,"RM 3,700",Terengganu
https://www.mudah.my/umt-unisza-room-rental-800-mbps-high-speed-wifi-utility-bill-106392461.htm,UMT / UniSZA Room Rental (800 Mbps High speed Wifi + Utility bill),Houses,,1000,RM 150,Terengganu
https://www.mudah.my/bungalow-depan-pejabat-kimia-kg-wakaf-beruas-kuala-terengganu-106391152.htm,Bungalow depan Pejabat Kimia Kg Wakaf Beruas Kuala Terengganu,Bungalow House,4,3000,"RM 1,700",Terengganu
https://www.mudah.my/Rumah+Banglo+Untuk+Pelajar+Perempuan+Muslimah+Di+Sura+Tengah+Dungun-105513860.htm,"Rumah Banglo Untuk Pelajar | Perempuan Muslimah Di Sura Tengah, Dungun",Houses,,1925,RM 205,Terengganu
https://www.mudah.my/kemasukan-segera-106384987.htm,kemasukan segera,Shoplot,,150,RM 300,Terengganu
https://www.mudah.my/kedai-sewa-gong-tok-nasek-106382386.htm,Kedai Sewa Gong Tok Nasek,Shop lot,,880,RM 700,Terengganu
https://www.mudah.my/room-for-rental-kerteh-106382009.htm,Room for rental (kerteh),Houses,,100,RM 300,Terengganu
https://www.mudah.my/bilik-untuk-disewa-di-kg-baru-kerteh-106381822.htm,Bilik Untuk Disewa Di Kg Baru Kerteh ,Link Bungalow,4,2200,RM 320,Terengganu
https://www.mudah.my/shoplot-2-tingkat-di-pekan-wakaf-tapai-trg-106376787.htm,"[𝐔𝐍𝐓𝐔𝐊 𝐃𝐈𝐒𝐄𝐖𝐀] Shoplot 2 Tingkat di Pekan Wakaf tapai, TRG",Shop lot,,2800,"RM 3,000",Terengganu
https://www.mudah.my/untuk-disewa-shoplot-tingkat-bawah-di-ladang-pusat-bandar-k-trg-106376632.htm,"[UNTUK DISEWA] Shoplot Tingkat Bawah di Ladang, Pusat Bandar K.TRG",Shop lot,,1400,"RM 2,500",Terengganu
https://www.mudah.my/tanah-untuk-disewa-106375823.htm,Tanah Untuk Disewa,Others,,500,"RM 3,000",Terengganu
https://www.mudah.my/rumah-teres-taman-kalong-bukit-kuang-106374997.htm,Rumah Teres Taman Kalong Bukit Kuang,Terraced House,3,1800,RM 750,Terengganu
https://www.mudah.my/2-unit-rumah-teres-2-tingkat-kuala-terengganu-106374552.htm,2 Unit Rumah Teres 2 Tingkat Kuala Terengganu,2-storey Terraced House,4,1600,"RM 1,300",Terengganu
https://www.mudah.my/rumah-sewa-limbong-106374510.htm,rumah sewa limbong,Semi-Detached House,3,2872,"RM 1,200",Terengganu
https://www.mudah.my/factory-warehouse-kemaman-for-rent-harga-berpatutan-ruang-maksimum-106372411.htm,Factory/Warehouse Kemaman for Rent【 harga berpatutan & ruang maksimum】,Warehouse / Factory,,4000,"RM 2,500",Terengganu
https://www.mudah.my/rumah-studio-untuk-disewa-106371620.htm,Rumah Studio Untuk Disewa,Others,1,24,RM 450,Terengganu
https://www.mudah.my/room-for-rent-bilik-utk-disewa-106371554.htm,Room for rent/ Bilik utk disewa,Houses,,400,RM 1,Terengganu
https://www.mudah.my/3+bedrooms+for+10+pax+fully+furnished+2+storey+house+at+Kg+Losong+KT-102419448.htm,"3 bedrooms for 10 pax, fully furnished 2 storey house at Kg Losong, KT",2-storey Terraced House,4,1200,"RM 1,200",Terengganu
https://www.mudah.my/room-for-rent-106371183.htm,Room for rent,Houses,,4500,RM 300,Terengganu
https://www.mudah.my/bilik-single-queen-family-utk-lelaki-perempuan-106371026.htm,Bilik Single/queen/family utk Lelaki/Perempuan,Sharing a house / Flat,,80,RM 350,Terengganu
https://www.mudah.my/Rumah+Terrace+2+tingkat+di+Taman+Semerak+Kuala+Terengganu-105527585.htm,Rumah Terrace 2 tingkat di Taman Semerak Kuala Terengganu,2-storey Terraced House,5,2400,"RM 1,800",Terengganu
https://www.mudah.my/bilik-sewa-wanita-berdekatan-muzium-losong-106366101.htm,Bilik Sewa Wanita (Berdekatan Muzium Losong),Houses,,250,RM 300,Terengganu
https://www.mudah.my/bilik-sewa-lelaki-berdekatan-muzium-losong-106366098.htm,Bilik Sewa Lelaki (Berdekatan Muzium Losong),Houses,,300,RM 300,Terengganu
https://www.mudah.my/rumah-selesa-untuk-keluarga-106363239.htm,Rumah selesa untuk keluarga ,Bungalow House,3,6000,RM 700,Terengganu
https://www.mudah.my/bilik-sewa-lelaki-106357935.htm,Bilik Sewa Lelaki,Shoplot,,18,RM 230,Terengganu
https://www.mudah.my/fully+furnished+rumah+utk+disewa+bukit+kuang+KSB+telok+kalong-104018019.htm,fully furnished rumah utk disewa bukit kuang KSB telok kalong,Semi-Detached House,4,1800,"RM 1,950",Terengganu
https://www.mudah.my/rumah-studio-untuk-disewa-106353276.htm,rumah studio untuk disewa,Bungalow House,1,350,RM 580,Terengganu
https://www.mudah.my/rumah-sewa-padang-landak-106350342.htm,Rumah sewa Padang Landak,Semi-Detached House,3,3750,RM 800,Terengganu
https://www.mudah.my/apartmen-ladang-gemilang-tingkat-5-106340016.htm,Apartmen Ladang Gemilang Tingkat 5,Apartment,4,1200,"RM 1,400",Terengganu
https://www.mudah.my/kedai-tingkat-atas-untuk-disewa-bandar-baru-bukit-mentok-kemaman-106339522.htm,Kedai Tingkat Atas untuk Disewa - Bandar Baru Bukit Mentok - Kemaman,Shop lot,,1400,RM 650,Terengganu
https://www.mudah.my/rumah-sewa-di-kg-gondang-binjai-rendah-106330522.htm,"Rumah Sewa di Kg. Gondang, Binjai Rendah.",Semi-Detached House,2,616,RM 500,Terengganu
https://www.mudah.my/perumahan-rantau-bukit-kertih-near-mesra-mall-106330490.htm,"Perumahan Rantau Bukit, Kertih, Near Mesra Mall",Houses,,100,RM 400,Terengganu
https://www.mudah.my/kondo-rakyat-ibai-106330481.htm,"Kondo Rakyat, Ibai",Flat,3,900,RM 350,Terengganu
https://www.mudah.my/rumah-kampung-satu-tingkat-pengkalan-ajal-hulu-terengganu-106329379.htm,"Rumah Kampung Satu Tingkat @ Pengkalan Ajal, Hulu Terengganu 🏠",Others,2,1200,RM 250,Terengganu
https://www.mudah.my/kondo-rakyat-kuala-ibai-bilik-untuk-perempuan-sahaja-106327006.htm,"Kondo Rakyat, Kuala Ibai - Bilik untuk perempuan sahaja",Apartment / Flat,,660,RM 150,Terengganu
https://www.mudah.my/tanah-luas-berlantai-konkrit-untuk-disewa-di-padang-midin-106318821.htm,TANAH LUAS BERLANTAI KONKRIT untuk disewa di PADANG MIDIN,Commercial,,0.57,"RM 1,500",Terengganu
https://www.mudah.my/kedai-atau-ruang-pejabat-untuk-disewa-area-flat-sri-kolam-106318330.htm,Kedai atau ruang pejabat untuk disewa area Flat Sri Kolam,Shop lot,,850,"RM 1,200",Terengganu
https://www.mudah.my/rumah-sewa-kg-baru-batu-tumbuh-106317394.htm,Rumah sewa kg baru batu tumbuh,Bungalow House,4,1700,"RM 1,500",Terengganu
https://www.mudah.my/bilik-sewa-106316989.htm,Bilik Sewa,Bungalow House,1,300,RM 350,Terengganu
https://www.mudah.my/bilik-sewa-lelaki-pangsapuri-ladang-tok-pelam-106311168.htm,bilik sewa lelaki pangsapuri ladang tok pelam,Apartment / Flat,,500,RM 450,Terengganu
https://www.mudah.my/Bilik+untuk+disewa-105111060.htm,Bilik untuk disewa,Others,,609,RM 450,Terengganu
https://www.mudah.my/satu-bilik-kosong-lelaki-106307886.htm,satu bilik kosong lelaki,Houses,,150,RM 350,Terengganu
https://www.mudah.my/kedai-untuk-di-sewa-20-x-50-di-jalan-pasir-panjang-kuala-trengganu-106307707.htm,Kedai Untuk Di Sewa 20 x 50 di Jalan Pasir Panjang Kuala Trengganu ,Shop lot,,1000,"RM 2,500",Terengganu
https://www.mudah.my/Kemaman+Chukai+shop+lot+showroom+office+sewa+rent-104689446.htm,Kemaman Chukai shop lot showroom office sewa rent,Shop lot,,2800,"RM 1,000",Terengganu
https://www.mudah.my/bilik-sewa-di-kuala-terengganu-106299166.htm,BILIK SEWA Di KUALA TERENGGANU,Houses,,300,RM 250,Terengganu
https://www.mudah.my/room-at-town-center-for-rent-106297057.htm,Room at town center for rent. ,Houses,,100,RM 350,Terengganu
https://www.mudah.my/bilik-sewa-untuk-perempuan-di-bandar-jerteh-kemasukan-april-2024-106291121.htm,Bilik sewa untuk perempuan di bandar Jerteh. Kemasukan April 2024,Terraced House,3,1400,RM 300,Terengganu
https://www.mudah.my/kompleks-kampong-tiong-apartment-for-rent-106284370.htm,Kompleks Kampong Tiong Apartment for rent,Apartment,2,1050,"RM 1,250",Terengganu
https://www.mudah.my/Warehouse+Industri+Gong+Badak+Kuala+Terengganu-104672984.htm,Warehouse Industri Gong Badak Kuala Terengganu,Warehouse / Factory,,33000,"RM 20,000",Terengganu
https://www.mudah.my/bilik-lelaki-mampu-sewa-kurang-10-minit-ke-bandar-jerteh-106275648.htm,Bilik lelaki - mampu SEWA. kurang 10 minit ke bandar jerteh,Houses,,90,RM 250,Terengganu
https://www.mudah.my/Bilik+Sewa+untuk+Perempuan+di+Bandar+Jertih-105094424.htm,Bilik Sewa untuk Perempuan di Bandar Jertih,Houses,,300,RM 300,Terengganu
https://www.mudah.my/tanah-kosong-dekat-umt-untuk-disewa-106271151.htm,Tanah Kosong dekat UMT untuk disewa,Residential,,0.3,RM 750,Terengganu
https://www.mudah.my/Wisma+Pantai+depan+KTCC+Mall+-105460563.htm,Wisma Pantai (depan KTCC Mall),Flat,2,800,RM 800,Terengganu
https://www.mudah.my/Pejabat+Jalan+Batas+Baru+depan+Hospital+Salam+-105460622.htm,Pejabat Jalan Batas Baru (depan Hospital Salam),Office space,,1200,"RM 1,300",Terengganu
https://www.mudah.my/single-storey-banggol-permai-kemaman-106263962.htm,"Single Storey Banggol Permai, Kemaman",1-storey Terraced House,3,1400,RM 750,Terengganu
https://www.mudah.my/bilik-sewa-perempuan-106262513.htm,bilik sewa perempuan,Houses,,1,RM 250,Terengganu
https://www.mudah.my/rumah-untuk-disewa-di-jalan-pusara-taman-alamanda-3-kuala-terengganu-106261832.htm,"Rumah untuk disewa di Jalan Pusara, Taman Alamanda 3, Kuala Terengganu",Terraced House,4,1377,"RM 1,800",Terengganu
https://www.mudah.my/rumah-untuk-disewa-106261281.htm,Rumah untuk disewa,1-storey Terraced House,3,1400,RM 900,Terengganu
https://www.mudah.my/Kedai+untuk+disewakan+Jerteh+Jalan+Kota+Bharu+Seberang+Jerteh-105420687.htm,"Kedai untuk disewakan Jerteh Jalan Kota Bharu, Seberang Jerteh",Shop lot,,1320,"RM 2,800",Terengganu
https://www.mudah.my/rumah-sewa-paya-resak-106260617.htm,rumah sewa paya resak,Semi-Detached House,3,1400,"RM 1,100",Terengganu
https://www.mudah.my/bilik-sewa-bulanan-perempuan-106259508.htm,Bilik sewa bulanan perempuan,Shoplot,,10,RM 160,Terengganu
https://www.mudah.my/rumah-utk-disewa-teres-fully-furnish-di-bandar-ambs-dungun-106257136.htm,"Rumah utk disewa, teres fully furnish di Bandar AMBS Dungun",1-storey Terraced House,2,1100,RM 650,Terengganu
https://www.mudah.my/Bilik+1+orang+untuk+disewa-105853910.htm,Bilik 1 orang untuk disewa,Sharing a house / Flat,,100,RM 250,Terengganu
https://www.mudah.my/rumah-utk-di-sewa-106251083.htm,rumah utk di sewa,1-storey Terraced House,2,555,RM 500,Terengganu
https://www.mudah.my/homestay-untuk-dijadikan-sewa-bulanan-106248456.htm,Homestay untuk dijadikan sewa bulanan,Semi-Detached House,3,1100,"RM 1,500",Terengganu
https://www.mudah.my/bilik-untuk-disewa-106244763.htm,Bilik untuk disewa,Houses,,400,RM 450,Terengganu
https://www.mudah.my/bilik-sewa-umt-unisza-ilp-ipgmkdri-perempuan-106239466.htm,Bilik Sewa UMT UNISZA ILP IPGMKDRI. Perempuan.,Houses,,120,RM 270,Terengganu
https://www.mudah.my/semi-d-200-meter-pagar-utama-unisza-106239095.htm,Semi d 200 meter pagar utama UNISZA,Houses,,1700,RM 220,Terengganu
https://www.mudah.my/rumah-untuk-disewa-106238906.htm,Rumah untuk disewa,Bungalow House,3,1110,RM 950,Terengganu
https://www.mudah.my/bilik-sharing-non-sharing-kemaman-perempuan-106238469.htm,Bilik 'Sharing/Non-Sharing' Kemaman (PEREMPUAN),Houses,,200,RM 290,Terengganu
https://www.mudah.my/rumah-sewa-bandar-chukai-kemaman-taman-indah-gong-pauh-106238322.htm,"Rumah Sewa Bandar Chukai, Kemaman - Taman Indah, Gong Pauh",Semi-Detached House,3,1076,RM 900,Terengganu
https://www.mudah.my/rumah-sewa-politeknik-dungun-106237909.htm,Rumah Sewa Politeknik Dungun,2-storey Terraced House,4,1200,"RM 1,400",Terengganu
https://www.mudah.my/rumah-banglo-1-tingkat-untuk-disewa-106237852.htm,Rumah Banglo 1 Tingkat Untuk Disewa,Bungalow House,4,1300,"RM 1,400",Terengganu
https://www.mudah.my/rumah-kayu-tanah-luas-sesuai-untuk-jadi-stor-kenderaan-pasir-panjang-106236361.htm,"Rumah Kayu Tanah Luas, Sesuai Untuk Jadi Stor Kenderaan, Pasir Panjang",Bungalow House,4,1000,"RM 1,200",Terengganu
https://www.mudah.my/bilik-roomstay-di-geliga-besar-kemaman-near-gebeng-cukai-ksb-106233383.htm,"Bilik Roomstay di Geliga besar, Kemaman near Gebeng, Cukai & KSB",Sharing a house / Flat,,100,RM 450,Terengganu
https://www.mudah.my/lot-bangunan-kedai-view-pantai-sura-106222333.htm,"Lot Bangunan Kedai,View Pantai Sura",Shop lot,,16000,"RM 5,000",Terengganu
https://www.mudah.my/Rumah+sewa+berdekatan+IPG+Batu+Rakit+MRSM+KT+UNISZA+Pok+Nong+Celup-106059928.htm,"Rumah sewa berdekatan IPG Batu Rakit, MRSM KT, UNISZA , Pok Nong Celup",Terraced House,3,1000,"RM 1,100",Terengganu
https://www.mudah.my/rumah-kedai-untuk-di-sewa-batu-buruk-106219641.htm,Rumah Kedai Untuk Di Sewa Batu Buruk,Shop lot,,1200,"RM 2,500",Terengganu
https://www.mudah.my/pangsapuri-ladang-tok-pelam-walking-distance-to-hsnz-106218904.htm,Pangsapuri Ladang Tok Pelam walking distance to HSNZ,Apartment,3,840,"RM 1,800",Terengganu
https://www.mudah.my/Kedai+di+Depan+Masjid+Meraga+Beris-104180799.htm,Kedai di Depan Masjid Meraga Beris,Shop lot,,1800,RM 500,Terengganu
https://www.mudah.my/pangsapuri-ladang-tok-pelam-walking-distance-to-hsnz-106216631.htm,Pangsapuri Ladang Tok Pelam walking distance to HSNZ,Apartment,3,840,"RM 1,800",Terengganu
https://www.mudah.my/bilik-studio-di-apartment-ladang-tanjung-106213104.htm,Bilik Studio di Apartment Ladang Tanjung ,Apartment,1,525,"RM 1,250",Terengganu
https://www.mudah.my/beralamat-1716-1-kampung-lubuk-kawah-kemasik-106206298.htm,"Beralamat 1716-1 Kampung Lubuk Kawah , Kemasik",Townhouse,3,10,RM 500,Terengganu
https://www.mudah.my/bilik-untuk-disewa-lelaki-106206139.htm,Bilik Untuk Disewa (Lelaki),Houses,,130,RM 210,Terengganu
https://www.mudah.my/tanah-untuk-disewa-106205122.htm,Tanah Untuk Disewa,Residential,,0.13,RM 650,Terengganu
https://www.mudah.my/tanah-pembangunan-kuala-nerus-106202305.htm,Tanah Pembangunan Kuala Nerus,Commercial,,1184,"RM 29,000",Terengganu
https://www.mudah.my/bilik-sewa-alur-lintang-room-to-rent-106200588.htm,BILIK SEWA Alur lintang / room to rent,Houses,,45,RM 300,Terengganu
https://www.mudah.my/Pejabat+untuk+diSewa+Tingkat+1+1st+Floor+di+Bandar+Chukai+Kemaman-76134704.htm,"Pejabat untuk diSewa (Tingkat 1 / 1st Floor) di Bandar Chukai, Kemaman",Retail space,,1540,"RM 1,100",Terengganu
https://www.mudah.my/bilik-untuk-disewa-106190800.htm,Bilik Untuk Disewa,Semi-Detached House,4,1600,RM 570,Terengganu
https://www.mudah.my/rumah-untuk-di-sewa-tebing-tembah-106190352.htm,Rumah Untuk Di Sewa (Tebing Tembah),Semi-Detached House,4,1200,"RM 1,200",Terengganu
