Link,Name,Property Type,No of Rooms,Property Size (sq. ft),Monthly Rent,Property Address
https://www.mudah.my/Nearby+LRT+MRT+2R2B2C+920SF+Fully+Furnished+Amaya+Maluri+Cheras-105508359.htm,Nearby LRT/MRT 2R2B2C 920SF Fully Furnished Amaya Maluri Cheras,Service Residence,2,920,"RM 2,500",Kuala Lumpur
https://www.mudah.my/173+Bilik+LELAKI+di+Condo+Plaza+Rah+Kg+Baru+KL+Sekitar+KL-106068831.htm,"173. Bilik LELAKI di Condo Plaza Rah Kg Baru, KL & Sekitar KL",Condo / Services residence / Penthouse / Townhouse,,1200,RM 300,Kuala Lumpur
https://www.mudah.my/1st-floor-shop-office-danau-kota-setapak-kuala-lumpur-106444662.htm,"1st Floor Shop Office @ Danau Kota, Setapak, Kuala Lumpur",Shop lot,,2105,"RM 4,500",Kuala Lumpur
https://www.mudah.my/2nd-floor-shop-office-danau-kota-setapak-kuala-lumpur-106444659.htm,"2nd Floor Shop Office @ Danau Kota, Setapak, Kuala Lumpur",Shop lot,,2105,"RM 3,500",Kuala Lumpur
https://www.mudah.my/Ground+Floor+Shoplot+Taman+Mulia+Bandar+Tun+Razak+Cheras-105658336.htm,"Ground Floor Shoplot @ Taman Mulia, Bandar Tun Razak, Cheras",Shop lot,,1400,"RM 7,500",Kuala Lumpur
https://www.mudah.my/Setapak+Pv21+Condo+RENT+Basic+unit+PV+21-105158540.htm,Setapak Pv21 Condo RENT Basic unit PV 21,Service Residence,2,900,"RM 1,200",Kuala Lumpur
https://www.mudah.my/ground-floor-shoplot-danau-kota-setapak-kuala-lumpur-106444667.htm,"Ground Floor Shoplot @ Danau Kota, Setapak, Kuala Lumpur",Shop lot,,2105,"RM 11,000",Kuala Lumpur
https://www.mudah.my/Setapak+Teratai+Residence+for+Rent+available+now-105038659.htm,Setapak Teratai Residence for Rent available now,Service Residence,3,900,"RM 1,300",Kuala Lumpur
https://www.mudah.my/Room+For+Rent+at+The+Annex+Medan+Connaught+Cheras-104500414.htm,Room For Rent at The Annex @ Medan Connaught Cheras,Condo / Services residence / Penthouse / Townhouse,,150,RM 720,Kuala Lumpur
https://www.mudah.my/Setapak+Near+KLCC+3+Room+2+bath+Ready+move+in+To+Rent+SkyAwani+3-103863696.htm,Setapak Near KLCC 3 Room 2 bath Ready move in To Rent SkyAwani 3,Condominium,3,800,"RM 1,300",Kuala Lumpur
https://www.mudah.my/ROOM+RENTAL+PANTAI+HILLPARK+PHASE+2+level+11+-104667289.htm,ROOM RENTAL PANTAI HILLPARK PHASE 2 (level 11),Condo / Services residence / Penthouse / Townhouse,,70,RM 850,Kuala Lumpur
https://www.mudah.my/Kepong+Perindustrian+Desa+Aman+Bungalow+Factory+For+Rent-106079058.htm,Kepong Perindustrian Desa Aman Bungalow Factory For Rent,Warehouse / Factory,,15064,"RM 25,000",Kuala Lumpur
https://www.mudah.my/Razak+City+Kuala+Lumpur-106097472.htm,"Razak City, Kuala Lumpur",Service Residence,3,1062,"RM 2,200",Kuala Lumpur
https://www.mudah.my/Razak+City+Kuala+Lumpur-105866500.htm,"Razak City, Kuala Lumpur",Service Residence,3,1140,"RM 2,300",Kuala Lumpur
https://www.mudah.my/Razak+City+Kuala+Lumpur-105723045.htm,"Razak City, Kuala Lumpur",Service Residence,3,1045,"RM 1,800",Kuala Lumpur
https://www.mudah.my/GROUND+FLOOR+MURAH+Apartment+Pantai+Indah+Blok+51+Pantai+Dalam-106019039.htm,"GROUND FLOOR MURAH🔥 Apartment Pantai Indah Blok 51, Pantai Dalam",Apartment,3,750,"RM 1,100",Kuala Lumpur
https://www.mudah.my/renovated-double-storey-terrace-jalan-j-taman-melawati-kl-106383220.htm,"RENOVATED Double Storey Terrace Jalan J @ Taman Melawati, KL",2-storey Terraced House,4,2100,"RM 2,100",Kuala Lumpur
https://www.mudah.my/+4+Minutes+to+LRT+Cheras+Bintang+mas+Condominium+Bandar+Sri+Permaisuri-104821445.htm,"|4 Minutes to LRT Cheras|Bintang mas Condominium,Bandar Sri Permaisuri",Condominium,3,962,"RM 1,550",Kuala Lumpur
https://www.mudah.my/3-storey-shoplot-danau-kota-setapak-kuala-lumpur-106444654.htm,"3 Storey Shoplot @ Danau Kota, Setapak, Kuala Lumpur",Shop lot,,6315,"RM 19,000",Kuala Lumpur
https://www.mudah.my/Sky+Awani+Residences+Setapak+Wangsa+Maju+near+LRT+Melawati+Setapak+Mal-106111182.htm,Sky Awani Residences Setapak Wangsa Maju near LRT Melawati Setapak Mal,Condominium,3,800,"RM 1,000",Kuala Lumpur
https://www.mudah.my/f-f-menara-uncang-emas-ue3-jalan-loke-yew-viva-mall-lrt-miharja-106444550.htm,[f/f] Menara Uncang Emas (ue3) Jalan Loke Yew Viva Mall Lrt Miharja,Office space,,998,"RM 1,800",Kuala Lumpur
https://www.mudah.my/1st-2nd-floor-shop-office-danau-kota-setapak-kuala-lumpur-106444648.htm,"1st & 2nd Floor Shop Office @ Danau Kota, Setapak, Kuala Lumpur",Shop lot,,4210,"RM 8,000",Kuala Lumpur
https://www.mudah.my/vista-sentul-kl-fully-furnished-unit-2rooms-ready-to-move-in-now-106444646.htm,Vista Sentul KL Fully furnished unit 2rooms ready to move in now,Apartment,3,700,"RM 1,300",Kuala Lumpur
https://www.mudah.my/laman-sari-batu-caves-nr-sentul-setapak-gentingk-klang-kl-east-mall-106444618.htm,Laman Sari batu caves nr sentul setapak gentingk klang KL east mall,Condominium,3,900,RM 900,Kuala Lumpur
https://www.mudah.my/Palladium+condominium+for+rent+-105637343.htm,Palladium condominium for rent🔥🔥🔥,Condominium,3,950,"RM 1,800",Kuala Lumpur
https://www.mudah.my/Razak+City+Ready+to+Move+in+-104415395.htm,Razak City (Ready to Move in),Service Residence,3,1062,"RM 1,800",Kuala Lumpur
https://www.mudah.my/razak-city-kuala-lumpur-fully-furnished-cheap-price-but-nice-106192770.htm,"Razak City, Kuala Lumpur (Fully Furnished Cheap Price but Nice)",Service Residence,3,1062,"RM 2,000",Kuala Lumpur
https://www.mudah.my/Cheapest+3rooms+3baths+in+town+with+size+1062sf-105723103.htm,Cheapest 3rooms & 3baths in town with size 1062sf,Service Residence,3,1062,"RM 2,000",Kuala Lumpur
https://www.mudah.my/Razak+City+Kuala+Lumpur-105694154.htm,"Razak City, Kuala Lumpur",Service Residence,3,1062,"RM 1,800",Kuala Lumpur
https://www.mudah.my/prima-saujana-condominium-kl-reno-unit-106444524.htm,Prima Saujana Condominium Kl RENO UNIT,Apartment,3,900,"RM 1,000",Kuala Lumpur
https://www.mudah.my/mercu-jalil-bukit-jalil-p-furnish-3r2b-lrt-alam-sutera-pavilion-2-106444451.htm,Mercu Jalil @ Bukit Jalil [P/FURNISH] 3R2B LRT Alam Sutera Pavilion 2,Apartment,3,1200,"RM 1,250",Kuala Lumpur
https://www.mudah.my/refurbished-wangsa-maju-desa-setapak-house-3-room-nearby-lrt-kl-106444486.htm,[REFURBISHED] Wangsa Maju Desa Setapak House 3 Room nearby LRT KL,2-storey Terraced House,3,1000,"RM 1,500",Kuala Lumpur
https://www.mudah.my/partially-furnished-residensi-pr1ma-alam-damai-cheras-kl-106444480.htm,"[PARTIALLY FURNISHED] Residensi PR1MA Alam Damai, Cheras, KL",Apartment,3,995,"RM 1,500",Kuala Lumpur
https://www.mudah.my/fully-furnished-majestic-maxim-residence-taman-len-seng-cheras-kl-106444479.htm,[FULLY FURNISHED] Majestic Maxim Residence Taman Len Seng Cheras KL,Service Residence,2,650,"RM 1,500",Kuala Lumpur
https://www.mudah.my/+p+f+2200sqft+Office+Menara+Uncang+Emas+Ue3+Cheras+Nr+Velocity+Kl-105894144.htm,[p/f+2200sqft] Office Menara Uncang Emas Ue3 Cheras Nr Velocity Kl,Shop lot,,2200,"RM 4,100",Kuala Lumpur
https://www.mudah.my/kepong-baru-hilltop-endlot-limited-unit-chinese-community-106444426.htm,"[KEPONG BARU] Hilltop, Endlot, Limited Unit, Chinese Community",1-storey Terraced House,4,1540,"RM 2,299",Kuala Lumpur
https://www.mudah.my/+LIFT+Office+Space+400+sf+Queen+Avenue+Jalan+Bayam+Sunway+Velocity-104727234.htm,"{LIFT} Office Space 400 sf , Queen Avenue Jalan Bayam, Sunway Velocity",Office space,,400,RM 800,Kuala Lumpur
https://www.mudah.my/jalan-palong-miharja-condo-level-2-106444508.htm,"jalan palong, miharja condo, level 2",Apartment,3,960,"RM 1,900",Kuala Lumpur
https://www.mudah.my/124-bilik-lelaki-di-condominium-plaza-rah-kg-baru-kl-sekitar-kl-106359478.htm,"124. Bilik LELAKI di Condominium Plaza Rah Kg Baru, KL & Sekitar KL",Condo / Services residence / Penthouse / Townhouse,,1200,RM 300,Kuala Lumpur
https://www.mudah.my/NO+DEPO+Room+For+Girl+Putra+Suria+4+Minit+LRT+Cheras-102183870.htm,NO DEPO Room For Girl Putra Suria 4 Minit LRT Cheras,Apartment / Flat,,800,RM 250,Kuala Lumpur
https://www.mudah.my/new-unit-room-for-rent-at-pv21-setapak-0-deposit-free-wifi-106193580.htm,New unit! Room for rent at PV21 Setapak! 0% Deposit! Free wifi!,Condo / Services residence / Penthouse / Townhouse,,1000,RM 600,Kuala Lumpur
https://www.mudah.my/NO+DEPOSIT+Room+Bayu+2+LRT+Salak+Selatan+For+Girl-102308983.htm,NO DEPOSIT Room Bayu 2 LRT Salak Selatan For Girl,Condo / Services residence / Penthouse / Townhouse,,960,RM 250,Kuala Lumpur
https://www.mudah.my/NO+DEPO+Room+For+Girl+Putra+Suria+4+Minit+LRT+Cheras-102183870.htm,NO DEPO Room For Girl Putra Suria 4 Minit LRT Cheras,Apartment / Flat,,800,RM 250,Kuala Lumpur
https://www.mudah.my/newly-painted-pandan-height-cheras-pandan-perdana-kl-106444282.htm,"Newly Painted > Pandan height ,Cheras , Pandan Perdana , KL",Condominium,3,930,"RM 1,199",Kuala Lumpur
https://www.mudah.my/Razak+City+Kuala+Lumpur-105723090.htm,"Razak City, Kuala Lumpur",Service Residence,3,1045,"RM 1,900",Kuala Lumpur
https://www.mudah.my/Razak+City+Kuala+Lumpur+Fully+Furnished+-105849087.htm,"Razak City, Kuala Lumpur (Fully Furnished)",Service Residence,3,1140,"RM 2,300",Kuala Lumpur
https://www.mudah.my/residensi-laman-sari-mont-kiara-kl-traders-near-99-wonderland-sentul-106382032.htm,Residensi Laman Sari Mont Kiara KL Traders near 99 Wonderland Sentul,Condominium,3,900,RM 900,Kuala Lumpur
https://www.mudah.my/pangsapuri-bukit-baru-keramat-hujung-106444430.htm,Pangsapuri Bukit Baru Keramat Hujung,Apartment,3,722,RM 900,Kuala Lumpur
https://www.mudah.my/Residensi+KepongMas+P+FURNISH+3R2B+MRT+Metro+Prima+Kepong+Baru-104029427.htm,Residensi KepongMas [P/FURNISH] 3R2B MRT Metro Prima Kepong Baru,Apartment,3,800,"RM 1,300",Kuala Lumpur
https://www.mudah.my/vivo-seputeh-3-rooms-full-furnished-near-to-millerz-old-klang-road-106444254.htm,Vivo Seputeh _ 3 Rooms _ Full Furnished near to Millerz Old Klang Road,Service Residence,3,1072,"RM 3,000",Kuala Lumpur
https://www.mudah.my/Majestic+Maxim+Cheras+F+FURNISH+2R2B+Taman+Connaught+MRT-102893817.htm,Majestic Maxim @ Cheras [F/FURNISH] 2R2B Taman Connaught MRT,Service Residence,3,829,"RM 2,100",Kuala Lumpur
https://www.mudah.my/Fera+Residence+Condo+Wangsa+Maju+Full+Furnished+jln+lexa+henna-106114338.htm,Fera Residence Condo Wangsa Maju (Full Furnished) jln lexa henna,Service Residence,4,1589,"RM 4,500",Kuala Lumpur
https://www.mudah.my/kinrara-mas-bukit-jalil-taman-kinrara-f-furnish-3r2b-pavilion-lrt-106218153.htm,Kinrara Mas @ Bukit Jalil Taman Kinrara [F/FURNISH] 3R2B Pavilion LRT,Condominium,3,1091,"RM 1,500",Kuala Lumpur
https://www.mudah.my/SkyAwani+4+5+Residences+Setapak+Sentul+near+KLCC+TRX+Pavilion+Danau-106152145.htm,SkyAwani 4/5 Residences Setapak Sentul near KLCC TRX Pavilion Danau,Condominium,3,800,"RM 1,000",Kuala Lumpur
https://www.mudah.my/p-f-696sqft-office-menara-uncang-emas-ue3-viva-mall-cheras-kl-lrt-106444302.htm,[p/f+696sqft] Office Menara Uncang Emas Ue3 Viva Mall Cheras Kl Lrt,Office space,,696,"RM 1,000",Kuala Lumpur
https://www.mudah.my/Endah+Regal+Condo+Fully+furnished+Sri+Petaling+Bukit+Jalil+LRT-105500318.htm,Endah Regal Condo Fully furnished Sri Petaling Bukit Jalil LRT,Condominium,3,1017,"RM 1,550",Kuala Lumpur
https://www.mudah.my/may24-intake-fully-furnished-the-holmes-2-condo-106444038.htm,May24 Intake Fully Furnished The Holmes 2 Condo,Condominium,3,1104,"RM 2,700",Kuala Lumpur
https://www.mudah.my/Pangsapuri+Sri+Rakyat+Apartment+Bukit+Jalil+Pavilion+2+SEMI+FURNISHED-106086159.htm,Pangsapuri Sri Rakyat Apartment Bukit Jalil Pavilion 2 SEMI FURNISHED,Apartment,3,667,"RM 1,100",Kuala Lumpur
https://www.mudah.my/sunway-velocity-two-cheras-3rooms-fully-furnish-near-mrt-lrt-for-rent-106444020.htm,Sunway Velocity Two Cheras 3rooms Fully Furnish near MRT/LRT For Rent,Service Residence,3,883,"RM 3,800",Kuala Lumpur
https://www.mudah.my/endah-puri-ria-sri-petaling-fully-furnish-lrt-106443987.htm,Endah Puri Ria Sri Petaling Fully Furnish LRT,Condominium,3,1240,"RM 2,200",Kuala Lumpur
https://www.mudah.my/sky-bennington-residence-dua-key-studio-room-luxury-f-furnished-106443984.htm,Sky Bennington Residence dua key studio room Luxury f/furnished,Condo / Services residence / Penthouse / Townhouse,,380,"RM 1,100",Kuala Lumpur
https://www.mudah.my/bungalow-factory-3-storey-office-building-big-werehouse-setapak-106444127.htm,Bungalow factory 3 storey office  building & big werehouse setapak,Warehouse / Factory,,13045,"RM 46,000",Kuala Lumpur
https://www.mudah.my/cheapest-cubic-botanical-bangsar-south-southlink-pantai-mid-valley-106444125.htm,CHEAPEST Cubic Botanical Bangsar South Southlink Pantai Mid Valley,Service Residence,2,580,"RM 1,999",Kuala Lumpur
https://www.mudah.my/Cluster+House+2+5+Storey+Jalan+Rejang+Taman+Setapak+Jaya-105644075.htm,"Cluster House 2.5 Storey, Jalan Rejang, Taman Setapak Jaya",Others,3,700,RM 700,Kuala Lumpur
https://www.mudah.my/residence-laman-sari-batu-caves-menara-sentul-park-gombak-setapak-mrt-106443966.htm,Residence Laman Sari Batu Caves Menara Sentul Park Gombak Setapak MRT,Condominium,3,900,RM 900,Kuala Lumpur
https://www.mudah.my/Irama+Wangsa+Condominnium+Wangsa+Maju+1206sf-105816050.htm,Irama Wangsa Condominnium@Wangsa Maju 1206sf,Condominium,3,1206,"RM 2,600",Kuala Lumpur
https://www.mudah.my/season-garden-condominium-female-only-small-room-106444063.htm,Season Garden Condominium- (Female Only Small Room),Service Residence,1,900,RM 550,Kuala Lumpur
https://www.mudah.my/bilik-sewa-wanita-5-minit-berjalan-lrt-cempaka-pandan-indah-ampang-106444054.htm,"Bilik Sewa WANITA, 5 minit berjalan LRT Cempaka, Pandan Indah, Ampang",Apartment / Flat,,200,RM 250,Kuala Lumpur
https://www.mudah.my/level-3-parking-for-rent-106444049.htm,Level 3 Parking for Rent,Condominium,4,1200,RM 200,Kuala Lumpur
https://www.mudah.my/Heritage+House+Office+Lot+Jalan+Yap+Ah+Sak+Sheraton+Hotel+SEMI+FURNISH-106035862.htm,Heritage House Office Lot Jalan Yap Ah Sak Sheraton Hotel SEMI-FURNISH,Office space,,947,"RM 2,800",Kuala Lumpur
https://www.mudah.my/Wisma+UOA+2+Menara+UOA+II+Office+Space+Jalan+Pinang+KLCC+SEMI+FURNISH-103251292.htm,Wisma UOA 2 Menara UOA II Office Space Jalan Pinang KLCC SEMI-FURNISH,Office space,,1500,"RM 5,200",Kuala Lumpur
https://www.mudah.my/Amaya+Maluri+Cheras+2R2B+F+FURNISH+Sunway+Velocity+Shamelin+KL-106007425.htm,Amaya Maluri Cheras 2R2B F/FURNISH Sunway Velocity Shamelin KL,Service Residence,2,719,"RM 1,900",Kuala Lumpur
https://www.mudah.my/Master+Room+Car+Park+Bathroom+8km+to+HKL+setapak+PV3+Condo-103988959.htm,Master Room (Car Park/Bathroom) 8km to HKL  setapak PV3 Condo,Condo / Services residence / Penthouse / Townhouse,,244,RM 750,Kuala Lumpur
https://www.mudah.my/Bilik+Medium+8km+to+HKL+Female+Malay+only+Fully+Furnished-104739226.htm,Bilik Medium 8km to HKL (Female Malay only) Fully Furnished,Condo / Services residence / Penthouse / Townhouse,,120,RM 525,Kuala Lumpur
https://www.mudah.my/one-maxim-sentul-for-rent-block-a-2-parking-106443775.htm,One maxim sentul for rent / Block a / 2 parking,Service Residence,3,819,"RM 1,500",Kuala Lumpur
https://www.mudah.my/ketumbar-height-condo-taman-yulek-cheras-kuala-lumpur-106443767.htm,"Ketumbar Height Condo , Taman Yulek , Cheras, Kuala Lumpur.",Condominium,3,755,"RM 1,000",Kuala Lumpur
https://www.mudah.my/sky-bennington-residence-luxury-f-furnished-near-setapak-genting-klang-106443925.htm,Sky Bennington residence Luxury f/furnished near Setapak Genting klang,Condominium,3,1250,"RM 2,500",Kuala Lumpur
https://www.mudah.my/Office+Pandan+Indah+Ampang+Level+1+Endlot+unit+near+to+LRT-105871353.htm,Office Pandan Indah Ampang Level 1 Endlot unit near to LRT,Office space,,1200,"RM 2,200",Kuala Lumpur
https://www.mudah.my/3+NEW+KL+Rooms+7+mins+to+LRT+MRT+KTM+w+free+WiFi+Shuttle+Van-101817259.htm,3 NEW!! KL Rooms 7 mins to LRT/MRT/KTM w/ free WiFi & Shuttle Van,Condo / Services residence / Penthouse / Townhouse,,250,RM 425,Kuala Lumpur
https://www.mudah.my/The+Elements+Ampang+Jalan+Ampang+KLCC+Ampang+Hilir-105662213.htm,"The Elements@Ampang, Jalan Ampang, KLCC,Ampang Hilir",Service Residence,4,1570,"RM 3,300",Kuala Lumpur
https://www.mudah.my/menjalara-kepong-2-storey-house-106443761.htm,Menjalara Kepong 2 Storey House,Terraced House,3,2000,"RM 1,500",Kuala Lumpur
https://www.mudah.my/Bougainvilla+Apartment+Segambut+3R2B+BASIC+UNIT+Bukit+Prima+Pelangi+KL-105032574.htm,Bougainvilla Apartment Segambut 3R2B BASIC UNIT Bukit Prima Pelangi KL,Condominium,3,1400,"RM 1,200",Kuala Lumpur
https://www.mudah.my/corner-unit-m-adora-residence-wangsa-melawati-kl-view-now-book-now-106443832.htm,Corner Unit M Adora Residence Wangsa Melawati KL View Now Book Now,Condominium,3,850,"RM 1,999",Kuala Lumpur
https://www.mudah.my/183+Bilik+LELAKI+di+Condominium+Plaza+Rah+Kg+Baru+KL+Sekitar+KL-106065710.htm,"183. Bilik LELAKI di Condominium Plaza Rah Kg Baru, KL & Sekitar KL",Condo / Services residence / Penthouse / Townhouse,,1200,RM 300,Kuala Lumpur
