ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
105821788,Ashton Tower,2016,"RM 1,800 per month",Sabah - Kota Kinabalu,Service Residence,3,2,2,870 sq.ft.,Fully Furnished,"Minimart, Lift, Parking, Security, Gymnasium, Sauna, Playground, Swimming Pool, Jogging Track, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine"
106028979,Jesselton Residences,2016,"RM 5,000 per month",Sabah - Kota Kinabalu,Condominium,3,2,3,1669 sq.ft.,Fully Furnished,"Minimart, Security, Swimming Pool, Gymnasium, Sauna, Parking, Playground, Lift, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine"
105875918,Cyber City Apartment 2,2015,"RM 1,700 per month",Sabah - Penampang,Apartment,3,,2,638 sq.ft.,Fully Furnished,"Gymnasium, Security, Parking, Swimming Pool, Playground","Air-Cond, Cooking Allowed, Washing Machine"
105983335,The Peak SOHO,2015,"RM 2,250 per month",Sabah - Kota Kinabalu,Condominium,2,1,1,639 sq.ft.,Fully Furnished,"Security, Swimming Pool, Lift, Parking, Gymnasium, Playground","Air-Cond, Cooking Allowed, Washing Machine"
106028278,Jesselton Residences,2016,"RM 5,500 per month",Sabah - Kota Kinabalu,Condominium,3,2,3,1669 sq.ft.,Fully Furnished,"Security, Sauna, Parking, Playground, Swimming Pool, Tennis Court, Minimart, Gymnasium",
106027318,The Peak SOHO,2015,"RM 2,250 per month",Sabah - Kota Kinabalu,Condominium,2,,1,639 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool",
106026021,Alam Damai Condominium,2011,"RM 2,500 per month",Sabah - Kota Kinabalu,Condominium,3,,2,1302 sq.ft.,Fully Furnished,"Swimming Pool, Parking, Multipurpose hall, Security, Playground, Gymnasium",
105295936,Jesselton View,2016,"RM 1,900 per month",Sabah - Kota Kinabalu,Condominium,3,,2,1193 sq.ft.,Not Furnished,"Parking, Swimming Pool, Security, Gymnasium, Playground, Lift",
106024775,Beverly Hills 3,,"RM 1,000 per month",Sabah - Kota Kinabalu,Apartment,2,1,1,660 sq.ft.,Fully Furnished,"Security, Parking","Cooking Allowed, Air-Cond"
106024612,Agathis Apartment (Putera Jaya Telipok),,"RM 1,000 per month",Sabah - Kota Kinabalu,Apartment,4,2,2,1010 sq.ft.,Fully Furnished,"Parking, Playground, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed"
106021663,1 Borneo Tower A Service Apartments,2008,"RM 1,800 per month",Sabah - Kota Kinabalu,Condominium,2,1,2,950 sq.ft.,Fully Furnished,"Squash Court, Gymnasium, Lift, Swimming Pool, Playground, Minimart, Tennis Court, Jogging Track, Parking, Security","Cooking Allowed, Air-Cond, Washing Machine"
106020639,Grace Ville,,"RM 2,000 per month",Sabah - Kota Kinabalu,Condominium,3,1,3,1440 sq.ft.,Fully Furnished,"Jogging Track, Parking, Swimming Pool, Gymnasium, Tennis Court, Playground, Security","Air-Cond, Washing Machine"
105336588,Cyber City Apartments 1,2009,"RM 1,200 per month",Sabah - Kota Kinabalu,Apartment,1,1,1,400 sq.ft.,Fully Furnished,"Gymnasium, Parking, Swimming Pool, Security, Playground","Air-Cond, Cooking Allowed, Washing Machine"
105752449,1 Sulaman,2021,"RM 1,500 per month",Sabah - Kota Kinabalu,Condominium,3,1,2,1000 sq.ft.,Partially Furnished,"Swimming Pool, Barbeque area, Lift, Parking, Security, Playground, Sauna",
105289643,Alam Damai Condominium,2011,"RM 2,300 per month",Sabah - Kota Kinabalu,Condominium,3,1,2,1070 sq.ft.,Fully Furnished,"Club house, Security, Swimming Pool, Playground, Parking, Gymnasium, Multipurpose hall, Lift","Air-Cond, Cooking Allowed, Washing Machine"
101142336,Jesselton Residences,2016,"RM 8,000 per month",Sabah - Kota Kinabalu,Condominium,3,1,4,2266 sq.ft.,Fully Furnished,"Minimart, Parking, Security, Swimming Pool, Sauna, Gymnasium, Tennis Court, Playground","Air-Cond, Cooking Allowed, Washing Machine"
106016083,Seri Sutera Residence,2023,"RM 1,600 per month",Sabah - Papar,Apartment,3,1,3,890 sq.ft.,Fully Furnished,"Parking, Lift, Security, Multipurpose hall","Air-Cond, Cooking Allowed"
106015808,1 Sulaman,2021,"RM 2,500 per month",Sabah - Kota Kinabalu,Condominium,3,1,2,1000 sq.ft.,Fully Furnished,"Barbeque area, Swimming Pool, Security, Playground, Lift, Parking, Sauna",
106015406,Sentosa Apartments (Sandakan),,RM 800 per month,Sabah - Sandakan,Apartment,3,1,2,1050 sq.ft.,Not Furnished,"Parking, Playground, Barbeque area, Minimart, Tennis Court, Jogging Track",Cooking Allowed
102204727,1 Sulaman,2021,"RM 1,900 per month",Sabah - Kota Kinabalu,Condominium,3,1,2,1000 sq.ft.,Fully Furnished,"Parking, Security, Club house, Swimming Pool, Lift, Playground, Gymnasium, Sauna, Multipurpose hall, Squash Court","Cooking Allowed, Air-Cond, Washing Machine"
