Link,Name,Property Type,No of Rooms,Property Size (sq. ft),Monthly Rent,Property Address
https://www.mudah.my/country-garden-danga-bay-new-unit-near-ciq-below-market-106444987.htm,Country garden Danga Bay New Unit / near Ciq / below market,Condominium,3,1300,"RM 2,400",Johor
https://www.mudah.my/taman-universiti-single-storey-106444980.htm,taman universiti single storey,1-storey Terraced House,3,1200,"RM 1,000",Johor
https://www.mudah.my/marina-residence-fully-furnished-3-1bedroom-near-to-jb-ciq-106196463.htm,Marina Residence/Fully Furnished/3+1Bedroom/Near to Jb Ciq,Service Residence,3,1466,"RM 2,700",Johor
https://www.mudah.my/prima-regency-plentong-giant-tesco-low-depo-106445024.htm,Prima Regency Plentong Giant Tesco Low depo,Service Residence,1,750,"RM 1,200",Johor
https://www.mudah.my/skudai-tampoi-indah-riverria-condovilla-for-rent-106445022.htm,Skudai / Tampoi Indah ( Riverria Condovilla ) For Rent,Condominium,3,999,"RM 1,200",Johor
https://www.mudah.my/parc-regency-plentong-johor-jaya-low-depo-106445017.htm,Parc Regency Plentong Johor Jaya / Low depo,Service Residence,2,800,"RM 1,300",Johor
https://www.mudah.my/Tropez+Residence+Danga+Bay+Jb+Town+CIQ+Tampoi+Larkin+HSA-106127441.htm,Tropez Residence @ Danga Bay Jb Town CIQ Tampoi Larkin HSA,Service Residence,2,850,"RM 2,000",Johor
https://www.mudah.my/Room+Rental+Ramada+Medini+Sovo+Medini+Johor-106120236.htm,Room Rental Ramada Medini Sovo @ Medini Johor,Condo / Services residence / Penthouse / Townhouse,,100,RM 800,Johor
https://www.mudah.my/M+condo+Larkin+Fully+furnished+Must+View-99767982.htm,M condo Larkin Fully furnished Must View,Service Residence,3,1100,"RM 2,000",Johor
https://www.mudah.my/kangkar-pulai-pulai-indah-single-storey-4bedroom-fully-furnish-106444931.htm,Kangkar Pulai / Pulai Indah / Single Storey / 4bedroom / Fully Furnish,1-storey Terraced House,4,1800,"RM 1,700",Johor
https://www.mudah.my/skudai-tampoi-indah-greenfield-regency-studio-for-rent-106444925.htm,Skudai / Tampoi Indah ( Greenfield Regency ) Studio For Rent,Apartment,1,999,"RM 1,500",Johor
https://www.mudah.my/room-for-rent-medini-ramada-medini-tuas-gelang-patah-nusaja-106444855.htm,Room For Rent | Medini | Ramada Medini | Tuas | Gelang Patah | Nusaja,Condo / Services residence / Penthouse / Townhouse,,100,RM 800,Johor
https://www.mudah.my/johor-jaya-jalan-bakawali-double-storey-low-cost-for-rent-106444853.htm,Johor Jaya / Jalan Bakawali ( Double Storey Low Cost ) For Rent,2-storey Terraced House,2,1200,"RM 1,200",Johor
https://www.mudah.my/meridian-medini-iskandar-puteri-secondlink-ptp-tuas-106444907.htm,Meridian Medini/ Iskandar Puteri / Secondlink / PTP / Tuas,Condominium,3,1100,"RM 2,500",Johor
https://www.mudah.my/taman-mount-austin-jp-perdana-single-storey-house-for-rent-106444897.htm,Taman Mount Austin / JP Perdana ( Single Storey House ) For Rent,1-storey Terraced House,3,1440,"RM 2,100",Johor
https://www.mudah.my/Rent+Bedroom+only-105768968.htm,Rent Bedroom only,Condominium,2,1168,RM 550,Johor
https://www.mudah.my/prima-regency-plentong-permas-ciq-johor-jaya-low-deposit-106418441.htm,Prima Regency @ Plentong / Permas / Ciq / Johor Jaya / Low Deposit,Service Residence,1,500,"RM 1,200",Johor
https://www.mudah.my/tropez-residence-dangabay-near-ciq-jb-town-jb-sentral-larkin-tampoi-106418391.htm,Tropez Residence @ Dangabay near CIQ Jb Town Jb Sentral Larkin Tampoi,Service Residence,3,1000,"RM 2,600",Johor
https://www.mudah.my/puteri-cove-iskandar-puteri-medini-tuas-bukit-indah-gelang-patah-106368796.htm,Puteri Cove @ Iskandar Puteri Medini Tuas Bukit Indah Gelang Patah,Condominium,3,800,"RM 2,200",Johor
https://www.mudah.my/country-garden-3bed-fully-seaview-danga-bay-low-price-7min-ciq-106444695.htm,Country Garden / 3bed FULLY SEAVIEW / Danga Bay / LOW PRICE / 7min CIQ,Condominium,3,1340,"RM 2,900",Johor
https://www.mudah.my/taman-mount-austin-austin-suites-for-rent-106444706.htm,Taman Mount Austin ( Austin Suites ) For Rent,Service Residence,3,1390,"RM 2,200",Johor
https://www.mudah.my/amberside-country-garden-danga-bay-full-seaview-unit-106444826.htm,Amberside Country Garden @ Danga Bay Full Seaview Unit,Condominium,3,1260,"RM 2,900",Johor
https://www.mudah.my/kulai-indah-106444816.htm,Kulai Indah,Flat,3,613,RM 650,Johor
https://www.mudah.my/the-m-macrolink-medini-iskandar-puteri-bukit-indah-gelang-patah-tuas-106444668.htm,The M Macrolink @ Medini Iskandar Puteri Bukit Indah Gelang Patah Tuas,Service Residence,2,800,"RM 2,300",Johor
https://www.mudah.my/corner-1-bedroom-studio-clean-rent-sewa-pandan-residence-1-jb-ciq-106328000.htm,Corner 1 bedroom studio Clean Rent Sewa Pandan residence 1 JB CIQ,Service Residence,1,640,"RM 1,250",Johor
https://www.mudah.my/kempas-d-sceret-garden-studio-unit-for-rent-106444734.htm,Kempas ( D'Sceret Garden ) Studio Unit For Rent,Service Residence,1,513,"RM 1,200",Johor
https://www.mudah.my/Sks+Pavillion+Room+for+Rent-106120432.htm,Sks Pavillion Room for Rent,Condo / Services residence / Penthouse / Townhouse,,100,"RM 1,200",Johor
https://www.mudah.my/Bukit+indah+House+For+RENT+Furniture+Nusa+Skudai+Gelang+Bayu+Perling-105800526.htm,Bukit indah House For RENT Furniture Nusa Skudai Gelang Bayu Perling,2-storey Terraced House,4,1400,"RM 2,400",Johor
https://www.mudah.my/Greenfield+Penthouse+Studio-105982435.htm,Greenfield Penthouse Studio,Apartment,1,650,"RM 1,600",Johor
https://www.mudah.my/Country+garden+3bed+Fully+JB+Town+5min+CIQ+HSA+LOW+PRICE-105775305.htm,Country garden / 3bed / Fully / JB Town / 5min CIQ / HSA / LOW PRICE,Condominium,3,1340,"RM 2,700",Johor
https://www.mudah.my/plentong-masai-parc-regency-apartment-for-rent-106444652.htm,Plentong / Masai ( Parc Regency Apartment ) For Rent,Service Residence,2,810,"RM 1,700",Johor
https://www.mudah.my/Room+Rent+Scientex+Senai+Jaya+shoplot-92301527.htm,Room Rent Scientex Senai Jaya shoplot,Shoplot,,1000,RM 330,Johor
https://www.mudah.my/near-to-ciq-taman-abad-twin-galaxy-residence-studio-for-rent-106444615.htm,Near to CIQ / Taman Abad ( Twin Galaxy Residence ) Studio For Rent,Service Residence,1,560,"RM 2,200",Johor
https://www.mudah.my/jb-town-area-room-for-rent-botanika-balcony-room-106255192.htm,【JB Town Area Room For Rent】 - Botanika @ Balcony Room,Condo / Services residence / Penthouse / Townhouse,,300,RM 850,Johor
https://www.mudah.my/d-summit-master-bedroom-kempas-utama-setia-tropika-106444402.htm,【D'Summit】Master Bedroom - Kempas Utama/Setia Tropika,Condo / Services residence / Penthouse / Townhouse,,450,RM 950,Johor
https://www.mudah.my/kawasan-perindustrian-tanjung-langsat-factory-106444353.htm,Kawasan Perindustrian Tanjung Langsat @ Factory,Warehouse / Factory,,40000,"RM 40,000",Johor
