ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
105949270,Residensi Flora @ One South,2016,"RM 1,600 per month",Selangor - Seri Kembangan,Service Residence,3,2,2,1100 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT"
105891605,Canopy Hills,2022,"RM 1,000 per month",Selangor - Kajang,Condominium,2,1,1,595 sq.ft.,Fully Furnished,"Gymnasium, Jogging Track, Swimming Pool, Multipurpose hall, Security, Lift, Parking, Playground",Air-Cond
105891596,Tiara Imperio @ Bangi,2019,RM 900 per month,Selangor - Kajang,Service Residence,1,1,1,500 sq.ft.,Fully Furnished,"Security, Gymnasium, Barbeque area, Multipurpose hall, Parking, Swimming Pool, Playground, Lift",
104953919,The Zizz,2019,"RM 1,700 per month",Selangor - Damansara Damai,Service Residence,3,,3,1465 sq.ft.,Partially Furnished,"Barbeque area, Lift, Gymnasium, Parking, Security, Swimming Pool, Sauna, Playground, Minimart, Multipurpose hall","Near KTM/LRT, Air-Cond, Cooking Allowed"
102620386,Forest Green,2000,"RM 1,000 per month",Selangor - Kajang,Condominium,3,2,2,1010 sq.ft.,Fully Furnished,"Parking, Minimart, Tennis Court, Jogging Track, Security, Playground, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine"
106083397,Puncak 7 Residence,2018,"RM 2,100 per month",Selangor - Shah Alam,Condominium,3,2,3,1100 sq.ft.,Partially Furnished,"Playground, Swimming Pool, Gymnasium, Jogging Track, Squash Court, Lift, Parking, Security, Minimart","Cooking Allowed, Near KTM/LRT"
105941589,Pusat Komersial Seksyen 7,,"RM 1,400 per month",Selangor - Shah Alam,Apartment,3,,2,800 sq.ft.,Partially Furnished,"Jogging Track, Minimart, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
106094067,Hijauan Puteri Condominiums,2013,"RM 1,200 per month",Selangor - Puchong,Condominium,3,2,2,915 sq.ft.,Partially Furnished,"Security, Playground, Lift, Parking, Gymnasium, Squash Court, Minimart, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine"
106094048,Puncak Hijauan,2018,"RM 1,400 per month",Selangor - Kajang,Apartment,3,2,2,1000 sq.ft.,Fully Furnished,"Playground, Lift, Parking, Security, Swimming Pool",
105914457,Pangsapuri Alpinia,,"RM 1,000 per month",Selangor - Puchong,Apartment,3,,2,780 sq.ft.,Partially Furnished,"Parking, Security, Playground",
105998825,D'casa Condominium,,"RM 1,050 per month",Selangor - Ampang,Condominium,3,1,2,950 sq.ft.,Partially Furnished,"Lift, Swimming Pool, Parking, Security, Playground","Cooking Allowed, Near KTM/LRT"
106010475,The Wharf Residence,2014,"RM 1,200 per month",Selangor - Puchong,Condominium,3,1,2,1147 sq.ft.,Partially Furnished,"Jogging Track, Swimming Pool, Gymnasium, Multipurpose hall, Security, Parking, Playground",Air-Cond
103638514,Ivory Residence,2015,"RM 1,499 per month",Selangor - Kajang,Condominium,3,,2,1288 sq.ft.,Fully Furnished,"Parking, Playground, Barbeque area, Swimming Pool, Lift, Jogging Track, Security, Gymnasium, Multipurpose hall","Air-Cond, Near KTM/LRT"
105948216,Puncak 7 Residence,2018,"RM 1,800 per month",Selangor - Shah Alam,Condominium,2,1,2,1166 sq.ft.,Fully Furnished,"Parking, Security, Squash Court, Lift, Playground, Sauna, Gymnasium, Jogging Track, Minimart, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Internet"
105819071,i-City,,"RM 1,700 per month",Selangor - I-City,Others,2,,1,614 sq.ft.,Fully Furnished,"Swimming Pool, Lift, Security, Gymnasium, Playground, Minimart","Air-Cond, Cooking Allowed, Washing Machine"
106093939,Emerald Residence @ Mahkota Cheras,2017,"RM 1,000 per month",Selangor - Cheras,Condominium,3,2,2,1266 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
106093764,Residensi Camelia,,"RM 1,100 per month",Selangor - Bandar Sungai Long,Condominium,3,2,2,1052 sq.ft.,Not Furnished,Lift,
105942549,The Greens (Residensi Hijauan) @ Subang West,2018,"RM 2,000 per month",Selangor - Shah Alam,Condominium,3,2,2,915 sq.ft.,Fully Furnished,"Squash Court, Jogging Track, Parking, Security, Playground, Swimming Pool, Gymnasium, Tennis Court, Minimart",
106093854,Ritze Perdana 1,2006,"RM 1,200 per month",Selangor - Damansara Perdana,Condominium,1,1,1,406 sq.ft.,Fully Furnished,"Sauna, Parking, Minimart, Lift, Playground, Jogging Track, Barbeque area, Security, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
106093849,SD Apartments II,2002,"RM 1,100 per month",Selangor - Bandar Sri Damansara,Apartment,3,1,1,786 sq.ft.,Partially Furnished,"Parking, Playground, Security, Minimart",Cooking Allowed
105882228,Kenangan View,,RM 850 per month,Selangor - Kajang,Apartment,3,1,2,1204 sq.ft.,Not Furnished,"Lift, Parking, Playground, Swimming Pool, Security",Cooking Allowed
104441923,Pangsapuri Setia Impian,2019,RM 950 per month,Selangor - Kajang,Condominium,3,,3,1300 sq.ft.,Partially Furnished,"Security, Lift, Parking",
