ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
105079182,Dwiputra Residences,2017,"RM 1,650 per month",Putrajaya - Putrajaya,Condominium,3,2,2,950 sq.ft.,Fully Furnished,"Gymnasium, Parking, Lift, Multipurpose hall, Playground, Swimming Pool, Security, Barbeque area","Cooking Allowed, Air-Cond, Washing Machine"
103079090,Alam Desa @ Park Village,2011,"RM 1,500 per month",Putrajaya - Putrajaya,Condominium,3,2,2,1400 sq.ft.,Partially Furnished,"Minimart, Playground, Gymnasium, Tennis Court, Parking, Security, Swimming Pool, Squash Court, Jogging Track",
104426898,"PPA1M Jintan, Presint 16",,"RM 1,700 per month",Putrajaya - Putrajaya,Apartment,3,1,2,1200 sq.ft.,Fully Furnished,"Multipurpose hall, Parking, Security, Minimart, Lift, Playground, Barbeque area, Jogging Track","Cooking Allowed, Near KTM/LRT"
106091998,Aura Residence,2021,"RM 3,000 per month",Putrajaya - Putrajaya,Condominium,4,2,4,1370 sq.ft.,Fully Furnished,"Swimming Pool, Club house, Parking, Security, Jogging Track, Playground","Air-Cond, Cooking Allowed, Washing Machine"
106090405,PPA1M Selasih,,"RM 1,500 per month",Putrajaya - Putrajaya,Apartment,3,1,2,1200 sq.ft.,Partially Furnished,"Security, Playground, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine"
106088215,Conezion Residences,2018,"RM 2,500 per month",Putrajaya - Putrajaya,Service Residence,3,,2,986 sq.ft.,Fully Furnished,"Security, Playground, Gymnasium, Lift, Parking, Minimart, Swimming Pool, Multipurpose hall","Air-Cond, Washing Machine"
105700394,Conezion Residences,2018,"RM 2,500 per month",Putrajaya - Putrajaya,Condominium,2,2,2,783 sq.ft.,Fully Furnished,"Parking, Gymnasium, Security, Playground, Minimart, Swimming Pool, Lift, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
106085317,taman hijau jalan reko kajang,,"RM 1,300 per month",Putrajaya - Putrajaya,Others,4,,2,1000 sq.ft.,Partially Furnished,Parking,Near KTM/LRT
105347397,Residensi Adelia 2,,"RM 1,000 per month",Putrajaya - Putrajaya,Condominium,3,2,3,1045 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Near KTM/LRT, Cooking Allowed, Air-Cond"
92879248,Shaftsbury Avenue,2018,"RM 1,800 per month",Putrajaya - Putrajaya,Service Residence,2,,1,686 sq.ft.,Fully Furnished,"Sauna, Playground, Jogging Track, Parking, Swimming Pool, Gymnasium, Security, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
105379319,PPA1M Selasih,,"RM 1,500 per month",Putrajaya - Putrajaya,Apartment,3,1,3,1500 sq.ft.,Not Furnished,"Security, Playground, Parking, Lift, Minimart","Cooking Allowed, Air-Cond"
106048268,Pangsapuri Putra Harmoni @ Presint 9,,"RM 1,200 per month",Putrajaya - Putrajaya,Apartment,3,,2,700 sq.ft.,Not Furnished,"Parking, Lift, Playground","Cooking Allowed, Near KTM/LRT"
