ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,Column1
106099893,Kota Bharu City Point,2014,"RM 1,000 per month",Kelantan - Kota Bharu,Service Residence,3,1,2,900 sq.ft.,Fully Furnished,"Parking, Minimart","Air-Cond, Cooking Allowed, Washing Machine",
106085508,Bangunan berserta tanah luas untuk disewa,,"RM 4,000 per month",Kelantan - Kota Bharu,Others,3,,2,2907 sq.ft.,Partially Furnished,,,
106078548,Troika Residence,2020,"RM 2,000 per month",Kelantan - Kota Bharu,Condominium,1,1,1,731 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium","Air-Cond, Washing Machine, Internet",
105981126,Anjung Vista,2012,"RM 1,200 per month",Kelantan - Kubang Kerian,Condominium,1,1,1,450 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",
105921474,Anjung Vista,2012,"RM 1,500 per month",Kelantan - Kubang Kerian,Condominium,3,,2,679 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Playground, Lift","Air-Cond, Washing Machine, Cooking Allowed",
105861468,Sky riverfront,,"RM 1,500 per month",Kelantan - Kota Bharu,Apartment,1,,1,500 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall",Air-Cond,
105746662,Lundang City View,,"RM 2,500 per month",Kelantan - Kota Bharu,Condominium,3,1,2,1198 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Playground, Parking, Sauna, Multipurpose hall, Security","Air-Cond, Cooking Allowed, Washing Machine",
105739697,Sky River Front Service Apartment,2018,"RM 1,500 per month",Kelantan - Kota Bharu,Service Residence,1,1,1,480 sq.ft.,Fully Furnished,"Playground, Barbeque area, Multipurpose hall, Minimart, Gymnasium, Security, Swimming Pool, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine, Internet",
105727951,Kota Sri Mutiara,2010,"RM 2,500 per month",Kelantan - Kota Bharu,Condominium,3,1,2,1300 sq.ft.,Fully Furnished,"Security, Parking, Minimart, Lift",,
105690242,KBCC (KB City Centre),,"RM 1,000 per month",Kelantan - Kota Bharu,Service Residence,1,1,1,550 sq.ft.,Fully Furnished,"Parking, Lift, Security","Air-Cond, Cooking Allowed",
105602249,KBCC (KB City Centre),,"RM 1,200 per month",Kelantan - Kota Bharu,Service Residence,1,,1,800 sq.ft.,Fully Furnished,"Parking, Security, Lift","Air-Cond, Washing Machine",
105501742,Kota Sri Mutiara,2010,"RM 2,000 per month",Kelantan - Kota Bharu,Condominium,2,,2,800 sq.ft.,Fully Furnished,"Security, Minimart, Lift, Parking, Gymnasium",,
105346375,Anjung Vista,2012,RM 800 per month,Kelantan - Kubang Kerian,Condominium,1,,1,400 sq.ft.,Fully Furnished,"Swimming Pool, Security, Lift, Multipurpose hall","Air-Cond, Cooking Allowed",
105301811,Kelantan Trade Centre,,RM 900 per month,Kelantan - Kota Bharu,Apartment,1,,1,470 sq.ft.,Fully Furnished,"Parking, Lift","Air-Cond, Cooking Allowed",
105259325,KOTA BHARU CITY CENTER ,,"RM 1,200 per month",Kelantan - Kota Bharu,Studio,1,1,1,556 sq.ft.,Fully Furnished,"Parking, Security, Lift, Gymnasium, Minimart","Air-Cond, Cooking Allowed, Washing Machine",
105247204,hotel mutiara gua musang kelantan,,RM 900 per month,Kelantan - Gua Musang,Studio,1,1,1,60 sq.ft.,Fully Furnished,"Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Barbeque area, Minimart, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",
