Link,Name,Property Type,No of Rooms,Property Size (sq. ft),Monthly Rent,Property Address
https://www.mudah.my/bilik-sewa-untuk-perempuan-tepi-airport-labuan-106423612.htm,Bilik Sewa untuk perempuan tepi airport Labuan,Houses,,120,RM 450,Labuan
https://www.mudah.my/Lazenda+Warehouse+PH3+Factory+Warehouse+Rancha+Rancha+Labuan-104457839.htm,Lazenda Warehouse PH3 | Factory & Warehouse | Rancha- Rancha | Labuan,Warehouse / Factory,,3466,"RM 3,500",Labuan
https://www.mudah.my/rumah-sewa-sg-labu-106375054.htm,Rumah Sewa Sg labu,Others,3,1000,"RM 1,800",Labuan
https://www.mudah.my/studio-romm-106365727.htm,Studio Romm,Others,1,200,RM 750,Labuan
https://www.mudah.my/house-for-rent-106350627.htm,House for rent,Semi-Detached House,4,1700,"RM 3,600",Labuan
https://www.mudah.my/tanjung-purun-2-large-semi-detached-house-for-rent-106330461.htm,Tanjung Purun 2 Large Semi-detached House for Rent,Semi-Detached House,4,2410,"RM 3,250",Labuan
https://www.mudah.my/lajau-terrace-house-for-rent-106322761.htm,Lajau terrace house for rent,Terraced House,3,1200,"RM 1,500",Labuan
https://www.mudah.my/double-storey-semi-detached-106312638.htm,Double Storey Semi Detached,Semi-Detached House,3,2500,"RM 2,000",Labuan
https://www.mudah.my/Bilik+Sewa+untuk+Lelaki+Bujang-105117929.htm,Bilik Sewa untuk Lelaki Bujang,Apartment / Flat,,100,RM 500,Labuan
https://www.mudah.my/rumah-sewa-3-bilik-tidur-terletak-di-kampung-bukit-kalam-106287268.htm,Rumah sewa 3 bilik tidur terletak di Kampung Bukit Kalam,Others,3,1000,RM 900,Labuan
https://www.mudah.my/semi-detached-house-for-rent-pantai-avenue-labuan-106240766.htm,Semi Detached House for Rent @ Pantai Avenue Labuan,Semi-Detached House,4,4200,"RM 4,000",Labuan
https://www.mudah.my/tingkat-1-taman-mutiara-sg-bedaun-106234401.htm,Tingkat 1 Taman Mutiara Sg Bedaun,Apartment,4,750,RM 950,Labuan
https://www.mudah.my/rumah-untuk-disewa-house-for-rent-taman-miramar-106223381.htm,Rumah Untuk Disewa / House for Rent (Taman Miramar),Semi-Detached House,3,2065,"RM 1,800",Labuan
https://www.mudah.my/lazenda-warehouse-patau-patau-2-labuan-106218722.htm,"Lazenda warehouse patau-patau 2,  Labuan",Warehouse / Factory,,2510,"RM 3,600",Labuan
https://www.mudah.my/Room+for+Rent+at+Labuan-106160097.htm,Room for Rent at Labuan,Houses,,1000,RM 500,Labuan
https://www.mudah.my/rumah+sewa-106154954.htm,rumah sewa,1-storey Terraced House,2,625,"RM 1,500",Labuan
https://www.mudah.my/Office+For+rent+in+Labuan-88309795.htm,Office For rent in Labuan,Office space,,100,"RM 1,250",Labuan
https://www.mudah.my/New+office+for+rent+in+paragon-82296271.htm,New office for rent in paragon,Office space,,100,"RM 1,250",Labuan
https://www.mudah.my/Ground+Floor+Bandar+Labuan-106116792.htm,Ground Floor | Bandar Labuan,Shop lot,,630,"RM 3,200",Labuan
https://www.mudah.my/Office+Unit+Bandar+Labuan+Jalan+Bunga+Mawar-106116697.htm,Office Unit | Bandar Labuan | Jalan Bunga Mawar,Office space,,1200,"RM 1,500",Labuan
https://www.mudah.my/Aircond+room+for+rent+at+Labuan-106079433.htm,Aircond room for rent at Labuan,Houses,,200,RM 550,Labuan
https://www.mudah.my/NEW+HOUSE+Nagalang+Residences+Phase+2+for+rent+near+LIS-106038884.htm,NEW HOUSE Nagalang Residences Phase 2 for rent near LIS,2-storey Terraced House,4,1500,"RM 3,000",Labuan
https://www.mudah.my/LABUAN+TOWN+HOUSE+Near+to+everywhere+Including+Internet+Tvbox-105979673.htm,LABUAN TOWN HOUSE... Near to everywhere !! Including Internet & Tvbox,Semi-Detached House,4,2000,"RM 3,500",Labuan
https://www.mudah.my/OFFICE+space+for+rent+NO+DEPOSIT-105927338.htm,OFFICE space for rent. NO DEPOSIT,Office space,,100,RM 500,Labuan
https://www.mudah.my/Book+Dahlia+B+04+13-105916219.htm,Book Dahlia B-04-13,Apartment,3,900,"RM 1,300",Labuan
https://www.mudah.my/Mini+Studio+to+Rent+at+Labuan-105869873.htm,Mini Studio to Rent at Labuan,,1,1000,RM 900,Labuan
https://www.mudah.my/Lazenda+shop+lot-105820904.htm,Lazenda shop lot,Shop lot,,1200,"RM 1,800",Labuan
https://www.mudah.my/Ganggarak+Permai+Apartment+Block+A+Whole+Unit+Available+Now+-105780181.htm,Ganggarak Permai Apartment - Block A Whole Unit (Available Now),Apartment,3,900,"RM 1,100",Labuan
https://www.mudah.my/House+for+rent+in+Labuan-105733157.htm,House for rent in Labuan,Others,4,860,RM 900,Labuan
https://www.mudah.my/Ganggarak+Apartment+Untuk+Di+Sewa-105730492.htm,Ganggarak Apartment Untuk Di Sewa,Apartment,3,800,"RM 1,400",Labuan
https://www.mudah.my/Bilik+Sewa+di+Apartment+Ganggarak+Permai+Labuan-105720562.htm,"Bilik Sewa di Apartment Ganggarak Permai, Labuan",Apartment / Flat,,100,RM 450,Labuan
https://www.mudah.my/Lazenda+Villa+9+Semi+D+For+Rent-105696269.htm,Lazenda Villa 9 Semi-D For Rent,Semi-Detached House,3,2800,"RM 3,100",Labuan
https://www.mudah.my/Bilik+Sewa+Taman+Mutiara+Sg+Bedaun+Labuan-105680289.htm,"Bilik Sewa Taman Mutiara, Sg Bedaun, Labuan",Apartment / Flat,,100,RM 400,Labuan
https://www.mudah.my/Bilik+Sewa+Taman+Mutiara+Labuan-105680161.htm,Bilik Sewa Taman Mutiara Labuan,Apartment / Flat,,100,RM 350,Labuan
https://www.mudah.my/tanah+kosong+untuk+disewakan-105657452.htm,tanah kosong untuk disewakan,Agricultural,,0.11,"RM 3,500",Labuan
https://www.mudah.my/Alpha+Condo+For+Rent-104393833.htm,Alpha Condo For Rent,Condominium,4,2029,"RM 3,200",Labuan
https://www.mudah.my/Town+Area+Room+For+Rent-105540633.htm,Town Area Room For Rent,Houses,,84,RM 550,Labuan
https://www.mudah.my/Fully+furnished+house+at+Taman+Mahkota+Impian-105518513.htm,Fully furnished house at Taman Mahkota Impian,2-storey Terraced House,4,2000,"RM 2,700",Labuan
