Link,Name,Property Type,No of Rooms,Property Size (sq. ft),Monthly Rent,Property Address
https://www.mudah.my/Alor+Setar+Taman+Tanjung+Bendahara+Teres+1+Tingkat+Corner+Lot-105573917.htm,"Alor Setar, Taman Tanjung Bendahara, Teres 1 Tingkat Corner Lot",1-storey Terraced House,3,2756,RM900,Kedah
https://www.mudah.my/murah-rumah-teres-taman-ria-jaya-sungai-petani-kedah-106444416.htm,Murah Rumah Teres Taman Ria Jaya Sungai Petani Kedah,1-storey Terraced House,3,1200,RM650,Kedah
https://www.mudah.my/Shoplot+For+Rent+Medan+Putra+Seberang+Jalan+Putra-105907977.htm,"Shoplot For Rent Medan Putra Seberang,Jalan Putra",Shop lot,,3200,"RM1,600",Kedah
https://www.mudah.my/kulim-semarak-double-storey-shop-lot-facing-main-road-for-rent-106443336.htm,Kulim-Semarak Double storey Shop lot facing main road for rent,Shop lot,,1400,"RM3,300",Kedah
https://www.mudah.my/kulim-facing-main-road-ground-floor-shoplot-lembah-impiana-near-minat-106441849.htm,Kulim Facing Main Road Ground Floor Shoplot Lembah Impiana near Minat,Shop lot,,1400,"RM2,300",Kedah
https://www.mudah.my/double-storey-terrace-kulim-near-hi-tech-fully-furnished-ready-unit-106441510.htm,Double Storey Terrace [KULIM] Near Hi-Tech Fully Furnished Ready Unit,2-storey Terraced House,4,2800,"RM2,000",Kedah
https://www.mudah.my/2+Storey+Shoplot+for+Rent+Bakar+Arang-105613769.htm,2 Storey Shoplot for Rent @ Bakar Arang,Shop lot,,1400,"RM2,000",Kedah
https://www.mudah.my/STRATEGIC+LOCATION+Semi+D+to+RENT+Taman+Sayang+Baru+-105871140.htm,STRATEGIC LOCATION Semi-D to RENT (Taman Sayang Baru),Semi-Detached House,4,1203,"RM1,250",Kedah
https://www.mudah.my/cheapest-taman-patani-jaya-double-storey-semi-d-near-central-square-106441156.htm,Cheapest Taman Patani Jaya Double Storey Semi D near Central Square,Semi-Detached House,4,3200,"RM1,200",Kedah
https://www.mudah.my/renovated-taman-ria-jaya-1-storey-terrace-house-for-rent-106441372.htm,[RENOVATED] Taman Ria Jaya 🏠 1 Storey Terrace House FOR RENT,1-storey Terraced House,3,1200,RM850,Kedah
