ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
105869917,Taman Desa Jelita,,RM 800 per month,Penang - Batu Maung,Flat,2,,1,500 sq.ft.,Not Furnished,,
106104706,Vistaria Condominium,2004,"RM 1,200 per month",Penang - Sungai Ara,Condominium,3,1,2,1040 sq.ft.,Partially Furnished,"Lift, Security, Minimart, Swimming Pool, Barbeque area, Gymnasium, Playground, Parking","Cooking Allowed, Washing Machine"
105309754,City Of Dreams Penang,2019,"RM 4,200 per month",Penang - Tanjong Tokong,Service Residence,3,2,2,1185 sq.ft.,Fully Furnished,"Sauna, Parking, Swimming Pool, Gymnasium, Security, Barbeque area, Playground, Lift, Club house",
106104767,Casa Residence (Bukit Mertajam),2019,"RM 1,950 per month",Penang - Bukit Mertajam,Condominium,3,2,2,1280 sq.ft.,Fully Furnished,"Barbeque area, Sauna, Club house, Parking, Security, Playground, Swimming Pool",
105776362,Sensasi @ Utropolis,2020,"RM 1,600 per month",Penang - Batu Kawan,Service Residence,3,2,2,729 sq.ft.,Fully Furnished,"Gymnasium, Parking, Swimming Pool, Security","Air-Cond, Cooking Allowed, Washing Machine"
106104677,Desa Indah Block 33,,RM 850 per month,Penang - Bukit Jambul,Apartment,3,1,2,650 sq.ft.,Not Furnished,Parking,
105106497,SeventyNine Residence (79 Residence),2017,"RM 2,100 per month",Penang - Bukit Mertajam,Condominium,4,2,3,1566 sq.ft.,Fully Furnished,"Parking, Playground, Lift, Swimming Pool",
106104673,Casa Residence (Bukit Mertajam),2019,"RM 1,950 per month",Penang - Bukit Mertajam,Condominium,3,,2,1280 sq.ft.,Fully Furnished,"Barbeque area, Sauna, Club house, Parking, Security, Playground, Swimming Pool",
106104546,Bellisa Court,1996,"RM 2,800 per month",Penang - Georgetown,Condominium,3,1,2,1300 sq.ft.,Fully Furnished,"Parking, Barbeque area, Sauna, Squash Court, Security, Swimming Pool, Gymnasium, Playground, Jogging Track, Tennis Court","Cooking Allowed, Air-Cond, Washing Machine"
105328928,Prominence @ Bukit Mertajam,2016,"RM 1,500 per month",Penang - Bukit Mertajam,Condominium,3,2,2,1509 sq.ft.,Partially Furnished,"Swimming Pool, Barbeque area, Gymnasium, Security, Playground, Parking, Lift, Sauna, Minimart, Multipurpose hall, Jogging Track, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT"
105328851,Pangsapuri Rimbun,2017,RM 700 per month,Penang - Balik Pulau,Apartment,3,1,2,653 sq.ft.,Not Furnished,"Parking, Security, Lift, Playground, Multipurpose hall, Jogging Track",
106104648,The Amarene @ Ideal Vision Park,2021,"RM 1,500 per month",Penang - Bayan Lepas,Condominium,1,1,1,350 sq.ft.,Fully Furnished,"Swimming Pool, Jogging Track, Parking, Security, Playground, Gymnasium, Lift, Barbeque area, Sauna",
106104489,The Sky @ Tripark,2020,"RM 1,400 per month",Penang - Bukit Mertajam,Condominium,4,,2,1399 sq.ft.,Partially Furnished,"Barbeque area, Lift, Tennis Court, Multipurpose hall, Security, Swimming Pool, Gymnasium, Sauna, Parking",
106104237,Tropicana Bay Residences @ PWC,2017,"RM 2,400 per month",Penang - Bayan Lepas,Condominium,3,2,2,1020 sq.ft.,Fully Furnished,"Parking, Tennis Court, Multipurpose hall, Playground, Gymnasium, Squash Court, Lift, Club house, Security, Swimming Pool","Washing Machine, Cooking Allowed, Air-Cond"
105325168,Aspen Residences,2016,"RM 1,800 per month",Penang - Jelutong,Condominium,3,2,2,1270 sq.ft.,Partially Furnished,"Parking, Security, Multipurpose hall, Playground, Gymnasium, Lift, Barbeque area, Minimart, Club house, Jogging Track","Cooking Allowed, Air-Cond"
106104086,D’Piazza Condominium,,"RM 1,800 per month",Penang - Bayan Baru,Condominium,3,2,2,1100 sq.ft.,Fully Furnished,,
106103848,Lorong Semarak Api,,RM 670 per month,Penang - Ayer Itam,Flat,2,,1,550 sq.ft.,Partially Furnished,,
104710452,Pangsapuri Seri Jaya,,"RM 1,400 per month",Penang - Bukit Mertajam,Condominium,3,2,2,1005 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
106103858,Granito @ Permai,,"RM 2,100 per month",Penang - Tanjung Bungah,Condominium,3,2,2,850 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Gymnasium, Jogging Track, Playground","Air-Cond, Cooking Allowed, Washing Machine"
105945073,1-Sky (1-World II),2012,"RM 2,100 per month",Penang - Bayan Lepas,Condominium,3,2,2,1450 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Barbeque area, Gymnasium, Lift, Playground, Sauna",
106103419,Ferringhi Residence 2,2020,"RM 2,800 per month",Penang - Batu Ferringhi,Condominium,4,,4,1565 sq.ft.,Fully Furnished,"Tennis Court, Security, Playground, Swimming Pool, Lift, Sauna, Parking, Squash Court, Barbeque area, Multipurpose hall, Gymnasium",Air-Cond
106103549,Granito @ Permai,,"RM 1,900 per month",Penang - Tanjung Bungah,Condominium,3,1,2,864 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Gymnasium, Jogging Track, Playground",
106103360,The Light Collection II,2014,"RM 2,000 per month",Penang - Gelugor,Condominium,1,1,1,581 sq.ft.,Fully Furnished,"Swimming Pool, Multipurpose hall, Lift, Parking, Security, Gymnasium, Tennis Court, Playground",
104031662,Silverton,1997,"RM 7,000 per month",Penang - Persiaran Gurney,Condominium,5,2,5,4230 sq.ft.,Fully Furnished,"Barbeque area, Sauna, Playground, Squash Court, Gymnasium, Security, Swimming Pool, Tennis Court, Parking","Air-Cond, Internet, Cooking Allowed, Washing Machine"
105882016,Tropicana Bay Residences @ PWC,2017,"RM 1,900 per month",Penang - Bayan Lepas,Condominium,3,,2,1020 sq.ft.,Not Furnished,"Club house, Security, Swimming Pool, Playground, Gymnasium, Squash Court, Lift, Multipurpose hall, Parking, Tennis Court",
105041675,Imperial Residences,2016,"RM 2,000 per month",Penang - Sungai Ara,Condominium,3,3,2,1200 sq.ft.,Fully Furnished,"Playground, Gymnasium, Security, Jogging Track, Barbeque area, Multipurpose hall, Parking, Swimming Pool, Lift","Air-Cond, Washing Machine, Cooking Allowed"
106103184,Gambier Heights,1999,"RM 1,650 per month",Penang - Gelugor,Condominium,3,1,2,900 sq.ft.,Fully Furnished,"Minimart, Gymnasium, Tennis Court, Squash Court, Security, Parking, Playground, Swimming Pool, Jogging Track, Barbeque area, Lift, Multipurpose hall","Cooking Allowed, Air-Cond, Washing Machine"
106073852,Hijauan Voldor,,"RM 1,300 per month",Penang - Simpang Ampat,Others,3,2,1,1270 sq.ft.,Partially Furnished,,"Air-Cond, Cooking Allowed, Washing Machine"
106102980,Exo Residences @ Juru Sentral,2018,"RM 2,700 per month",Penang - Bukit Mertajam,Condominium,3,2,2,1400 sq.ft.,Fully Furnished,"Gymnasium, Security, Parking, Playground, Swimming Pool, Lift, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Club house","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT"
106102895,Tropicana Bay Residences @ PWC,2017,"RM 2,700 per month",Penang - Bayan Lepas,Condominium,3,2,3,1200 sq.ft.,Fully Furnished,"Club house, Parking, Swimming Pool, Squash Court, Lift, Multipurpose hall, Security, Playground, Gymnasium, Tennis Court","Washing Machine, Cooking Allowed, Air-Cond"
105882324,Tropicana Bay Residences @ PWC,2017,"RM 2,400 per month",Penang - Bayan Lepas,Condominium,3,,2,1020 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Tennis Court, Security, Gymnasium, Squash Court, Playground, Multipurpose hall, Club house, Lift",
105324083,The Light Collection II,2014,"RM 4,900 per month",Penang - Gelugor,Condominium,3,3,3,1841 sq.ft.,Fully Furnished,"Multipurpose hall, Tennis Court, Lift, Parking, Security, Playground, Swimming Pool, Gymnasium",
106102664,I-Santorini,2016,"RM 1,850 per month",Penang - Tanjong Tokong,Condominium,3,2,2,850 sq.ft.,Fully Furnished,"Jogging Track, Barbeque area, Playground, Tennis Court, Sauna, Parking, Security, Swimming Pool, Gymnasium, Lift, Minimart","Air-Cond, Cooking Allowed, Washing Machine"
106102587,Sunrise Tower,1977,"RM 2,500 per month",Penang - Persiaran Gurney,Condominium,3,,2,1500 sq.ft.,Fully Furnished,"Security, Parking, Lift, Swimming Pool, Playground, Minimart, Barbeque area, Sauna, Gymnasium, Multipurpose hall",
106102044,Ferringhi Residence 2,2020,"RM 2,900 per month",Penang - Batu Ferringhi,Condominium,3,2,3,1500 sq.ft.,Fully Furnished,"Tennis Court, Multipurpose hall, Security, Gymnasium, Squash Court, Playground, Barbeque area, Parking, Swimming Pool, Lift, Sauna","Air-Cond, Cooking Allowed, Washing Machine"
106102169,Granito @ Permai,,"RM 2,000 per month",Penang - Tanjung Bungah,Condominium,3,2,2,864 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Security, Jogging Track, Gymnasium, Parking, Sauna, Lift, Barbeque area, Minimart, Tennis Court, Squash Court, Multipurpose hall, Club house","Air-Cond, Internet, Cooking Allowed, Near KTM/LRT, Washing Machine"
106101948,Woodsland Park,2021,"RM 1,500 per month",Penang - Bukit Mertajam,Apartment,3,1,2,850 sq.ft.,Fully Furnished,"Swimming Pool, Lift, Gymnasium, Playground, Barbeque area, Multipurpose hall, Parking, Security, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine"
105813279,Vertu Resort @ Aspen Vision City,2020,"RM 1,450 per month",Penang - Batu Kawan,Condominium,3,2,2,1030 sq.ft.,Partially Furnished,"Lift, Parking, Swimming Pool, Security, Gymnasium, Jogging Track, Multipurpose hall, Playground, Barbeque area","Cooking Allowed, Air-Cond, Washing Machine"
106102082,Tri Pinnacle,2018,"RM 1,500 per month",Penang - Tanjong Tokong,Condominium,2,2,2,800 sq.ft.,Fully Furnished,"Swimming Pool, Barbeque area, Multipurpose hall, Parking, Security, Jogging Track, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine"
106101904,The Peak Residences,2013,"RM 1,800 per month",Penang - Tanjong Tokong,Condominium,3,,2,1100 sq.ft.,Fully Furnished,"Security, Playground, Swimming Pool, Club house, Gymnasium, Jogging Track, Multipurpose hall, Parking, Lift, Barbeque area","Air-Cond, Washing Machine"
