ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
105988339,"Camellia Residence, Seri Austin",,"RM 1,800 per month",Johor - Johor Bahru,Condominium,3,,2,818 sq.ft.,Fully Furnished,"Playground, Lift, Gymnasium, Multipurpose hall, Security, Swimming Pool, Barbeque area, Parking, Sauna, Minimart, Club house, Tennis Court, Jogging Track, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT"
106104983,Scientex Kulai Town House,2022,"RM 1,000 per month",Johor - Kulai,Townhouse Condo,3,,2,1400 sq.ft.,Not Furnished,"Parking, Security",
105842905,The Elysia Park Residence @ Medini,2019,"RM 2,200 per month",Johor - Iskandar Puteri,Condominium,2,,2,850 sq.ft.,Fully Furnished,"Parking, Playground, Swimming Pool, Gymnasium, Lift, Barbeque area, Security, Multipurpose hall, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine, Internet"
106104808,Parc Regency,2019,"RM 1,300 per month",Johor - Masai,Service Residence,2,1,2,750 sq.ft.,Partially Furnished,"Playground, Gymnasium, Lift, Sauna, Multipurpose hall, Parking, Swimming Pool, Security","Air-Cond, Cooking Allowed"
106104781,Jentayu Residensi @ Tampoi,2013,"RM 1,600 per month",Johor - Johor Bahru,Service Residence,3,,2,1000 sq.ft.,Partially Furnished,"Swimming Pool, Security, Barbeque area, Parking, Playground, Gymnasium, Jogging Track, Multipurpose hall, Lift, Minimart",Cooking Allowed
106104780,Twin Danga Residence,2018,"RM 2,100 per month",Johor - Johor Bahru,Service Residence,3,,2,1098 sq.ft.,Fully Furnished,"Playground, Parking, Security, Swimming Pool, Gymnasium, Lift, Barbeque area, Sauna, Multipurpose hall",
106104779,Green Haven @ Kota Puteri,2017,"RM 3,000 per month",Johor - Masai,Service Residence,4,,2,1496 sq.ft.,Fully Furnished,"Minimart, Parking, Lift, Barbeque area, Swimming Pool, Gymnasium, Security, Multipurpose hall, Playground, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
106104777,Midori Green @ Austin Heights,2016,"RM 1,800 per month",Johor - Johor Bahru,Service Residence,3,,2,935 sq.ft.,Partially Furnished,"Minimart, Playground, Lift, Parking, Security, Sauna, Gymnasium, Swimming Pool",
106104766,Parc Regency,2019,"RM 1,300 per month",Johor - Masai,Service Residence,2,,2,550 sq.ft.,Partially Furnished,"Playground, Gymnasium, Lift, Sauna, Multipurpose hall, Parking, Swimming Pool, Security",
105919941,Tropez Residences @ Tropicana Danga Bay,2014,"RM 3,200 per month",Johor - Johor Bahru,Service Residence,3,1,2,1184 sq.ft.,Fully Furnished,"Parking, Barbeque area, Multipurpose hall, Playground, Swimming Pool, Gymnasium, Squash Court, Tennis Court, Sauna, Security, Lift","Air-Cond, Cooking Allowed"
106103259,AmberSide @ Country Garden Danga Bay,2017,"RM 2,700 per month",Johor - Johor Bahru,Condominium,3,2,3,1340 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
106102458,Pandan Residence,2016,"RM 1,700 per month",Johor - Tebrau,Condominium,2,,2,1000 sq.ft.,Fully Furnished,"Barbeque area, Security, Minimart, Swimming Pool, Gymnasium",
104958433,R&F Princess Cove,2018,"RM 3,700 per month",Johor - Johor Bahru,Service Residence,3,1,2,1073 sq.ft.,Fully Furnished,"Gymnasium, Parking, Security, Playground, Jogging Track, Club house, Swimming Pool, Lift",
