Link,Name,Property Type,No of Rooms,Property Size (sq. ft),Monthly Rent,Property Address
https://www.mudah.my/fully-furnished-single-storey-terrace-house-taman-pulau-gadong-106444856.htm,Fully Furnished Single Storey Terrace House @ Taman Pulau Gadong,1-storey Terraced House,3,1400,"RM 1,300",Melaka
https://www.mudah.my/fully-furnished-2-sty-terrace-taman-duyong-permai-106444681.htm,Fully Furnished 2 Sty Terrace @ Taman Duyong Permai 包家私双层排屋,2-storey Terraced House,4,1540,"RM 1,100",Melaka
https://www.mudah.my/single-storey-bungalow-taman-belimbing-setia-24hr-security-106444619.htm,Single Storey Bungalow @ Taman Belimbing Setia & 24hr Security,Bungalow House,4,4000,"RM 1,000",Melaka
https://www.mudah.my/Kenanga+Residence+Condo+For+Rent-105317423.htm,Kenanga Residence Condo For Rent,Condominium,3,980,"RM 1,300",Melaka
https://www.mudah.my/fully-furnished-3bilik-pangsapuri-laksamana-1-106444004.htm,Fully Furnished 3Bilik @ Pangsapuri Laksamana 1,Apartment,3,755,RM 850,Melaka
https://www.mudah.my/bukit-beruang-single-storey-house-for-rent-106444027.htm,Bukit Beruang single Storey house for Rent,Terraced House,3,1540,"RM 1,000",Melaka
https://www.mudah.my/bukit-rambai-7350-sq-ft-warehouse-factory-krubong-tanjong-minyak-106443514.htm,Bukit Rambai 7350 sq.ft Warehouse Factory Krubong Tanjong Minyak,Warehouse / Factory,,7350,"RM 6,500",Melaka
https://www.mudah.my/rumah-teres-setingkat-untuk-disewa-taman-seri-sempang-merlimau-melaka-106443263.htm,"RUMAH TERES SETINGKAT UNTUK DISEWA@Taman Seri Sempang,Merlimau,Melaka
",1-storey Terraced House,3,1140,RM 750,Melaka
https://www.mudah.my/bilik-sewa-kat-kota-laksamana-room-for-rent-jonker-mahkota-syah-bandar-106442208.htm,bilik sewa kat kota laksamana room for rent jonker mahkota syah bandar,Apartment / Flat,,80,RM 320,Melaka
https://www.mudah.my/master-bedroom-non-sharing-di-taman-saujana-indah-bukit-katil-106441893.htm,"Master Bedroom Non Sharing di Taman Saujana Indah, Bukit Katil",Houses,,400,RM 350,Melaka
https://www.mudah.my/fully-furnished-3-rooms-the-quartz-residence-kota-laksamana-106219348.htm,Fully Furnished 3 Rooms The Quartz Residence Kota Laksamana,Condominium,3,947,"RM 1,600",Melaka
https://www.mudah.my/single-storey-taman-bukit-beruang-melaka-106441498.htm,Single Storey Taman Bukit Beruang Melaka,Terraced House,3,1540,"RM 1,000",Melaka
https://www.mudah.my/krubong-warehouse-factory-for-rent-106441406.htm,Krubong Warehouse/Factory For Rent,Warehouse / Factory,,16000,"RM 12,000",Melaka
https://www.mudah.my/bilik-sewa-room-for-rent-kota-laksamana-jonker-mahkota-syah-bandar-106441283.htm,bilik sewa room for rent kota laksamana jonker mahkota syah bandar,Apartment / Flat,,100,RM 400,Melaka
https://www.mudah.my/bilik-untuk-disewa-near-to-petronas-refinery-106441228.htm,Bilik Untuk Disewa - Near to Petronas Refinery ,Semi-Detached House,2,3200,RM 370,Melaka
https://www.mudah.my/partitioned-rooms-very-suitable-office-tuition-centers-training-use-106441205.htm,"Partitioned rooms, very suitable-office, tuition centers, training use",Office space,,1000,RM 665,Melaka
https://www.mudah.my/krubong-jaya-terrace-corner-lot-106441102.htm,Krubong Jaya - Terrace Corner Lot,1-storey Terraced House,4,2971,"RM 1,000",Melaka
https://www.mudah.my/high-level-kenanga-residence-kampung-lapan-melaka-106440832.htm,"High Level , Kenanga Residence , Kampung Lapan@Melaka",Condominium,3,1000,"RM 1,500",Melaka
https://www.mudah.my/full-renovated-double-storey-corner-ujong-pasir-town-near-semabok-106338014.htm,Full Renovated Double Storey  Corner Ujong Pasir Town Near Semabok,2-storey Terraced House,5,1800,"RM 2,500",Melaka
https://www.mudah.my/Fully+Furnished+Selat+Horizon+Condo+Klebang+Limbongan+Kota+Laksamana-105879837.htm,Fully Furnished Selat Horizon Condo Klebang Limbongan Kota Laksamana,Condominium,3,968,"RM 1,250",Melaka
https://www.mudah.my/commercial-building-for-mini-market-food-court-at-taman-merdeka-106439965.htm,Commercial Building for Mini Market Food Court at Taman Merdeka,Shop lot,,82973,"RM 65,000",Melaka
https://www.mudah.my/fully-furnish-gated-double-storey-puncak-bertam-near-malim-106439867.htm,Fully Furnish Gated Double Storey @ Puncak Bertam Near Malim,2-storey Terraced House,4,1540,"RM 2,000",Melaka
https://www.mudah.my/for-rent-106439498.htm,For rent,Service Residence,3,1088,"RM 2,000",Melaka
https://www.mudah.my/Renovated+Flat+Bandar+Duyong+Near+Manipal+Jusco-105154010.htm,Renovated Flat Bandar Duyong Near Manipal & Jusco,Flat,3,750,RM 700,Melaka
https://www.mudah.my/office-store-studio-106439445.htm,Office/store/studio,Office space,,20,RM 800,Melaka
https://www.mudah.my/sewa-murah-tingkat-2-106439286.htm,Sewa murah tingkat 2 ,Shop lot,,1,"RM 1,000",Melaka
https://www.mudah.my/master-bedroom-rental-starting-1-june-2024-106439257.htm,MASTER BEDROOM (Rental starting 1 June 2024),Apartment,1,1600,RM 550,Melaka
https://www.mudah.my/cornet-lot-facing-main-road-industrial-land-krubong-melaka-106438939.htm,Cornet Lot Facing Main Road Industrial Land Krubong Melaka,Industrial,,0.72,"RM 6,800",Melaka
