ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
105245462,Urbaneeze Apartment,2016,"RM 1,800 per month",Sarawak - Kuching,Apartment,3,1,2,1399 sq.ft.,Fully Furnished,"Lift, Security, Playground, Parking, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Internet"
105231263,Nu Ryegates,2020,"RM 1,800 per month",Sarawak - Kuching,Apartment,3,2,2,1150 sq.ft.,Fully Furnished,"Security, Swimming Pool, Gymnasium, Playground, Parking, Lift, Jogging Track, Club house","Air-Cond, Cooking Allowed, Washing Machine, Internet"
106107341,Chonglin Park,,"RM 1,000 per month",Sarawak - Kuching,Flat,2,,2,660 sq.ft.,Partially Furnished,,
72612959,SkyVilla Condominium (MJC),,"RM 2,300 per month",Sarawak - Kuching,Condominium,3,1,2,1100 sq.ft.,Fully Furnished,"Swimming Pool, Jogging Track, Playground, Security, Lift, Parking, Gymnasium, Barbeque area, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Washing Machine, Internet"
106107266,Floridale Condominium,,"RM 1,500 per month",Sarawak - Kuching,Condominium,3,1,2,1376 sq.ft.,Fully Furnished,"Security, Parking, Minimart, Swimming Pool, Playground, Jogging Track, Barbeque area, Club house","Air-Cond, Cooking Allowed, Washing Machine, Internet"
106105871,SkyVilla Condominium (MJC),,"RM 1,800 per month",Sarawak - Kuching,Condominium,3,,2,1200 sq.ft.,Fully Furnished,"Parking, Jogging Track, Playground, Security, Swimming Pool, Lift",
106105853,Stutong Heights Apartment 1,2015,"RM 1,200 per month",Sarawak - Kuching,Apartment,2,,2,550 sq.ft.,Partially Furnished,"Barbeque area, Parking, Security, Lift",
106105799,The Podium,2022,"RM 2,600 per month",Sarawak - Kuching,Apartment,3,,2,933 sq.ft.,Fully Furnished,"Minimart, Security, Swimming Pool, Gymnasium, Barbeque area, Sauna, Parking, Lift",
106105155,Residensi PR1MA Bintawa Riverfront,2020,"RM 1,500 per month",Sarawak - Kuching,Condominium,3,1,2,1 sq.ft.,Fully Furnished,"Parking, Playground, Lift, Multipurpose hall, Security, Swimming Pool",
105828759,Stutong Tiarra,2019,"RM 2,300 per month",Sarawak - Kuching,Apartment,4,1,2,1118 sq.ft.,Fully Furnished,"Swimming Pool, Barbeque area, Parking, Security, Playground, Gymnasium, Multipurpose hall, Lift","Cooking Allowed, Washing Machine, Internet, Air-Cond"
104370439,Riverine Emerald,2022,"RM 2,200 per month",Sarawak - Kuching,Condominium,3,1,3,1500 sq.ft.,Fully Furnished,,"Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT, Internet"
105883776,The Park Residence,2016,"RM 3,500 per month",Sarawak - Kuching,Condominium,3,,3,1000 sq.ft.,Fully Furnished,,
106094856,Liberty Grove,,"RM 1,600 per month",Sarawak - Kuching,Apartment,3,2,2,1099 sq.ft.,Fully Furnished,"Playground, Jogging Track, Sauna, Security, Barbeque area, Multipurpose hall","Cooking Allowed, Air-Cond, Washing Machine"
106066886,Rivervale Condominium,,"RM 3,000 per month",Sarawak - Kuching,Condominium,2,2,2,952 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine, Internet"
104269182,Tribeca,2014,"RM 2,500 per month",Sarawak - Kuching,Condominium,3,2,2,1432 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine"
106093351,The Peak @ Bintulu Paragon,2019,"RM 1,600 per month",Sarawak - Bintulu,Condominium,1,1,1,453 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Security, Multipurpose hall, Parking, Barbeque area, Lift","Air-Cond, Cooking Allowed, Washing Machine"
106091285,Vantage @ Tamu,2022,"RM 2,500 per month",Sarawak - Kuching,Condominium,2,,2,1 sq.ft.,Fully Furnished,"Swimming Pool, Lift, Parking, Security, Gymnasium, Barbeque area",
106090853,Vantage @ Tamu,2022,"RM 2,500 per month",Sarawak - Kuching,Condominium,2,,2,1 sq.ft.,Fully Furnished,"Security, Swimming Pool, Gymnasium, Lift, Parking, Barbeque area",
106089961,Gem Suites,2021,"RM 2,200 per month",Sarawak - Kuching,Service Residence,2,1,2,800 sq.ft.,Fully Furnished,"Swimming Pool, Security, Parking, Playground, Lift, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine"
106088834,Wassion Avenue,,RM 900 per month,Sarawak - Kuching,Apartment,3,2,2,900 sq.ft.,Fully Furnished,"Parking, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine"
106086225,Royal Oak,2020,"RM 2,300 per month",Sarawak - Kuching,Apartment,3,,2,1237 sq.ft.,Partially Furnished,"Lift, Parking, Security, Minimart, Swimming Pool",
106084494,MJC Upper Sanctuary,2007,"RM 1,300 per month",Sarawak - Kuching,Condominium,3,1,2,1006 sq.ft.,Fully Furnished,"Security, Swimming Pool, Parking, Gymnasium, Lift, Multipurpose hall, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine"
106083309,The Podium,2022,"RM 3,000 per month",Sarawak - Kuching,Apartment,3,,3,1400 sq.ft.,Fully Furnished,"Security, Barbeque area, Parking, Gymnasium, Minimart, Lift, Swimming Pool, Sauna",
105109866,The Orchard Residences,2015,"RM 2,000 per month",Sarawak - Kota Samarahan,Condominium,4,2,2,1920 sq.ft.,Fully Furnished,"Gymnasium, Squash Court, Sauna, Security, Playground, Multipurpose hall, Parking, Swimming Pool, Lift, Club house","Air-Cond, Cooking Allowed, Washing Machine"
104467473,The Wharf (Miri),2016,"RM 4,000 per month",Sarawak - Miri,Condominium,3,1,2,1760 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine"
102436484,MJC SOHO,,RM 700 per month,Sarawak - Kuching,Apartment,2,,1,580 sq.ft.,Partially Furnished,,
106079031,MJC Upper Sanctuary,2007,"RM 1,500 per month",Sarawak - Kuching,Condominium,3,1,2,1013 sq.ft.,Fully Furnished,"Lift, Parking, Jogging Track, Security, Gymnasium, Swimming Pool, Playground","Air-Cond, Cooking Allowed, Washing Machine"
106078554,Zen 66 Apartment,2018,"RM 2,400 per month",Sarawak - Kuching,Apartment,3,2,2,1200 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium, Sauna, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Washing Machine, Internet"
106078398,Green Heights Condominiums,,"RM 2,200 per month",Sarawak - Kuching,Condominium,3,,2,1800 sq.ft.,Fully Furnished,"Sauna, Barbeque area, Parking, Playground, Security, Minimart, Swimming Pool, Gymnasium, Lift, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine"
106072660,Kozi Square,2019,"RM 1,100 per month",Sarawak - Kuching,Apartment,1,,1,1 sq.ft.,Partially Furnished,"Playground, Swimming Pool, Gymnasium, Security, Parking, Minimart, Squash Court",
106071682,Riverine Diamond,2022,"RM 1,600 per month",Sarawak - Kuching,Condominium,1,1,1,350 sq.ft.,Fully Furnished,"Gymnasium, Playground, Lift, Sauna, Multipurpose hall, Jogging Track, Security, Swimming Pool, Barbeque area, Parking","Air-Cond, Cooking Allowed"
106070320,Sapphire On The Park @ Kuching Paragon,2020,"RM 2,000 per month",Sarawak - Kuching,Condominium,2,2,2,800 sq.ft.,Fully Furnished,"Swimming Pool, Lift, Barbeque area, Sauna, Security, Multipurpose hall, Parking, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine"
105268677,Desa Pines Apartment,2002,"RM 1,800 per month",Sarawak - Kuching,Apartment,3,1,2,1345 sq.ft.,Fully Furnished,"Minimart, Gymnasium, Sauna, Security, Swimming Pool, Parking","Air-Cond, Cooking Allowed, Washing Machine"
105828822,The Podium,2022,"RM 2,500 per month",Sarawak - Kuching,Service Residence,3,1,2,933 sq.ft.,Fully Furnished,"Sauna, Minimart, Gymnasium, Barbeque area, Swimming Pool, Lift, Security","Air-Cond, Cooking Allowed, Washing Machine"
104714404,Nu Ryegates,2020,"RM 2,000 per month",Sarawak - Kuching,Apartment,3,1,2,1111 sq.ft.,Fully Furnished,"Parking, Security, Gymnasium, Multipurpose hall","Cooking Allowed, Washing Machine, Internet, Air-Cond"
