Link,Name,Property Type,No of Rooms,Property Size (sq. ft),Monthly Rent,Property Address
https://www.mudah.my/psj-damansara-double-storey-semi-d-house-for-rent-106444074.htm,PSJ Damansara Double Storey Semi D House For Rent,Semi-Detached House,4,2236,"RM 2,200",Pahang
https://www.mudah.my/Genting+Permai+Park+and+Resort-102837171.htm,Genting Permai Park and Resort,Condominium,3,1050,"RM 2,700",Pahang
https://www.mudah.my/Kuantan+office+lot+for+rent+town+-102370202.htm,Kuantan office lot for rent (town),Office space,,1400,"RM 1,000",Pahang
https://www.mudah.my/Office+3+lot+yg+luas+untuk+disewa+kuantan+-105696204.htm,Office 3 lot yg luas untuk disewa  ( kuantan ),Office space,,4200,"RM 1,800",Pahang
https://www.mudah.my/seri-kuantan-2-story-semi-d-106441855.htm,Seri Kuantan 2 Story Semi D,Semi-Detached House,5,2200,"RM 2,500",Pahang
https://www.mudah.my/bilik-untuk-di-sewakan-lelaki-di-taman-jengka-indah-bandar-jengka-106441581.htm,"bilik untuk di sewakan , lelaki  di taman jengka indah, bandar jengka ",Houses,,150,RM 240,Pahang
https://www.mudah.my/room-to-let-106441435.htm,Room To Let,Shoplot,,300,RM 400,Pahang
https://www.mudah.my/bilik-sewa-perempuan-berdekatan-gebeng-di-balok-baru-106441289.htm,Bilik Sewa (Perempuan) berdekatan Gebeng di Balok Baru!,Houses,,92,RM 350,Pahang
https://www.mudah.my/lrg-bukit-setongkol-perdana-double-storey-house-for-rent-106263722.htm,LRG bukit setongkol perdana double storey house for rent,2-storey Terraced House,4,1540,"RM 1,200",Pahang
https://www.mudah.my/jalan-beserah-taman-tab-2rd-floor-office-for-rent-106439825.htm,Jalan beserah taman tab 2rd floor office for rent.,Office space,,1400,RM 900,Pahang
https://www.mudah.my/Single+Storey+at+Seri+Kuantan+Town+Area+Aircond+-105844450.htm,Single Storey at Seri Kuantan (Town Area/Aircond),1-storey Terraced House,3,1800,"RM 1,000",Pahang
https://www.mudah.my/Bilik+sewa+kuantan-104352070.htm,Bilik sewa kuantan,Houses,,1800,RM 165,Pahang
