monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,address,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude,additional_facilities
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1050 sq.ft.,Fully Furnished,"Lift, Multipurpose hall, Playground, Security, Swimming Pool, Barbeque area, Gymnasium, Parking","Persiaran Bayan Mutiara 3, Gelugor, Penang","#1045<br><br>Zen 6 @ Bayan Lepas<br><br>A LOT UNIT ON HAND<br>Different Layout For You To Choose<br><br>FOR Rent<br><br>- 1,050 sqft<br>- 3 Bedroom <br>- 2 Bathroom <br>- 1 carpark<br>- ⁠Fully Furnished <br><br>Asking RM2,500 Only‼️🔥<br><br>Call Jason Lim To View Actual Unit  <br>Jason Lim 0126304352<br>http://api.whatsapp.com/send?phone=60126304352&text=Grace<br><br>WELCOME LISTING<br>LANDLORD are very welcome Call / SMS / Whatsapp me for SALE or RENTING out your unit<br>CONTACT :Jason Lim 0126304352<br>尊贵的业主，如有要租或卖您的房地产，我们已有客户准备购买/租赁任何房地产",Penang,Gelugor,2025-04-16 09:53,2025-04-16,110835539,,,
"RM 1,600 per month","Apartment / Condominium, For rent",Apartment,3,2,880 sq.ft.,Partially Furnished,"Parking, Security, Lift, Playground, Gymnasium, Multipurpose hall, Barbeque area, Minimart","Jalan Kampung Bandar Dalam, Setapak, Kuala Lumpur","PPAM Setapak Rivera untuk Disewa<br>Residensi Setapak Riviera, Kuala Lumpur<br>Kemasukan Segera sewa RM1600 sebulan<br><br>Details<br>✅ Blok B <br>✅ 3 bilik 2 bilik air<br>✅ 800 sqft<br>✅ Partly furnished :<br>a) Kitchen cabinet<br>b) Built in almari baju for master room dan bilik ke 2<br>c) Dapur gas<br>d) Built in TV cabinet<br>e) Grill besi di pintu utama dan balkoni<br>f) Almari letak kasut<br>g) Kipas & lampu satu rumah<br>✅ Gated, Guarded House & CCTV<br>✅ Surau 2 Tingkat<br>✅ Taman Permainan Kanak-kanak<br>✅ Dewan/Gelanggang Badminton<br>✅ Balkoni hadapan block lain<br><br>Accessibility<br>✅ 1.0km - Persimpangan Bandar Dalam, DUKE<br>✅ ⁠1.2km+ - MRT3 Kg. Puah/MRT3 Jalan Langkawi (soon)<br>✅ ⁠4.0km - LRT Taman Melati<br>✅ ⁠4.5km - LRT Sentul Timur<br>✅ 5.0km - LRT Gombak, Terminal Bersepadu Gombak (soon) / ECRL Gombak (soon)⁠<br>✅ ⁠5.3km - LRT Sentul<br>✅. ⁠6.7km - Monorail/LRT/MRT2/Stesen Bas @ Titiwangsa<br>✅ ⁠7.2km - KTM Sentul<br>✅ ⁠8.3km - Plaza Tol Gombak, KARAK<br>✅ ⁠8.6km - Plaza Tol Jalan Duta, NSE<br>✅ ⁠8.4km - KTM Batu Caves<br><br>Amenities<br>✅ 3.2km - M3 Mall<br>✅ ⁠4.1km - Setapak Central Mall<br>✅ ⁠8.8km - Brem Mall<br>✅ ⁠9.4km - KLCC<br>✅ 9.6km - KL East Mall<br>✅ ⁠⁠9.8km - Wangsa Walk Mall<br>✅ ⁠13.0km - Melawati Mall<br>✅ 500m - KL Traders Square (KLTS)<br>✅⁠2.1km - Supermaeket OTK / Medan Idaman<br>✅ ⁠3.0km - Danau Kota / Bazaria Wangsa Maju (Uptown Danau Kota)<br>✅⁠3.4km - Aeon Big Danau Kota<br>✅ ⁠5.0km - NSK Wangsa Maju<br>✅ ⁠5.1km - Rampai Business Park<br>✅ ⁠7.0km - Taman Sri Gombak<br>✅ ⁠11.0km - Lotus’s Selayang<br>✅ ⁠⁠13.0km - Melawati Business Park<br><br>Asking rental : RM1,600 per month <br>(Deposit 2+1+1/2+20% stamping & Tenancy Agreement fee)<br><br>For more info:<br>MOHD NURUDIN (REN22273)<br>0196675567<br>www.wasap.my/60196675567<br>Skyprop Real Estate Sdn Bhd E(1)2130<br>03-61780606",Kuala Lumpur,Setapak,2025-04-16 09:50,2025-04-16,110782739,3.2048162719102105,101.70089288845746,"Air-Cond, Cooking Allowed"
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,1,1,450 sq.ft.,Fully Furnished,"Sauna, Parking, Squash Court, Club house, Security, Minimart, Barbeque area, Playground, Gymnasium, Tennis Court, Swimming Pool, Lift","Jalan Desa Sentosa, Taman Desa, Kuala Lumpur","🟧THE PROPERTY DETAILS<br>🏠Built up Size: 450 sqft<br>🛏️1 Bedrooms 🛁1 Bathrooms 🅿️1 Parking Lot<br><br>🟩FULLY FURNISHED<br>☑️Ceiling Fans, Lights, Aircond<br>☑️Water heater, kitchen cabinet<br>☑️Washing machine, bed, sofa....MORE!<br>🟩RENTAL INCLUDE MAINTENANCE FEE<br>🟩RESIDENCE WITH FACILITY<br>🟩CLEAN & NEAT<br>🟩WITH BALCONY<br>🟦NEAR RESTAURANTS, BANK, CAFE, MART, LAUNDRY, CLINIC<br>********************************************<br>RENTAL PRICE FROM RM 1,600.00<br><br>WhatsApp's: Vicky Vicky | 016-6798344<br>WhatsApp's: Vicky Vicky | 016-6798344<br><br>WhatsApp's: Kat Kat | 016-6208344<br>WhatsApp's: Kat Kat | 016-6208344<br>********************************************<br><br>🟧BOOKING DETAILS<br>🟩1 Month Advance Rental<br>🟩2 Months Deposit Rental<br>🟩0.5 Months Utility Deposit<br>🟩Tenancy Agreement Fees<br><br>Call/ WhatsApp for more information OR viewing appointments. Thank you!<br>Few unit for RENT (Partly /Full Furnished)<br><br>Vestcom Realty E(3)1484<br>*****************************************************<br>Owners are welcome to list your property",Kuala Lumpur,Taman Desa,2025-04-16 09:50,2025-04-16,110854965,3.1057282810653852,101.68274370750079,"Air-Cond, Cooking Allowed, Washing Machine"
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,818 sq.ft.,Fully Furnished,"Lift, Gymnasium, Playground, Swimming Pool, Parking, Security","Jalan Sunsuria 1, Bandar Sunsuria, Sepang, Selangor","The Olive Condo @Sunsuria City For Rent<br><br>Monthly Rental : RM 1,600<br><br>Fully Furnished Unit<br>- 818 sq.ft<br>- 3 Bedrooms<br>- 2 Bathrooms<br>- 2 Car Park <br>- Lights & Fan<br>- Aircond & Water Heater<br>- Mattress for All Rooms<br>- Sofa & TV<br>- Curtain <br><br>3 Min to XiaMen University <br>5 Min to ERL Salak Tinggi Station<br>5 Min to KIP Mall Kota Warisan<br>10 Min to Cyberjaya & Putrajaya<br>15 Min to KLIA 1 & 2<br><br>Location just next to XiaMen University. Suitable for those who study in XiaMen University and working around Kota Warisan & KLIA.<br><br>Don’t hesitate to contact Max 012-6335717 for actual unit viewing. Thanks<br><br>Call/WhatsApp/SMS<br>Max Low<br>REN 17733<br>012-6335717",Selangor,Sepang,2025-04-16 09:52,2025-04-16,109414068,,,"Air-Cond, Cooking Allowed, Washing Machine"
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,3,2,1050 sq.ft.,Fully Furnished,"Lift, Multipurpose hall, Playground, Security, Swimming Pool, Barbeque area, Parking","Persiaran Bayan Mutiara 3, Gelugor, Penang","#1044<br><br>Zen 6 @ Bayan Lepas<br><br>A LOT UNIT ON HAND<br>Different Layout For You To Choose<br><br>FOR Rent<br><br>- 1,050 sqft<br>- 3 Bedroom <br>- 2 Bathroom <br>- 1 carpark<br>- ⁠Fully Furnished <br><br>Asking RM2,300 Only‼️🔥<br><br>Call Jason Lim To View Actual Unit  <br>Jason Lim 0126304352<br>http://api.whatsapp.com/send?phone=60126304352&text=Grace<br><br>WELCOME LISTING<br>LANDLORD are very welcome Call / SMS / Whatsapp me for SALE or RENTING out your unit<br>CONTACT :Jason Lim 0126304352<br>尊贵的业主，如有要租或卖您的房地产，我们已有客户准备购买/租赁任何房地产",Penang,Gelugor,2025-04-16 09:53,2025-04-16,110835556,,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Jalan Cyberia 1, Off Persiaran Multimedia, Cyberjaya, Selangor","Best Rent 🎯 at Cyberia Smarthomes Near The Arc, Cyberjaya!🌟🌟🌟<br>*******************************************************************<br>🌟 Your Ideal Living Space Awaits at Cyberia Smarthomes Near The Arc, Cyberjaya! 🌟<br>🏡 FOR RENT NOW!<br>📞 Contact Shamim Islam: 013-3332630 / 018-9102206<br>    https://wa.me/60133332630<br><br>✨ Unit Highlights ✨<br><br>• 🛌 3 Bedrooms + 2 Bathrooms with modern layouts!<br>• Newly renovated and ready to move in! 🎨<br>• 🚘 1 covered parking space included<br>• 24-hour gated & guarded with smart security features 🛡<br>• 🏠 Partially unit with stylish decor<br>• 1000sqft<br>• Walking distance to:<br>    •🍔 McDonald's – 600 meters<br>    •🍗 KFC – 500 meters<br>    •🎓 University of Cyberjaya – 300 meters<br>    •📖 Multimedia University (MMU) – 100 meters<br>    •🌳 Cyberjaya Lake Gardens – 700 meters<br>    •🛍 Tamarind Square – 300 meters<br>    •🚑 Cyberjaya Hospital- 800 meters<br>    •📖 SK Cyberjaya School- 300 meters<br>    •📖 SMK Cyberjaya School- 300 meters<br>    •📖 King Henry Viii College- 400 meters<br><br>🎯 Top-notch Facilities 🎯<br><br>• 🏊‍♂ Swimming Pool | 🏋‍♀ Gymnasium | 🏸 Badminton Court<br>• 🎮 Games Room | 🕌 Surau | 🌿 Landscape Garden<br>• 🧸 Children's Playground | BBQ Area | 🏀 Basketball Court<br><br>📍 Prime Location<br><br>• 5–10 mins to :<br>    •DPULZE Shopping Centre and Shaftsbury Square<br>    • HSBC office<br>    • MMU University<br>    •  BMW Group Malaysia office<br>    • DHL<br>    • DeLL<br>    • AMD<br>• 20 minute to putrajaya Sentral, KLIA transit station, Alamanda Shopping centre<br>• 30 minute to KL Bukit Bintang, Timesquare, Sungai Wang<br>• Close to top educational institutions like University of Cyberjaya & Limkokwing University<br>• Surrounded by lush green parks and jogging trails 🌼<br><br>🛍 Nearby Shopping & Dining 🛍<br><br>• Tamarind Square: A trendy hotspot for dining, bookstores, and boutique shops 📚<br>• DPULZE Shopping Centre: Enjoy shopping, cinema, and dining under one roof 🎬<br>• Shaftsbury Square: Perfect for casual dining and retail therapy 🛒<br>• A variety of cafes and restaurants catering to all tastes! 🍕<br><br>🌿 Leisure Nearby<br><br>• Cyberjaya Lake Gardens: Relax amidst nature or enjoy outdoor activities! 🏞<br>• Community Sports Arena: Engage in various sports and recreational activities. 🏀<br><br>🚗 Excellent Accessibility<br><br>• Connected via MEX, LDP, and ELITE highways, ensuring seamless travel!<br><br>✨ Move Into Your Perfect Home in Cyberjaya Today! ✨<br><br>🏡 I have many buyers and tenants looking for Cyberjaya properties. If you have a property to rent or sell, please contact me! 📱 WhatsApp Here<br><br>📞 Don’t Wait! Contact Shamim Islam now: 013-3332630 / 018-9102206<br>   https://wa.me/60133332630",Selangor,Cyberjaya,2025-04-16 09:58,2025-04-16,110675367,,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,4,2,1290 sq.ft.,Fully Furnished,"Multipurpose hall, Security, Playground, Jogging Track, Lift, Barbeque area, Parking, Swimming Pool, Gymnasium, Sauna, Minimart, Club house","Persiaran Cassia Barat 6, Bandar Cassia, Batu Kawan, Penang","Vertu Resort | Fully Furnished Design Village View High Floor| 2 Carpark | Move in Condition |<br><br>-Corner Unit ,Design Village View<br>- Built Up: 1290sqft<br>-4 Bed Rooms - Provided 1 Queens Bed Frame and 3 single bed<br>- 2 Bath Rooms<br>- 2 Car Park (Side by Side) in Level 1<br>- 2 water heaters<br>- kitchen hob & hood<br>- washing machine<br>- refrigerator<br>- 5 Units air-conditional<br>- Fully Furnished: built in kitchen cabinet, wardrobe, cabinet, island counter<br>- Dining table set<br>- High-class curtain mounted<br>Rental :RM1900.00<br><br>Key in hand<br>To know more detail or appoiment vieiwng kindly WhatsApp or contact 016-4417340 Sunny Yang",Penang,Batu Kawan,2025-04-16 09:55,2025-04-16,109715447,5.23660974338571,100.4332651109698,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
"RM 1,100 per month","Apartment / Condominium, For rent",Condominium,2,2,850 sq.ft.,Partially Furnished,"Swimming Pool, Gymnasium, Barbeque area, Club house, Parking, Playground, Security, Sauna, Multipurpose hall","Jalan Perda Selatan, Bandar Baru Perda, Bukit Mertajam, Penang","BM City Condo – Partially Furnished Unit<br><br>Unit Details:<br>🛏️ Bedrooms: 2<br>🚿 Bathrooms: 2<br>🚗 Car Parks: 2<br><br>🛋️ Partially Furnished:<br>  • Ceiling Fans<br>  • Lighting Fixtures<br>  • Curtains<br>  • 2 Water Heaters<br><br>💰 Rental: RM1,100 / month<br>Prime Location:<br>💢Located in the heart of BM City<br>💢Surrounded by shopping malls, eateries, banks & schools<br>💢Easy access to public transport and main roads<br><br><br>Perfect for small families, working professionals, or couples!<br><br><br>https://wa.me/60124547942<br><br>Kindly contact Ms Fish Ling 012-4547942 for more info and arrangement of Viewing.",Penang,Bukit Mertajam,2025-04-16 09:50,2025-04-16,110808084,,,
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1050 sq.ft.,Fully Furnished,"Lift, Multipurpose hall, Playground, Security, Swimming Pool, Barbeque area, Gymnasium, Parking","Persiaran Bayan Mutiara 3, Gelugor, Penang","#1046<br><br>Zen 6 @ Bayan Lepas<br><br>A LOT UNIT ON HAND<br>Different Layout For You To Choose<br><br>FOR Rent<br><br>- 1,050 sqft<br>- 3 Bedroom <br>- 2 Bathroom <br>- 1 carpark<br>- ⁠Fully Furnished <br><br>Asking RM2,200 Only‼️🔥<br><br>Call Jason Lim To View Actual Unit  <br>Jason Lim 0126304352<br>http://api.whatsapp.com/send?phone=60126304352&text=Grace<br><br>WELCOME LISTING<br>LANDLORD are very welcome Call / SMS / Whatsapp me for SALE or RENTING out your unit<br>CONTACT :Jason Lim 0126304352<br>尊贵的业主，如有要租或卖您的房地产，我们已有客户准备购买/租赁任何房地产",Penang,Gelugor,2025-04-16 09:53,2025-04-16,110835515,,,
"RM 1,350 per month","Apartment / Condominium, For rent",Service Residence,1,1,511 sq.ft.,Partially Furnished,"Security, Playground, Gymnasium, Lift, Barbeque area, Squash Court, Club house, Sauna, Parking, Swimming Pool, Jogging Track","No.360, Jalan Makmur, Kawasan Perusahaan Sesama, Gombak, Selangor","[Urban 360] , Taman Sri Gombak, with furnished, Tastefully Design<br><br>- 511sqft<br>- Semi furnished<br>- Facing KLCC<br>- Tastefully design with good view balcony<br>- Asking price RM1350 negotiable<br>please do not hesitate and call 012-380 5022 for more details!!!",Selangor,Gombak,2025-04-16 09:59,2025-04-16,109644266,,,"Air-Cond, Cooking Allowed"
