monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 1,100 per month","Apartment / Condominium, For rent",Service Residence,2,1,645 sq.ft.,Fully Furnished,"Gymnasium, Club house, Parking, Swimming Pool, Playground, Security, Lift, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed","Jalan KLJ 5, Taman Kota Laksamana, Melaka City, Melaka","Unit Features:<br>✔ Size: 645 sqft<br>✔ Bedrooms: 2<br>✔ Bathrooms: 1<br>✔ Car Park: 1 dedicated parking space<br>✔ Fully furnished / Partially furnished options available<br>✔ Air-conditioning, water heater, and essential appliances<br><br>Facilities & Amenities:<br><br>✅ Swimming Pool & Gym<br>✅ 24-hour Security<br>✅ Covered Car Park<br>✅ Near Restaurants<br>✅ Easy Access to Major Roads<br><br>📍 Strategic Location: Close to Jonker Street, Melaka Raya, and key attractions in Melaka.<br><br>💰 Rental Price: RM1,100<br><br>For more details or to schedule a viewing, contact",Melaka,Melaka City,2025-04-16 10:08,2025-04-16,110668194,2.19718885,102.237706
RM 600 per month,"House, For rent",Others,2,1,245 sq.ft.,Not Furnished,Parking,Cooking Allowed,,Mencari penyewa Yang serius sahaja..<br><br>Deposit 2bln+1bln sewa+air dan api rm200 total rm2000 <br>tpl 0169625585 Din,Pahang,Kuantan,2025-04-16 10:08,2025-04-16,110855205,,
"RM 1,100 per month","Apartment / Condominium, For rent",Service Residence,2,1,650 sq.ft.,Fully Furnished,"Playground, Parking, Security, Club house, Swimming Pool, Gymnasium, Lift, Sauna, Minimart, Multipurpose hall, Tennis Court","Air-Cond, Cooking Allowed","Jalan KLJ 5, Taman Kota Laksamana, Melaka City, Melaka","Kindly Contact Wasap.my/+60122234522/Thewave<br><br>For Rent@ RM 1100<br>Property Details:<br>✔ Lift Apartment<br>✔ Land Area: 650 sf<br>✔ 2 Bedroom & 1 Bathroom<br>✔ Fully Furnish<br>✔ Peaceful Environment<br>✔ Highly Demand & Good For Investment<br><br>****************************************************************<br>For More Details/ Viewing Appointment, Please Call",Melaka,Melaka City,2025-04-16 10:07,2025-04-16,109433582,2.19718885,102.237706
"RM 3,500 per month","House, For rent",2-storey Terraced House,4,3,2041 sq.ft.,Fully Furnished,Parking,,,"Available for Medium/Long Term Rental<br><br>Landed Double Storey (Renovated & Refurbished)<br>- 4 Bedroom<br>- 3 Bathroom<br>- Fully Furnished (Airbnb Spec)<br>- Parking Available (3-4 Cars)<br>- Exclude Bills (TNB, Water and WiFi)<br>- Direct Owner (No Agent Fee)<br><br>Good Profile Tenant",Selangor,Shah Alam,2025-04-16 10:07,2025-04-16,110781352,,
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Partially Furnished,"Parking, Multipurpose hall, Playground, Lift, Security",,"Lintang, Bukit Rimau, 40460 Shah Alam, Selangor, Kota Kemuning, Selangor","Brand new apartment for rent in Bukti Rimau, Shah Alam<br>Brand new apartment for rent in Kemuning Idaman, Shah Alam<br><br>Property Details:<br>===========<br>1. 2 Car Covered Car Park<br>2. 2 Water Heaters<br>3. Vinyl Flooring<br>4. Renovated kitchen with gas stove, cooking hood and aluminium kitchen cabinet.<br>5. Full grills for security purpose<br>6. Curtain rails<br>7. Middle floors<br>8. 3 Bedroom 2 Bathroom, Master room with attached bathroom<br><br>Available for rent now.<br><br>The Roof Realty Sdn Bhd [E (1) 1605]<br>👜 Ashly Yeoh (REN19953)<br>wa.me/60123893314",Selangor,Kota Kemuning,2025-04-16 10:10,2025-04-16,110855077,,
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,1140 sq.ft.,Fully Furnished,"Jogging Track, Parking, Playground, Lift, Club house, Gymnasium, Barbeque area, Sauna, Multipurpose hall, Security, Swimming Pool",,"Lorong Lembah Indah 1, Simpang Ampat, Penang",#1214<br>Royale Infinity @ Simpang Ampat <br>A LOT UNIT ON HAND<br>Different Layout For You To Choose<br><br>FOR rent<br><br>- 1140sf方尺<br>- 3 Bedroom <br>- ⁠2 Bathroom<br>- ⁠2 Carpark <br>- ⁠Fully Furnished<br><br><br>For Rent : Rm1600<br><br>Call Jason Lim To View Actual Unit  <br>Jason Lim 0126304352<br>http://api.whatsapp.com/send?phone=60126304352&text=Grace<br><br>WELCOME LISTING<br>LANDLORD are very welcome Call / SMS / Whatsapp me for SALE or RENTING out your unit<br>CONTACT :JasonLim 0126304352  <br>尊贵的业主，如有要租或卖您的房地产，我们已有客户准备购买/租赁任何房地产,Penang,Simpang Ampat,2025-04-16 10:10,2025-04-16,110019206,,
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,901 sq.ft.,Fully Furnished,"Barbeque area, Multipurpose hall, Swimming Pool, Lift, Parking, Security, Gymnasium, Jogging Track",,"Jalan Eco Meadows Off Jalan Paboi, Simpang Ampat, Penang","#1193 F<br>Eco Bloom @ Simpang Ampat <br>A LOT UNIT ON HAND<br>Different Layout For You To Choose<br><br>FOR rent<br><br>- 901sf方尺<br>- 3 Bedroom <br>- ⁠2 Bathroom<br>- ⁠2 Carpark <br>- ⁠Fully Furnished<br><br>For Rent : Rm1,600<br><br>Call Jason Lim To View Actual Unit  <br>Jason Lim 0122791643<br>http://api.whatsapp.com/send?phone=60122791643&text=Grace<br><br>WELCOME LISTING<br>LANDLORD are very welcome Call / SMS / Whatsapp me for SALE or RENTING out your unit<br>CONTACT :JasonLim 0122791643  <br>尊贵的业主，如有要租或卖您的房地产，我们已有客户准备购买/租赁任何房地产",Penang,Simpang Ampat,2025-04-16 10:10,2025-04-16,108190146,,
"RM 1,700 per month","House, For rent",2-storey Terraced House,4,3,1800 sq.ft.,Partially Furnished,,,,"Rumah 2 Tingkat untuk disewa di Jln Telipot, Kota Bharu.<br>-berdekatan dengan sekolah, Hospital HRPZ, pasaraya Billion, KB Mall<br><br>- 4 bilik + 3 bilik air<br>- Ada tempat letak parking<br>- Partially furnished: peti, mesin basuh, air-con<br>- Sewa: RM1700<br>- Deposit: 2+1<br><br>Berminat boleh hubungi: Kak Noor (019-4489405)",Kelantan,Kota Bharu,2025-04-16 10:06,2025-04-16,110855195,,
"RM 1,800 per month","House, For rent",2-storey Terraced House,5,4,1 sq.ft.,Not Furnished,,,,"Hup Kee Double Storey Intermediate Terrace House For Rent <br>Super good Location ‼️<br><br>📍Location : Jalan Hup Kee<br>✅️ Ground flr : 2 bedrooms & 1 bathroom<br>✅️ 1st flr : 3 bedrooms & 3 bathrooms <br>✅️ Bare Unit <br><br>💰Asking Rental : RM1,800 per month <br><br>- Rental Deposit - 2 months <br>- Utilities Deposit - 1 month <br>- Advance Rental - 1 month <br><br>For House Viewing Kindly Contact :<br>KEITH TING (REN 19584)<br>012-802 1226⁩<br>.<br>‼️WHATSAPP US‼️ http://wasap.my/60128021226/DSITHupKeeForRentRM1.8K<br>. <br>KJT Kuching Real Estate <br>The Roof Realty Sdn Bhd E(1)1605.",Sarawak,Kuching,2025-04-16 10:10,2025-04-16,110855088,,
"RM 1,900 per month","Apartment / Condominium, For rent",Service Residence,3,2,1008 sq.ft.,Fully Furnished,"Parking, Jogging Track, Security, Tennis Court, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Washing Machine","Jalan Austin Perdana 2/1, Taman Mount Austin, Johor Bahru, Johor",-------------------- For Rent --------------------<br><br>Austin Regency<br><br>Bedroom : 3 (2+1)<br>Bathroom : 2<br>Built up : 1008 sqft<br>Furnished : Fully Furnished<br>Special Features : High Floor + Park View + Big Balcony<br>Asking Rental : RM1900<br><br>Please contact 016-7054754 Lee for more details or viewing arrangement. Thank you,Johor,Johor Bahru,2025-04-16 10:11,2025-04-16,110855232,1.5485848,103.78234284999999
