monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude,facilities,address,additional_facilities
"RM 1,200 per month","House, For rent",1-storey Terraced House,3,2,1400 sq.ft.,Partially Furnished,"For Rent <br><br>Property Name : Single Storey House Jalan Lavender <br>Location : Sri Penawar/Kota Tinggi <br>Type : 3 Beds 2 Baths <br>Furnished : Partially Furnished <br><br>Rental : RM 1200<br><br>Remarks <br>7 Mins to Tg Balau <br>30 Mins to Bandar Pengerang<br><br>For more information, fast response and free viewing, please call or WhatsApp:<br><br>Ms Eda 012-5238 903 <br><br>Ms Eda 012-5238 903",Johor,Kota Tinggi,2025-02-24 11:56,2025-02-24,110094588,,,,,
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1226 sq.ft.,Partially Furnished,"For rent<br>- 3 bedroom 2 bathroom 2 car park<br>- Partially furnished<br>- Fridge, air conditioning , fans , lighting , kitchen cabinet  , sofa<br>- Located at Tanjung tokong<br><br>Call now to 0 1 2 - 5 1 4 4 9 2 2 for viewing and booking<br><br><br>Nearby the peak , i-santorini , tri pinnacle , the latitude , skyridge garden",Penang,Tanjong Tokong,2025-02-24 11:56,2025-02-24,110116217,,,"Swimming Pool, Squash Court, Barbeque area, Sauna, Security, Multipurpose hall, Parking, Minimart, Playground, Gymnasium","Persiaran Halia 3, Off Jalan Mount Erskine, Tanjong Tokong, Penang",
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,750 sq.ft.,Partially Furnished,"Idaman Lavender 2 @ Sungai Ara<br>RM 1,200.00/Month<br><br>DISCLAIMER: This is a REAL ADVERTISEMENT and you DESERVE THE REAL INFORMATION. I DON'T advertise fake listing / price / fake pictures to solicit client.<br><br>- 750 Sq.ft<br>- Renovated<br>- Partially Furnished<br>- 3 Rooms <br>- 2 Bathrooms<br>- 1 Carpark<br><br><br><br>LANDLORDS, welcome to CONTACT ME if you have any property for SALE / RENT.<br><br>WhatsApp Link As Below<br>https://wa.me/60122453833/IdamanLavenderRM1200<br><br>Zarra <br>+6012-2453833<br>Email : zarraaryana747@gmail.com<br><br>Welcome to also List Your Property for Sale & Rent with us. Our team covering from Penang Island to Mainland",Penang,Bayan Lepas,2025-02-24 11:55,2025-02-24,110016158,,,"Parking, Security, Lift, Playground","Lilitan Sungai Ara, Off Jalan Dato Ismail Hashim, Bayan Lepas, Penang","Air-Cond, Cooking Allowed, Washing Machine"
"RM 1,100 per month","Apartment / Condominium, For rent",Service Residence,1,1,470 sq.ft.,Fully Furnished,"FULLY FURNISHED STUDIO DOMAIN 5 @ NEOCYBER FOR RENT !!!<br><br>ASKING RENTAL PRICE : RM1100<br><br>DEPOSIT : 2+1+1+TA (RM4,100)<br><br>DETAILS:<br>- Build up : 470 sqft<br>- No of Bedroom : 1<br>- No of Bathroom : 1<br>- No of parking : 1<br><br>FEATURES :<br>- Fully furnished<br><br>AMMENITIES :<br>- Cyberjaya University<br>- Tamarind Square<br>- Hospital Cyberjaya<br>- Multimedia University<br>- D’pulze Shopping Mall<br><br>Hazwan Hamdan<br>REN 46336<br>Great Casa Realty Sdn Bhd<br>https://0193372090.wasap.my/",Selangor,Cyberjaya,2025-02-24 11:55,2025-02-24,109218170,,,"Security, Swimming Pool, Barbeque area, Gymnasium, Jogging Track, Playground, Parking, Multipurpose hall, Lift, Minimart","Off Persiaran Ceria, Cyberjaya, Selangor","Air-Cond, Cooking Allowed"
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,3,2,847 sq.ft.,Fully Furnished,VEGA RESIDENCE CONDO CYBERJAYA FOR RENT !!!<br><br>DETAILS :-<br>- Buildup : 847 sqft<br>- Bedroom : 3<br>- Bathroom : 2<br>- Parking : 2<br>- Fully furnished<br>- Move in Feb 2025<br><br>ASKING RENTAL : RM1600<br><br>Deposit : 2+1+0.5+agreement (RM5900)<br><br>Facilities :-<br>- 24 hours security<br>- Gym<br>- Swimming pool<br>- Playground<br><br>Whatsapp Hazwan (REN46336) : https://wa.link/z8sw76,Selangor,Cyberjaya,2025-02-24 11:55,2025-02-24,109948736,,,"Security, Barbeque area, Swimming Pool, Playground, Gymnasium, Parking, Multipurpose hall","Persiaran Sepang, Taman Sains Selangor 2, Cyberjaya, Selangor","Air-Cond, Cooking Allowed, Washing Machine"
"RM 2,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,990 sq.ft.,Fully Furnished,ECLIPSE RESIDENCE DUPLEX CYBERJAYA FOR RENT !!!<br><br>Details :-<br>- Size : 990 sqft<br>- Bedroom : 3<br>- Bathroom : 2<br>- Parking : 2<br><br>Mid January Move In<br><br>Asking Rental : RM2200<br><br>Deposit : 2+1+0.5+agreement (RM8100)<br><br>Facilities :-<br>- Swimming pool<br>- Gym<br>- 24 hours Security<br>- Restaurant<br>- Grocery<br><br>Whatsapp Hazwan (REN46336) : https://wa.link/pj84ap,Selangor,Cyberjaya,2025-02-24 11:55,2025-02-24,109359633,,,"Multipurpose hall, Playground, Parking, Swimming Pool, Barbeque area, Squash Court, Security, Lift","Off Persiaran Multimedia, Cyber 11, Cyberjaya, Selangor","Air-Cond, Cooking Allowed, Washing Machine"
"RM 1,650 per month","Apartment / Condominium, For rent",Service Residence,1,1,520 sq.ft.,Fully Furnished,"Casa Tiara @ Subang Jaya<br>Limited Studio with Balcony<br>Corner Lot with Larger Space and Windows<br>1 Carpark Included<br><br>=== Fully Furnished ===<br>✅ Kitchen Table Top<br>✅ Microwave<br>✅ Refrigerator<br>✅ Washing Machine<br>✅ Water Heater<br>✅ Bed + Mattress<br>✅ Wardrobe<br>✅ Air-Cond<br>✅ TV + Sofa<br>✅ Table + Chairs<br><br>=== Accessibility ===<br>🚗 Walking Distance to LRT & KTM Subang Jaya, Aeon Big<br>🚗 5 mins to Subang Parade, Empire Shopping Gallery<br>🚗 10 mins to UCSI International School, Taylor's University, Sunway Pyramid<br>🚗 Easy Access to Federal Highway<br><br>Rental RM 1,650 ONLY!<br><br>**Contact YS @014-6428368 for more details and viewing** 😃<br>www.wasap.my/+60146428368/CT1650",Selangor,Subang Jaya,2025-02-24 11:55,2025-02-24,110150139,,,"Swimming Pool, Squash Court, Lift, Security, Playground, Multipurpose hall, Gymnasium, Parking, Minimart, Barbeque area","Off Jalan Kemajuan Subang, SS16, Subang Jaya, Selangor","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
"RM 2,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,1021 sq.ft.,Fully Furnished,"Subang Avenue @ Subang Jaya<br>Walking Distance to LRT, KTM and Shopping Mall<br>Included Cleaning Service<br>3 Bedrooms 2 Bathrooms 1 Carpark<br><br>Rent now at RM 2,700 ONLY!!<br>Grab it now!!<br><br>=== Fully Furnished ===<br>✅ Built-In Kitchen Cabinet with Hood and Hob<br>✅ Fridge<br>✅ Washing Machine<br>✅ Water Heater<br>✅ TV + Sofa<br>✅ Table + Chairs<br>✅ Bed + Mattress<br>✅ Wardrobe<br>✅ Air-Cond<br><br>=== Facilities ===<br>✅ Car Park<br>✅ Swimming pool<br>✅ Gymnasium<br>✅ Landscaped Garden<br>✅ Sauna<br>✅ BBQ Area<br>✅ Playground<br>✅ Multipurpose Hall<br>✅ 24 hours Security<br><br>=== Accessibility ===<br>🚗 Walking Distance to LRT & KTM Subang Jaya, Aeon Big<br>🚗 5 mins to Subang Parade, Empire Shopping Gallery<br>🚗 10 mins to UCSI International School, Taylor's University, Sunway Pyramid<br>🚗 Easy Access to Federal Highway<br><br>**Contact YS @014-6428368 for more details and viewing** 😃<br>www.wasap.my/+60146428368/SA2700",Selangor,Subang Jaya,2025-02-24 11:55,2025-02-24,109958635,,,"Parking, Security, Playground, Multipurpose hall, Squash Court, Barbeque area, Sauna, Minimart, Swimming Pool, Gymnasium, Lift, Jogging Track","Persiaran Kemajuan SS16, SS16, Subang Jaya, Selangor","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Fully Furnished,"One Foresta Condo Airport View @ Bayan Lepas For Rent<br><br>Near FTZ, Airport, Next to Bayan Baru, 15 minutes to Queensbay Mall<br><br>- 2 Car Park<br>- Fully Furnished<br>- High Floor<br>- Move in anytime<br>- 900 sqft<br>- 3 Bedrooms <br>- 2 Bathrooms<br><br>Rental price : RM1800<br><br>Key on hand, for more information or viewing appointment pls call<br>Jason 0124288821<br>Alicia 0124388821",Penang,Bayan Lepas,2025-02-24 11:55,2025-02-24,110250344,5.302510687679897,100.25677263789284,"Playground, Barbeque area, Security, Parking, Swimming Pool, Gymnasium, Jogging Track","Lengkok Kelicap, Bayan Lepas, Penang","Air-Cond, Washing Machine, Cooking Allowed"
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Not Furnished,-- new units<br>-- 3 rooms 2 bathrooms <br>-- 2 car park<br>-- new unit<br>-- 3 min to USM<br>-- located in a Prime area in Penang Island<br><br>For more information please call Millie 0134800111<br>Dream House Properties<br>(REN 05313),Penang,Gelugor,2025-02-24 11:55,2025-02-24,109136385,,,"Security, Barbeque area, Minimart, Swimming Pool, Jogging Track, Playground, Gymnasium, Sauna","Lebuh Minden 1, Off Jalan Bukit Gambier, Gelugor, Penang",Cooking Allowed
