monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 2,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1390 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Off Persiaran Bestari, Cyberjaya, Selangor","Best Rent 🎯 at Lakefront Residence Near Mutiara Ville, Cyberjaya!🌟🌟🌟<br>**************************************************************************<br>🌟 Your Dream Home Awaits at Lakefront Residence, Cyberjaya! 🌟<br>🏡 FOR RENT NOW!<br>📞 Contact Shamim Islam: 013-3332630 / 018-9102206<br><br>✨ Unit Highlights ✨<br><br>• 🛌 3 Bedrooms + 2 Bathrooms!<br>• Newly renovated and ready to move in! 🎨<br>• 🚘 2 covered parking space included<br>• 24-hour gated & guarded with smart security features 🛡<br>• 🏠 Fully furnished unit with stylish decor<br>• 1390sqft<br>• Walking distance to:<br>    •🍔 McDonald's – 150 meters<br>    •🍗 KFC – 250 meters<br>    •🎓 University of   Cyberjaya – 500 meters<br>    • 📖 Multimedia University (MMU) – 550 meters<br>    •🌳 Cyberjaya Lake Gardens – 300 meters<br>    •🛍 Tamarind Square – 1 km<br>    •🚑 Cyberjaya Hospital-500 meters<br><br>🎯 Top-notch Facilities 🎯<br><br>• 🏊‍♂ Swimming Pool | 🏋‍♀ Gymnasium | 🎭 Multi-purpose Hall<br>• 📚 Study Rooms | 🕌 Surau | 🌿 Sky Garden<br>• 🧸 Kids Play Area<br><br>📍 Prime Location<br><br>• 5–10 mins to :<br>    •DPULZE Shopping Centre and Shaftsbury Square<br>    • HSBC office<br>    • MMU University<br>    •  BMW Group Malaysia office<br>    • DHL<br>    • DeLL<br>    • AMD<br>• 20 minute to putrajaya Sentral, KLIA transit station, Alamanda Shopping centre<br>• 30 minute to KL Bukit Bintang, Timesquare, Sungai Wang<br>• Close to top educational institutions like University of Cyberjaya & Limkokwing University<br>• Surrounded by lush green parks and jogging trails 🌼<br><br>🛍 Nearby Shopping & Dining 🛍<br><br>• Tamarind Square: A trendy hotspot for dining, bookstores, and boutique shops 📚<br>• DPULZE Shopping Centre: Enjoy shopping, cinema, and dining under one roof 🎬<br>• Shaftsbury Square: Perfect for casual dining and retail therapy 🛒<br>• A variety of cafes and restaurants catering to all tastes! 🍕<br><br>🌿 Leisure Nearby<br><br>• Cyberjaya Lake Gardens: Relax amidst nature or enjoy outdoor activities! 🏞<br>• Community Sports Arena: Engage in various sports and recreational activities. 🏀<br><br>🚗 Excellent Accessibility<br><br>• Connected via MEX, LDP, and ELITE highways, ensuring seamless travel!<br><br>✨ Move Into Your Perfect Home in Cyberjaya Today! ✨<br><br>🏡 I have many buyers and tenants looking for Cyberjaya properties. If you have a property to rent or sell, please contact me! 📱 WhatsApp Here<br><br>📞 Don’t Wait! Contact Shamim Islam now: 013-3332630 / 018-9102206",Selangor,Cyberjaya,2025-02-26 10:57,2025-02-26,110138002,,
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,2,1,550 sq.ft.,Partially Furnished,"Gymnasium, Barbeque area, Parking, Jogging Track, Playground, Swimming Pool, Lift, Security",Cooking Allowed,"Jalan PJU 8/8, Damansara Perdana, Selangor","D’QUINCE RESIDENCE FOR RENT<br><br>- 2 BEDROOM WITH 1 BATHROOM<br>- 550SQFT<br>- PARTIALLY FURNISHED <br>- 1 CARPARK <br><br>RENTAL : RM 1300<br><br><br>Nearby transportation: Mutiara Damansara (MRT), Sri Damansara East (MRT), Sri Damansara West (MRT), Bandar Utama (MRT), Bandar Utama (LRT)<br><br>Nearby medical: Pusat Pakar Ortopedik Quill Orthopedic Specialist Centre, Parkcity Medical Centre, Global Doctors Centre, Pusat Perubatan Damansara Damai, Hospital Pakar Damansara (Damansara Specialist Hospital)<br><br>Kindly contact me for viewing appointment:<br>VANESS CHIN 017-3459808",Selangor,Damansara Perdana,2025-02-26 10:56,2025-02-26,110120699,3.166047096464366,101.61157366364908
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,1,1,342 sq.ft.,Fully Furnished,"Lift, Security, Playground, Swimming Pool, Gymnasium, Parking","Air-Cond, Cooking Allowed, Washing Machine","No.8, Jalan Damansara, PJU 8, Damansara Perdana, Selangor","Location: Mossaz @ Empire City Damansara Perdana<br> Property Type: Fully Furnished<br>️ Bedrooms: 1<br> Bathrooms:1<br> Size: 342sqft<br><br> Price Rental: RM1500 nego<br><br>VIEW TO BELIEVE!!!<br><br>For More Info, Please Call/ Sms/ WhatsApp: Helen 0.1.4-954 7685<br><br><br>Owner Are Welcome To List<br>想卖或租产业的屋主可以联系我<br><br><br>Buy | Sell | Rent | Commercial | Undercon | Land",Selangor,Damansara Perdana,2025-02-26 10:50,2025-02-26,110276613,3.1641383000000003,101.6068359382883
"RM 1,800 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Partially Furnished,,,,"(KITCHEN CABINET/PARTLY FURNISHED) 2 Sty House Taman Lep Seri Kembangan<br><br>PROPERTY DETAILS<br>-2 Storey House<br>4 Bedroom<br>-3 Bathroom<br>-1400 Square Feet<br>-Sofa<br>-5 Aircorn<br>-Tv Cabinet<br>-2 Water Heater<br>-Kitchen Cabinet <br>-Dining Table Set<br>-All Room Build In Wardrode<br><br><br><br>NEARBY AMENITIES<br>**SHOP LOT<br>**MD, KFC, PIZZA HUT<br>**7 ELEVEN, 99 SPEEDMART<br>**CIMB, PUBLIC BANK, MAYBANK<br>**GIANT, AEON JUSCO, PASAR BORONG<br>**RESTAURANTS CHINESE, MALAY AND MAMAK<br>** ALICE SMITH INTERNATIONAL SCHOOL<br><br>EASY ACCESS<br>**LDP Highway<br>**MEX Highway<br>**ELITE Highway<br>**SKVE Highway<br>**CYBERJAYA<br>**PUTRAJAYA<br>**BUKIT JALIL<br>**PUNCAK JALIL<br>**BANDAR KINARA<br><br>**For Viewing More Information, Please Contact Elaine Lee @ 012-6621866",Selangor,Seri Kembangan,2025-02-26 10:50,2025-02-26,110276684,,
"RM 1,650 per month","Apartment / Condominium, For rent",Service Residence,1,1,450 sq.ft.,Fully Furnished,"Minimart, Swimming Pool, Security, Sauna, Multipurpose hall, Parking, Lift, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan OS, Taman Serdang Perdana, Seri Kembangan, Selangor","Cube One South Seri Kembangan FOR RENT<br><br>Unit details:<br>- STUDIO UNIT <br>- 1 parking<br>- Fully furnished<br>- NICE UNIT <br><br>Fully Furnished with:<br>- Kitchen Cabinet<br>- Lighting and fans<br>- Wardrobe<br>- Mattress and bedframe<br>- Dining table and chairs<br>- Curtains<br>- Grill<br>- Kitchen hob and hood<br>- Aircond<br>- Water Heater<br>- Washing machine and fridge<br>- MORE<br><br><br>***  PICTURE DISPLAYED IS NOT ACTUAL UNIT  ***<br><br><br>*** The pictures is just for environment display only NOT the actual unit ***<br><br><br>Please: Call/SMS/WhatsApp/Email for more information. Thank you!<br>-<br>(Kayden Fong : 012-6239011)<br>(Kayden Fong : 012-6239011)<br>(Kayden Fong : 012-6239011)<br><br>Email = karkit789@gmail.com<br><br>Vestcom Realty E(3)1484<br>D-12 (Level 2) Cheras Centrepoint<br>Medan Connaught, 56000<br>Kuala Lumpur.<br><br>*** Owner have unit can contact me as well ***",Selangor,Seri Kembangan,2025-02-26 10:50,2025-02-26,110276673,,
"RM 2,100 per month","Apartment / Condominium, For rent",Service Residence,2,1,656 sq.ft.,Fully Furnished,"Jogging Track, Security, Playground, Barbeque area, Parking, Swimming Pool, Lift, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Off Lebuhraya Utara Selatan, Southville City, Bangi, Selangor","Cerrado Suites Bangi FOR RENT<br><br>Unit details:<br>- 2 rooms 1 bath<br>- 2 parking<br>- Fully furnished<br>- NICE UNIT <br><br>Fully Furnished with:<br>- Kitchen Cabinet<br>- T.V and tv rack<br>- Lighting and fans<br>- Wardrobe<br>- Mattress and bedframe<br>- Sofa<br>- Coffee Table<br>- Dining table and chairs<br>- Curtains<br>- Grill<br>- Kitchen hob and hood<br>- Aircond<br>- Water Heater<br>- Washing machine and fridge<br>- MORE<br><br>***  PICTURE DISPLAYED IS NOT ACTUAL UNIT  ***<br><br><br>*** The pictures is just for environment display only NOT the actual unit ***<br><br><br>Please: Call/SMS/WhatsApp/Email for more information. Thank you!<br>-<br>(Kayden Fong : 012-6239011)<br>(Kayden Fong : 012-6239011)<br>(Kayden Fong : 012-6239011)<br><br>Email = karkit789@gmail.com<br><br>Vestcom Realty E(3)1484<br>D-12 (Level 2) Cheras Centrepoint<br>Medan Connaught, 56000<br>Kuala Lumpur.<br><br>*** Owner have unit can contact me as well ***",Selangor,Bangi,2025-02-26 10:50,2025-02-26,110276668,,
RM 800 per month,"Apartment / Condominium, For rent",Flat,3,2,650 sq.ft.,Not Furnished,"Parking, Lift",,"Jalan PJS 2d/1, Desa Mentari 3, PJS 2, Petaling Jaya, Selangor","Desa Mentari Blok 10 Petaling Jaya FOR RENT<br><br>Unit details:<br>- 3 rooms 2 baths<br>- BASIC UNIT <br>- NICE UNIT <br><br><br>***  PICTURE DISPLAYED IS NOT ACTUAL UNIT  ***<br><br><br>*** The pictures is just for environment display only NOT the actual unit ***<br><br><br>Please: Call/SMS/WhatsApp/Email for more information. Thank you!<br>-<br>(Kayden Fong : 012-6239011)<br>(Kayden Fong : 012-6239011)<br>(Kayden Fong : 012-6239011)<br><br>Email = karkit789@gmail.com<br><br>Vestcom Realty E(3)1484<br>D-12 (Level 2) Cheras Centrepoint<br>Medan Connaught, 56000<br>Kuala Lumpur.<br><br>*** Owner have unit can contact me as well ***",Selangor,Petaling Jaya,2025-02-26 10:50,2025-02-26,110276650,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,1,590 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Parking, Gymnasium, Security, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Zamrud Utama, Kajang 2, Kajang, Selangor","Residensi Rimbun@ Canopy hills<br>Kajang 2<br><br>3 rooms and 1 bathroom ✅<br>3 rooms and 1 bathroom ✅<br>3 rooms and 1 bathroom ✅<br><br>590 sqft with 1 carpark provided ✅<br>Fully furnished unit ✅<br><br>Kitchen cabinet with cooker hob+hood, 3 airconds in rooms, fridge, washing machine, beds, wardrobes, curtains.......etc✅<br><br>Free shuttle bus to KTM, MRT, Hentian Kajang 👏👏<br><br>For more inquiries, kindly contact me at 010-8317528 📞 010-8317528 📞<br>                      👋 Eric Lee 👋",Selangor,Kajang,2025-02-26 10:50,2025-02-26,109477794,2.9599028,101.7946165
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Not Furnished,"Parking, Security",,"Jalan Subang Permai, Taman Subang Permai, Subang Jaya, Selangor","Permai Apartment, Jalan Subang Permai, USJ 1, Subang Jaya<br><br>* Basic unit<br>* Top floor (Walk up) <br>* 3 bedrooms 2 bathrooms<br>* With balcony<br>* Good location <br><br>Pls call Chris Ng / Chu for viewing appointment :<br>011*1668*6166 <br>019*357*6780",Selangor,Subang Jaya,2025-02-26 10:48,2025-02-26,108814392,,
"RM 1,500 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Partially Furnished,"Parking, Security, Barbeque area, Multipurpose hall, Tennis Court, Playground, Gymnasium, Swimming Pool, Lift, Club house",,"Persiaran Aspirasi, Cyber 10, Cyberjaya, Selangor","Aspire Residence @ Cyberjaya<br><br>> Rumah Baru, Brand New !!<br>> Block 1 Level 11<br>> 3 Bedrooms 2 Bathrooms<br>> Size 900 sq.ft<br>> Partially Furnished<br>> Kitchen Cabinet, Hood & Hob<br>> Aircond, Lighting & Fan<br>> Water Heater<br>> 2 Reserved Carpark<br><br>Amenities:<br>> Masjid Cyberjaya 10<br>> MasReca 19<br><br>Accessibility:<br>> MEX Highway<br>> LDP Highway<br>> Elite Highway<br>> PLUS Highway<br>> SKVE Highway<br><br>Monthly Rental : RM1500<br>Rental Deposit  : RM3000<br>Utilities Deposit  : RM600<br><br>☎️ 𝗧𝗮𝗹𝗸 𝗧𝗼 𝗔𝗴𝗲𝗻𝘁👇<br>wasap.my/60196609212/RizalAgent<br><br>#RizalProperties",Selangor,Cyberjaya,2025-02-26 10:47,2025-02-26,109160313,2.8983463898620814,101.63136341842802
