monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,state,region,publishedDatetime,ads_id,latitude,longitude,address
"RM 1,700 per month","House, For rent",2-storey Terraced House,3,2,750 sq.ft.,Partially Furnished,"Parking, Playground, Minimart",Cooking Allowed,Selangor,Ampang,2025-01-14 07:37,107626583,,,
"RM 1,400 per month","House, For rent",2-storey Terraced House,4,3,1300 sq.ft.,Partially Furnished,,"Cooking Allowed, Air-Cond",Penang,Raja Uda,2025-01-14 07:30,109782673,,,
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1120 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Security, Minimart, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kelantan,Kota Bharu,2025-01-14 07:29,108726058,,,"Jalan Post Office Lama, Bandar Kota Bharu, Kota Bharu, Kelantan"
"RM 1,300 per month","House, For rent",Terraced House,4,2,1380 sq.ft.,Partially Furnished,,Air-Cond,Selangor,Shah Alam,2025-01-14 07:28,109782689,,,
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,3,2,975 sq.ft.,Partially Furnished,"Parking, Multipurpose hall, Security, Playground, Swimming Pool, Barbeque area, Gymnasium, Lift, Club house",Air-Cond,Selangor,Cyberjaya,2025-01-14 07:23,109782684,,,"Off Persiaran Bestari, Cyberjaya, Selangor"
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,962 sq.ft.,Partially Furnished,"Playground, Gymnasium, Lift, Barbeque area, Parking, Security, Swimming Pool, Squash Court, Multipurpose hall","Air-Cond, Cooking Allowed",Negeri Sembilan,Nilai,2025-01-14 07:10,108198719,,,"Off Jalan Kuarters KLIA, Taman Memancing Istana Bunian, Nilai, Negeri Sembilan"
"RM 1,800 per month","Apartment / Condominium, For rent",Apartment,3,2,1495 sq.ft.,Fully Furnished,"Parking, Playground, Gymnasium, Jogging Track, Security, Lift","Air-Cond, Cooking Allowed, Washing Machine",Sarawak,Kuching,2025-01-14 07:10,109782656,1.5085807,110.32030535,"Lorong Arang 15C 1B, Kuching, Sarawak"
"RM 1,250 per month","House, For rent",2-storey Terraced House,4,3,1600 sq.ft.,Partially Furnished,"Parking, Security, Playground",,Selangor,Puncak Alam,2025-01-14 07:09,109782667,,,
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,2,2,830 sq.ft.,Fully Furnished,"Lift, Security, Gymnasium, Barbeque area, Swimming Pool, Parking, Playground","Air-Cond, Cooking Allowed, Washing Machine",Sarawak,Kuching,2025-01-14 06:50,109699618,1.4939608495395706,110.3382832714829,"Jalan Stampin Tengah, Kuching, Sarawak"
"RM 1,300 per month","House, For rent",2-storey Terraced House,4,3,990 sq.ft.,Not Furnished,"Security, Parking",,Selangor,Kajang,2025-01-14 06:45,109782648,,,
"RM 1,200 per month","House, For rent",2-storey Terraced House,3,1,800 sq.ft.,Partially Furnished,"Parking, Playground",Cooking Allowed,Johor,Ulu Tiram,2025-01-14 06:20,109689988,,,
"RM 1,999 per month","House, For rent",2-storey Terraced House,4,3,1700 sq.ft.,Partially Furnished,,,Johor,Perling,2025-01-14 06:15,109612617,,,
"RM 1,300 per month","House, For rent",Bungalow House,3,2,1400 sq.ft.,Fully Furnished,Parking,"Air-Cond, Cooking Allowed, Washing Machine",Perak,Taiping,2025-01-14 06:07,109251635,,,
"RM 1,800 per month","House, For rent",3-storey Terraced House,4,3,1170 sq.ft.,Not Furnished,,,Selangor,Kundang,2025-01-14 05:51,108080628,,,
"RM 2,500 per month","House, For rent",3-storey Terraced House,4,3,2475 sq.ft.,Not Furnished,,,Selangor,Kundang,2025-01-14 05:51,108080627,,,
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,1,1,500 sq.ft.,Fully Furnished,"Playground, Security, Lift, Swimming Pool, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Selangor,Setia Alam,2025-01-14 05:50,109782631,3.1137264,101.4530429,"Jalan Setia Murni U13/51, Setia Alam, Selangor"
"RM 3,800 per month","Apartment / Condominium, For rent",Service Residence,3,2,1180 sq.ft.,Fully Furnished,"Jogging Track, Club house, Security, Playground, Parking, Swimming Pool, Gymnasium",,Johor,Johor Bahru,2025-01-14 05:41,109768028,1.4456292721710593,103.93859408054762,"Jalan Tanjung Puteri 1, Tanjung Puteri, Johor Bahru, Johor"
"RM 1,900 per month","Apartment / Condominium, For rent",Service Residence,3,2,910 sq.ft.,Partially Furnished,"Playground, Barbeque area, Parking, Gymnasium, Jogging Track, Lift, Swimming Pool, Multipurpose hall, Security","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor,Puchong,2025-01-14 05:25,109591935,,,"Jalan Meranti Jaya 13, Taman Meranti Jaya, Puchong, Selangor"
"RM 1,400 per month","Apartment / Condominium, For rent",Apartment,3,2,1078 sq.ft.,Not Furnished,"Swimming Pool, Multipurpose hall, Parking, Minimart, Playground, Barbeque area, Security, Sauna",,Johor,Johor Bahru,2025-01-14 05:20,109622787,1.5033100048384866,103.64325595208462,"Jalan Aman, Taman Skudai Baru, Johor Bahru, Johor"
"RM 1,300 per month","House, For rent",Terraced House,3,2,1200 sq.ft.,Partially Furnished,,,Negeri Sembilan,Seremban,2025-01-14 05:11,109442961,,,
RM 800 per month,"Apartment / Condominium, For rent",Apartment,3,2,861 sq.ft.,Not Furnished,"Parking, Gymnasium, Barbeque area, Minimart, Security, Playground, Swimming Pool, Lift, Jogging Track","Air-Cond, Cooking Allowed",Selangor,Seri Kembangan,2025-01-14 05:06,109772545,,,"Jalan Sungai Besi Indah 3, Taman Sunga Besi Indah, Seri Kembangan, Selangor"
"RM 2,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,813 sq.ft.,Partially Furnished,"Multipurpose hall, Playground, Swimming Pool, Barbeque area, Gymnasium, Parking, Security, Lift, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Wangsa Maju,2025-01-14 04:53,109737241,3.196638299982092,101.74516686645934,"Jalan 34/26, Wangsa Maju, Kuala Lumpur"
"RM 3,500 per month","Apartment / Condominium, For rent",Service Residence,4,2,1600 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Gymnasium, Lift, Multipurpose hall, Security, Playground, Barbeque area, Jogging Track","Air-Cond, Near KTM/LRT, Cooking Allowed, Washing Machine",Kuala Lumpur,Wangsa Maju,2025-01-14 04:53,109501276,3.191625717154733,101.7370818038535,"Jalan Wangsa Kuarza, Seksyen 10, Wangsa Maju, Kuala Lumpur"
"RM 2,400 per month","Apartment / Condominium, For rent",Condominium,3,2,1267 sq.ft.,Fully Furnished,"Minimart, Playground, Gymnasium, Jogging Track, Parking, Security, Swimming Pool, Lift, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Wangsa Maju,2025-01-14 04:52,109480454,3.1931270823436493,101.73537431671753,"Jalan Seri Wangsa 1, Taman Sri Rampai, Wangsa Maju, Kuala Lumpur"
"RM 3,800 per month","Apartment / Condominium, For rent",Service Residence,4,3,1228 sq.ft.,Fully Furnished,"Security, Playground, Swimming Pool, Gymnasium, Lift, Barbeque area, Parking, Jogging Track, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Wangsa Maju,2025-01-14 04:52,109374610,3.1931270823436493,101.73537431671753,"Jalan Seri Wangsa 1, Taman Sri Rampai, Wangsa Maju, Kuala Lumpur"
"RM 1,199 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Partially Furnished,"Security, Parking, Multipurpose hall, Swimming Pool, Gymnasium, Lift, Playground, Barbeque area, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor,Bandar Sungai Long,2025-01-14 04:44,109008236,,,"Off Jalan Idaman, Taman Cheras Idaman, Bandar Sungai Long, Selangor"
RM 800 per month,"House, For rent",2-storey Terraced House,3,2,1323 sq.ft.,Not Furnished,Parking,Cooking Allowed,Selangor,Klang,2025-01-14 04:30,109782620,,,
"RM 1,400 per month","Apartment / Condominium, For rent",Apartment,3,2,855 sq.ft.,Not Furnished,Parking,,Johor,Skudai,2025-01-14 04:30,109782615,,,
"RM 2,200 per month","House, For rent",3-storey Terraced House,4,3,1400 sq.ft.,Partially Furnished,,,Johor,Skudai,2025-01-14 04:27,109782618,,,
