monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,ads_id,latitude,longitude
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,1132 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Minimart, Playground, Security, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Singa F 20/F, Seksyen 20, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-28 07:31,109616931,3.05117124664421,101.53918998147002
"RM 1,000 per month","House, For rent",2-storey Terraced House,4,3,1320 sq.ft.,Not Furnished,,,,Penang,Tasek Gelugor,2025-01-28 07:30,109946128,,
"RM 4,200 per month","House, For rent",Cluster House,5,5,2000 sq.ft.,Fully Furnished,"Parking, Playground, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",,Johor,Gelang Patah,2025-01-28 07:27,109946145,,
"RM 1,900 per month","House, For rent",1-storey Terraced House,3,2,1200 sq.ft.,Not Furnished,"Parking, Playground, Security",Cooking Allowed,,Selangor,Kajang,2025-01-28 07:21,109946136,,
"RM 1,900 per month","Apartment / Condominium, For rent",Apartment,1,1,535 sq.ft.,Fully Furnished,"Security, Multipurpose hall, Lift, Parking, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine","Jalan Mahmoodiah, Kampung Mahmoddiah, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-28 07:12,109750568,1.4653843218203344,103.75303472085142
"RM 5,500 per month","House, For rent",Semi-Detached House,4,4,2520 sq.ft.,Not Furnished,"Security, Playground",Cooking Allowed,,Selangor,Cyberjaya,2025-01-28 07:08,109446649,,
"RM 1,200 per month","Apartment / Condominium, For rent",Service Residence,2,1,555 sq.ft.,Partially Furnished,"Security, Swimming Pool, Lift, Barbeque area, Gymnasium, Parking, Playground",Cooking Allowed,"Jalan BBLS 1, Southville City, Bangi, Selangor",Selangor,Bangi,2025-01-28 06:53,109897574,,
"RM 1,300 per month","House, For rent",Townhouse,3,2,1200 sq.ft.,Partially Furnished,,,,Selangor,Selayang,2025-01-28 06:52,109436279,,
"RM 1,550 per month","House, For rent",2-storey Terraced House,3,3,1520 sq.ft.,Partially Furnished,,,,Selangor,Puncak Alam,2025-01-28 06:50,108963486,,
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,3,2,850 sq.ft.,Partially Furnished,"Playground, Swimming Pool, Barbeque area, Parking, Security, Lift, Gymnasium, Minimart","Air-Cond, Cooking Allowed, Washing Machine","Jalan Sentul Pasar, Sentul, Kuala Lumpur",Kuala Lumpur,Sentul,2025-01-28 06:47,109601348,3.1980324857488562,101.69062820171115
"RM 2,400 per month","Apartment / Condominium, For rent",Apartment,3,3,1200 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine","Jalan Sutera Kuning, Taman Perling, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-28 06:47,109946110,,
"RM 1,050 per month","Apartment / Condominium, For rent",Apartment,3,2,700 sq.ft.,Fully Furnished,"Parking, Security, Lift, Playground, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Internet","Lebuh Relau, Off Jalan Terubung, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-01-28 06:43,109883895,,
"RM 3,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,1300 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine","Jalan Mersawa 16, Taman Cahaya, Masai, Johor",Johor,Masai,2025-01-28 06:10,109946091,,
"RM 2,200 per month","Apartment / Condominium, For rent",Apartment,3,2,1100 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine","Jalan Sutera Kuning, Taman Perling, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-28 06:02,109946094,,
"RM 2,699 per month","Apartment / Condominium, For rent",Service Residence,3,2,1184 sq.ft.,Fully Furnished,"Gymnasium, Tennis Court, Multipurpose hall, Playground, Swimming Pool, Lift, Barbeque area, Sauna, Parking, Security, Squash Court","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-28 05:25,109946079,1.4676996579290054,103.7249724411857
