monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,state,region,publishedDatetime,ads_id,latitude,longitude,additional_facilities,address
"RM 1,300 per month","House, For rent",Townhouse,3,2,1400 sq.ft.,Not Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Club house",Penang,Bertam,2025-01-29 16:17,109956296,,,,
"RM 1,100 per month","House, For rent",2-storey Terraced House,4,2,1400 sq.ft.,Fully Furnished,,Johor,Kluang,2025-01-29 16:16,109956293,,,"Air-Cond, Washing Machine",
RM 800 per month,"Apartment / Condominium, For rent",Apartment,3,2,836 sq.ft.,Fully Furnished,,Selangor,Cheras,2025-01-29 16:16,109787941,3.0734787,101.77184665671378,"Air-Cond, Cooking Allowed, Near KTM/LRT","Taman Cheras Permai, Cheras, Selangor"
RM 830 per month,"Apartment / Condominium, For rent",Apartment,2,1,585 sq.ft.,Fully Furnished,Parking,Penang,Gelugor,2025-01-29 16:16,109956291,5.372837410117395,100.30164461577829,"Air-Cond, Cooking Allowed","Hilir Pemancar, Taman Tun Sardon, Gelugor, Penang"
"RM 1,300 per month","House, For rent",Townhouse,3,2,1400 sq.ft.,Not Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium",Penang,Bertam,2025-01-29 16:15,109956288,,,,
"RM 1,250 per month","Apartment / Condominium, For rent",Apartment,3,2,868 sq.ft.,Partially Furnished,"Parking, Minimart, Swimming Pool, Playground, Lift, Security",Selangor,Seri Kembangan,2025-01-29 16:08,109427472,,,"Cooking Allowed, Air-Cond","Persiaran Permai Sentosa, Taman Prima Tropika, Seri Kembangan, Selangor"
"RM 1,450 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Partially Furnished,"Parking, Multipurpose hall, Security, Playground, Lift",Selangor,Putra Heights,2025-01-29 16:08,109850261,2.9854277061372287,101.56472795683933,Cooking Allowed,"Persiaran Putra Megah, Putra Heights, Selangor"
RM 750 per month,"House, For rent",Terraced House,3,2,840 sq.ft.,Partially Furnished,Parking,Perak,Ipoh,2025-01-29 16:07,109956219,,,"Cooking Allowed, Near KTM/LRT",
"RM 2,000 per month","House, For rent",3-storey Terraced House,5,4,1600 sq.ft.,Not Furnished,"Parking, Security, Playground, Minimart, Multipurpose hall, Jogging Track",Penang,Bertam,2025-01-29 16:07,109956217,,,"Cooking Allowed, Near KTM/LRT",
"RM 1,900 per month","House, For rent",2-storey Terraced House,3,2,840 sq.ft.,Partially Furnished,,Selangor,Shah Alam,2025-01-29 16:07,109956216,,,"Air-Cond, Cooking Allowed, Near KTM/LRT",
"RM 2,000 per month","House, For rent",2-storey Terraced House,4,3,1650 sq.ft.,Partially Furnished,"Parking, Minimart",Selangor,Shah Alam,2025-01-29 16:06,109931116,,,"Air-Cond, Cooking Allowed, Near KTM/LRT",
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,1,929 sq.ft.,Fully Furnished,"Swimming Pool, Jogging Track, Parking, Minimart, Tennis Court, Barbeque area, Lift, Security, Playground, Gymnasium",Selangor,Klang,2025-01-29 16:05,109956174,,,,"Jalan Pelangi, Off Jalan Batu Tiga Lama, Kawasan 16, Klang, Selangor"
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,2,2,600 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Jogging Track, Club house, Multipurpose hall",Johor,Tampoi,2025-01-29 16:01,109956196,,,"Air-Cond, Cooking Allowed, Washing Machine","Jalan Bukit Aliff Utama, Taman Damansara Aliff, Tampoi, Johor"
"RM 1,200 per month","House, For rent",1-storey Terraced House,4,2,1000 sq.ft.,Not Furnished,,Selangor,Bandar Saujana Putra,2025-01-29 15:59,109914307,,,,
"RM 1,050 per month","Apartment / Condominium, For rent",Apartment,3,2,1008 sq.ft.,Partially Furnished,"Minimart, Parking, Playground, Lift, Security",Selangor,Kajang,2025-01-29 15:59,109891612,2.974661811754674,101.7831331188504,"Air-Cond, Cooking Allowed","Jalan Sepakat Indah 3, Taman Sepakat Indah, Kajang, Selangor"
"RM 1,300 per month","House, For rent",2-storey Terraced House,4,3,1300 sq.ft.,Partially Furnished,,Selangor,Semenyih,2025-01-29 15:52,108792471,,,,
"RM 1,300 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Not Furnished,Parking,Selangor,Dengkil,2025-01-29 15:50,109956088,,,Cooking Allowed,
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,3,2,936 sq.ft.,Partially Furnished,"Security, Parking, Swimming Pool, Gymnasium, Lift, Minimart, Squash Court, Sauna, Playground, Tennis Court",Kuala Lumpur,Keramat,2025-01-29 15:50,109956086,,,"Cooking Allowed, Air-Cond","Jalan Lestari, Kampung Padang Tembak, Keramat, Kuala Lumpur"
"RM 2,300 per month","Apartment / Condominium, For rent",Service Residence,2,2,800 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Lift, Club house, Security, Sauna, Parking, Playground, Barbeque area, Minimart, Multipurpose hall",Penang,Gelugor,2025-01-29 15:50,109956080,,,"Air-Cond, Cooking Allowed, Washing Machine","Persiaran Bukit Gambir, Gelugor, Penang"
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,3,2,1010 sq.ft.,Fully Furnished,"Gymnasium, Multipurpose hall, Playground, Jogging Track, Swimming Pool, Security, Minimart, Barbeque area",Selangor,Cyberjaya,2025-01-29 15:49,109956137,,,"Air-Cond, Cooking Allowed, Washing Machine","Lot 108634, Persiaran Sepang, Cyber 11, Cyberjaya, Selangor"
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,1,1,450 sq.ft.,Partially Furnished,"Parking, Security, Multipurpose hall, Swimming Pool, Lift, Barbeque area, Gymnasium, Sauna",Selangor,Seri Kembangan,2025-01-29 15:48,109681078,,,"Air-Cond, Near KTM/LRT, Washing Machine","Jalan OS, Taman Serdang Perdana, Seri Kembangan, Selangor"
"RM 1,650 per month","Apartment / Condominium, For rent",Condominium,3,2,1150 sq.ft.,Fully Furnished,"Playground, Security, Swimming Pool, Gymnasium, Parking, Lift, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court",Johor,Gelang Patah,2025-01-29 15:46,109956130,,,"Air-Cond, Cooking Allowed, Washing Machine","Jalan Forest City - Lebuhraya Tanjung Pelepas, Gelang Patah, Johor"
"RM 1,250 per month","Apartment / Condominium, For rent",Condominium,2,1,750 sq.ft.,Fully Furnished,"Security, Minimart, Parking, Playground, Jogging Track, Lift",Kuala Lumpur,Bukit Jalil,2025-01-29 15:45,109956127,,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan 1/115a, Bukit Jalil, Kuala Lumpur"
"RM 1,050 per month","Apartment / Condominium, For rent",Service Residence,1,1,350 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Barbeque area, Gymnasium",Selangor,Cyberjaya,2025-01-29 15:45,109956043,,,"Air-Cond, Cooking Allowed, Washing Machine","Off Persiaran Bestari , Cyber 11, Cyberjaya, Selangor"
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1240 sq.ft.,Fully Furnished,"Security, Gymnasium, Barbeque area, Tennis Court, Sauna, Club house, Parking, Minimart, Playground, Swimming Pool, Squash Court, Lift",Kuala Lumpur,Setapak,2025-01-29 15:45,109956032,,,,"No.442, Jalan Pahang, Setapak, Kuala Lumpur"
