monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 1,100 per month","Apartment / Condominium, For rent",Condominium,3,2,700 sq.ft.,Partially Furnished,"Playground, Gymnasium, Parking, Squash Court, Barbeque area, Sauna, Security, Swimming Pool, Tennis Court, Minimart, Jogging Track, Lift","Cooking Allowed, Air-Cond, Washing Machine","Persiaran Bukit Gambier 1, Gelugor, Penang",Penang,Gelugor,2025-02-11 12:56,2025-02-11,109856140,,
"RM 2,800 per month","House, For rent",Townhouse,3,3,1800 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Barbeque area, Club house, Jogging Track","Washing Machine, Cooking Allowed, Air-Cond",,Johor,Gelang Patah,2025-02-11 12:55,2025-02-11,109983975,,
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,3,1605 sq.ft.,Fully Furnished,"Security, Tennis Court, Jogging Track, Sauna, Parking, Gymnasium, Playground, Barbeque area, Minimart, Swimming Pool","Cooking Allowed, Washing Machine, Air-Cond","Persiaran Medini Utara 3, Off Lebuh Kota Iskandar, Iskandar Puteri, Johor",Johor,Iskandar Puteri,2025-02-11 12:55,2025-02-11,109983981,,
"RM 1,700 per month","Apartment / Condominium, For rent",Condominium,1,1,650 sq.ft.,Fully Furnished,"Gymnasium, Jogging Track, Security, Playground, Squash Court, Barbeque area, Parking, Minimart, Swimming Pool","Washing Machine, Cooking Allowed, Air-Cond","Persiaran Medini Utara 3, Medini Iskandar Malaysia, Iskandar Puteri, Johor",Johor,Iskandar Puteri,2025-02-11 12:55,2025-02-11,110024115,,
"RM 1,400 per month","House, For rent",Cluster House,3,2,1011 sq.ft.,Partially Furnished,"Playground, Parking, Minimart, Jogging Track",Near KTM/LRT,,Penang,Bandar Perda,2025-02-11 12:55,2025-02-11,110086486,,
"RM 1,400 per month","Apartment / Condominium, For rent",Apartment,1,1,474 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Multipurpose hall, Parking, Security, Gymnasium, Barbeque area","Washing Machine, Cooking Allowed, Air-Cond","Persiaran Medini Utara 3, Off Lebuh Medini Utama, Iskandar Puteri, Johor",Johor,Iskandar Puteri,2025-02-11 12:55,2025-02-11,110023999,,
"RM 2,900 per month","Apartment / Condominium, For rent",Service Residence,3,2,1122 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan Sibu, Taman Wahyu, Batu Caves, Selangor",Selangor,Batu Caves,2025-02-11 12:55,2025-02-11,110086483,,
RM 650 per month,"Apartment / Condominium, For rent",Apartment,5,2,650 sq.ft.,Not Furnished,"Playground, Minimart","Near KTM/LRT, Cooking Allowed","Jalan PJU 10/1, Damansara Damai, Selangor",Selangor,Damansara Damai,2025-02-11 12:54,2025-02-11,96848015,3.1973067443088015,101.5941408190094
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,5,2,740 sq.ft.,Not Furnished,"Parking, Playground, Security, Lift",Cooking Allowed,"Taman Bunga Negara, Seksyen 27, Shah Alam, Selangor",Selangor,Shah Alam,2025-02-11 12:54,2025-02-11,109986488,,
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Fully Furnished,"Lift, Security, Playground, Jogging Track, Barbeque area, Parking, Tennis Court, Multipurpose hall, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine","Off Jalan Cheras, Taman Pertama, Cheras, Kuala Lumpur",Kuala Lumpur,Cheras,2025-02-11 12:53,2025-02-11,110013938,,
"RM 2,100 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Fully Furnished,"Parking, Playground, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",,Penang,Bukit Mertajam,2025-02-11 12:53,2025-02-11,109827543,,
"RM 2,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,1030 sq.ft.,Fully Furnished,"Minimart, Playground, Gymnasium, Security, Multipurpose hall, Parking, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Bayuemas, Port Klang, Selangor",Selangor,Port Klang,2025-02-11 12:53,2025-02-11,109353218,,
RM 600 per month,"Apartment / Condominium, For rent",Flat,2,1,468 sq.ft.,Not Furnished,,,"Jalan Hulubalang 3, Taman Ungku Tun Aminah, Skudai, Johor",Johor,Skudai,2025-02-11 12:52,2025-02-11,109461701,1.5113415702825534,103.65607979119808
"RM 1,100 per month","Apartment / Condominium, For rent",Service Residence,1,1,450 sq.ft.,Fully Furnished,"Gymnasium, Multipurpose hall, Swimming Pool, Parking, Security, Lift, Playground, Minimart, Sauna, Barbeque area, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT","Persiaran Harmoni, Cyber 3, Cyberjaya, Selangor",Selangor,Cyberjaya,2025-02-11 12:51,2025-02-11,108467451,2.94568545,101.66181925000001
"RM 1,400 per month","Apartment / Condominium, For rent",Service Residence,2,2,929 sq.ft.,Fully Furnished,"Parking, Playground, Barbeque area, Sauna, Minimart, Swimming Pool, Tennis Court, Squash Court, Club house, Security, Gymnasium, Jogging Track, Lift, Multipurpose hall","Air-Cond, Internet, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Teknokrat 1, Cyberjaya, Selangor",Selangor,Cyberjaya,2025-02-11 12:51,2025-02-11,107967924,2.942017447705054,101.66283866369776
"RM 2,500 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Fully Furnished,,,,Johor,Iskandar Puteri,2025-02-11 12:51,2025-02-11,109852902,,
"RM 1,200 per month","Apartment / Condominium, For rent",Service Residence,2,2,450 sq.ft.,Fully Furnished,"Multipurpose hall, Swimming Pool, Gymnasium, Parking, Club house, Jogging Track, Sauna, Lift, Security, Playground, Minimart, Tennis Court, Barbeque area, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Persiaran Harmoni, Cyber 3, Cyberjaya, Selangor",Selangor,Cyberjaya,2025-02-11 12:51,2025-02-11,109853189,2.94568545,101.66181925000001
"RM 1,300 per month","House, For rent",1-storey Terraced House,3,2,990 sq.ft.,Partially Furnished,,,,Johor,Kulai,2025-02-11 12:51,2025-02-11,109649120,,
RM 950 per month,"Apartment / Condominium, For rent",Service Residence,3,2,450 sq.ft.,Fully Furnished,"Multipurpose hall, Swimming Pool, Gymnasium, Parking, Sauna, Lift, Security, Playground, Minimart, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Persiaran Harmoni, Cyber 3, Cyberjaya, Selangor",Selangor,Cyberjaya,2025-02-11 12:51,2025-02-11,108110406,2.94568545,101.66181925000001
RM 750 per month,"Apartment / Condominium, For rent",Apartment,3,2,600 sq.ft.,Partially Furnished,"Playground, Parking, Minimart",,"Jalan Metafasa U16/3A, Seksyen U16, Taman Bukit Subang, Shah Alam, Selangor",Selangor,Shah Alam,2025-02-11 12:50,2025-02-11,109747733,3.174378632387025,101.5159529667372
"RM 1,900 per month","Apartment / Condominium, For rent",Apartment,2,2,853 sq.ft.,Partially Furnished,"Parking, Gymnasium, Multipurpose hall, Security, Swimming Pool, Minimart, Sauna",,"Jalan Larkin, Taman Dato Onn, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-11 12:50,2025-02-11,110016918,1.4874324676535706,103.75048063166318
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,2,2,853 sq.ft.,Fully Furnished,"Jogging Track, Parking, Playground, Swimming Pool, Gymnasium, Tennis Court, Security, Multipurpose hall, Lift, Barbeque area, Sauna",,"Jalan Uda Utama 3/14, Bandar Uda Utama, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-11 12:50,2025-02-11,110017079,1.4978549,103.66996495000001
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,1,1,700 sq.ft.,Fully Furnished,"Barbeque area, Playground, Gymnasium, Lift, Parking, Sauna, Security, Multipurpose hall, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-11 12:50,2025-02-11,110086371,1.4676996579290054,103.7249724411857
